referenceid	timestamp_started	timestamp_finished	username	db_id	trialid	source_register	title	web_address	trns	completion_month	is_german_covidevidence	is_german_in_germany	is_german_drks	is_german_euctr	is_searched_cutoff_2	is_searched_cutoff_3	abstract	soc	flag_review	comments
515	2021-10-26 08:59:26	2021-10-26 09:14:29	joschwietering	tri03748	NCT04327388	ClinicalTrials.gov	Sarilumab COVID-19	https://clinicaltrials.gov/show/NCT04327388	NCT04327388; EUCTR2020-001162-12	2020-07-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	SAR153191
485	2021-10-26 09:14:36	2021-10-26 09:14:58	joschwietering	tri00801	NCT04344080	ClinicalTrials.gov	Effect of CytoSorb Adsorber on Hemodynamic and Immunological Parameters in Critical Ill Patients With COVID-19	https://clinicaltrials.gov/show/NCT04344080	NCT04344080; DRKS00021199	2021-04-01	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE		NULL	NULL	NULL
467	2021-10-26 09:18:31	2021-10-26 09:18:56	joschwietering	tri03499	NCT04433910	ClinicalTrials.gov	A Clinical Trial of Convalescent Plasma Compared to Best Supportive Care for Treatment of Patients With Severe COVID-19	https://clinicaltrials.gov/show/NCT04433910	NCT04433910; EUCTR2020-001310-38	2021-01-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	Control: Best supportive care, cross over for patients with progressive disease on day 14 with convalescent plasma transfusion on day 15, 17 and 19.
424	2021-10-26 09:25:34	2021-10-26 09:29:32	joschwietering	tri01805	NCT04346199	ClinicalTrials.gov	Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.	https://clinicaltrials.gov/show/NCT04346199	NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228	2020-11-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	NULL
410	2021-10-26 09:29:38	2021-10-26 09:30:46	joschwietering	tri01283	NCT04338958	ClinicalTrials.gov	Ruxolitinib in Covid-19 Patients With Defined Hyperinflammation	https://clinicaltrials.gov/show/NCT04338958	NCT04338958; EUCTR2020-001481-11	2021-07-01	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	NULL
404	2021-10-26 09:32:37	2021-10-26 09:39:15	joschwietering	tri03295	NCT04335136	ClinicalTrials.gov	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19	https://clinicaltrials.gov/show/NCT04335136	NCT04335136; EUCTR2020-001172-15	2020-12-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	Synonyms: APN01, RhACE2
347	2021-10-26 09:58:48	2021-10-26 09:59:43	ndevito	tri01483	NCT04280705	ClinicalTrials.gov	Adaptive COVID-19 Treatment Trial (ACTT)	https://clinicaltrials.gov/show/NCT04280705	NCT04280705; EUCTR2020-001052-18; JPRN-jRCT2031190264; ISRCTN13035264	2020-05-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	The baricitinib arm of this is another ClinicalTrials.gov registration (NCT04401579) but the same EUCTR one.
276	2021-10-26 10:03:32	2021-10-27 02:25:49	ndevito	tri03130	NCT04425460	ClinicalTrials.gov	A Multi-center,Randomized,Double-blind,Placebo-controlled,Phase 3 Study Evaluating Favipiravir in Treatment of COVID19	https://clinicaltrials.gov/show/NCT04425460	NCT04425460; EUCTR2020-001608-40	2020-08-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
250	2021-10-26 10:08:43	2021-10-27 02:26:31	ndevito	tri02142	NCT04393038	ClinicalTrials.gov	ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19	https://clinicaltrials.gov/show/NCT04393038		2021-03-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	NULL
206	2021-10-26 10:10:27	2021-10-26 10:11:17	ndevito	tri01170	NCT04359290	ClinicalTrials.gov	Ruxolitinib for Treatment of Covid-19 Induced Lung Injury ARDS	https://clinicaltrials.gov/show/NCT04359290	NCT04359290; EUCTR2020-001732-10	2020-12-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
190	2021-10-26 10:11:33	2021-10-26 10:16:28	ndevito	tri01501	NCT04351906	ClinicalTrials.gov	Low-flow Extracorporeal Carbon Dioxide Removal in COVID-19-associated Acute Respiratory Distress Syndrome	https://clinicaltrials.gov/show/NCT04351906	NCT04351906	2021-06-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
184	2021-10-26 10:16:41	2021-10-26 10:18:20	ndevito	tri01500	NCT04349098	ClinicalTrials.gov	Evaluation of Activity and Safety of Oral Selinexor in Participants With Severe COVID-19 Infection	https://clinicaltrials.gov/show/NCT04349098	NCT04349098; EUCTR2020-001411-25	2020-10-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	Selinexor brand name is Xpovio
105	2021-10-26 10:18:28	2021-10-27 02:26:52	ndevito	tri02675	EUCTR2020-001376-15	EU Clinical Trials Register	A study to investigate whether vaccination with VPM1002 can reduce the sick days of healthcare professionals during the SARS-CoV-2 pandemic	https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001376-15	EUCTR2020-001376-15; NCT04387409	2020-09-01	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	NULL
99	2021-10-26 10:22:23	2021-10-26 10:26:07	ndevito	tri01273	EUCTR2020-001408-41	EU Clinical Trials Register	Evaluation of efficacy and safety of an tocilizumab treatment in patients with severe COVID-19 pneumonia	https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001408-41	EUCTR2020-001408-41; DRKS00021238	2020-08-01	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		NULL	NULL	SoC given in both arms per DRKS, tough to tell this from EUCTR.
94	2021-10-26 10:26:16	2021-10-26 10:30:05	ndevito	tri03171	ISRCTN33578935	ISRCTN	To study the treatment of COVID-19 with severe viral pneumonia by using purified stem cell exosomes	http://www.isrctn.com/ISRCTN33578935	ISRCTN33578935; EUCTR2020-002326-90	2020-12-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
7	2021-10-30 07:31:50	2021-10-30 07:34:22	ndevito	tri00046	ChiCTR2000029768	ChiCTR	A randomized, open, controlled trial for diammonium glycyrrhizinate enteric-coated capsules combined with vitamin C tablets in the treatment of common novel coronavirus pneumonia (COVID-19) in the basic of clinical standard antiviral treatment to evaluate the safety and efficiency	http://www.chictr.org.cn/showprojen.aspx?proj=49131	ChiCTR2000029768	2020-05-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	Diammonium glycyrrhizinate is a TCM.\n\nCategories for intervention group are &quot;Traditional Medicine&quot; and &quot;Drug&quot; for Vitamin C
14	2021-10-30 07:34:28	2021-10-30 07:36:27	ndevito	tri00082	ChiCTR2000029548	ChiCTR	Randomized, open-label, controlled trial for evaluating of the efficacy and safety of Baloxavir Marboxil, Favipiravir, and Lopinavir-Ritonavir in the treatment of novel coronavirus pneumonia (COVID-19) patients	http://www.chictr.org.cn/showprojen.aspx?proj=49015	ChiCTR2000029548	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
21	2021-10-30 09:30:31	2021-10-30 09:36:18	ndevito	tri00114	ChiCTR2000030167	ChiCTR	Clinical Trial for Recombinant Human Interleukin-2 in the Treatment of Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49567	ChiCTR2000030167	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	I'm calling this a biologic based on the fact that aldesleukin (a marketed recombinant interleukin-2) is in the FDA's Purple book (for biologics) and not the Orange book (for drugs)
29	2021-10-30 09:36:30	2021-10-30 09:37:33	ndevito	tri00143	ChiCTR2000030039	ChiCTR	Clinical study for infusing convalescent plasma to treat patients with new coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49544	ChiCTR2000030039	2020-02-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
562	2021-10-31 05:33:35	2021-10-31 05:34:48	ndevito	tri04443	RPCEC00000337	RPCEC	OLIVO Study	https://rpcec.sld.cu/en/trials/RPCEC00000337-En	RPCEC00000337	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
558	2021-10-31 05:35:01	2021-10-31 05:38:44	ndevito	tri02921	RPCEC00000320	RPCEC	Rectal Ozone in the COVID-19 treatment	https://rpcec.sld.cu/en/trials/RPCEC00000320-En	RPCEC00000320	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Chloroquine;Heberferon;Lopinavir;Oseltamivir;Ritonavir	NULL	NULL
557	2021-10-31 05:38:53	2021-10-31 05:39:44	ndevito	tri02912	RPCEC00000311	RPCEC	Treatment of SARS CoV-2 pneumonia with the anti-CD6 monoclonal antibody itolizumab	https://rpcec.sld.cu/en/trials/RPCEC00000311-En	RPCEC00000311	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
524	2021-10-31 05:39:54	2021-10-31 05:42:24	ndevito	tri02328	NCT04328493	ClinicalTrials.gov	The Vietnam Chloroquine Treatment on COVID-19	https://clinicaltrials.gov/show/NCT04328493	NCT04328493	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
521	2021-10-31 05:42:29	2021-10-31 05:43:06	ndevito	tri03547	NCT04438980	ClinicalTrials.gov	Glucocorticoids in COVID-19 (CORTIVID)	https://clinicaltrials.gov/show/NCT04438980	NCT04438980; EUCTR2020-001827-15	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
520	2021-10-31 05:43:15	2021-10-31 07:17:27	ndevito	tri03451	NCT04420247	ClinicalTrials.gov	Efficacy of Chloroquine or Hydroxychloroquine in Treating Pneumonia Caused by SARS-Cov-2 - COVID-19	https://clinicaltrials.gov/show/NCT04420247	NCT04420247	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	A bit if an odd one for our coding scheme as experimental arm is chloroquine OR hydroxychloroquine, not combined. I've seperated them out into different arms as that is effectively what they are.
506	2021-10-31 05:45:08	2021-10-31 07:17:32	ndevito	tri01899	NCT04354259	ClinicalTrials.gov	Interferon Lambda for Immediate Antiviral Therapy at Diagnosis in COVID-19	https://clinicaltrials.gov/show/NCT04354259	NCT04354259	2021-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	Collapsed identical arms across 2 different settings into just 2 arms.
505	2021-10-31 05:53:41	2021-10-31 05:54:51	ndevito	tri00757	NCT04332094	ClinicalTrials.gov	Clinical Trial of the Use of Tocilizumab for Treatment of SARS-CoV-2 Infection (COVID-19)	https://clinicaltrials.gov/show/NCT04332094	NCT04332094; EUCTR2020-001442-19	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Azithromycin;Hydroxychloroquine	NULL	NULL
502	2021-10-31 05:55:01	2021-10-31 05:59:16	ndevito	tri05935	NCT04499677	ClinicalTrials.gov	FLARE: Favipiravir +/- Lopinavir: A RCT of Early Antivirals	https://clinicaltrials.gov/show/NCT04499677	NCT04499677; EUCTR2020-002106-68	2021-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	The 4 arms (factorial design) here are actually: Lop/Rit + Favi, Lop/Rit + Placebo, Favi + placebo, and full placebo. For our purposes, I've reduced this to three experimental arms (lop/rit + favi, favi, lop/rit) and one placebo control arm. This gets at all the relevant information we would want for analysis (i.e. it was placebo controlled etc).
456	2021-10-31 05:59:26	2021-10-31 06:01:11	ndevito	tri01426	NCT04346667	ClinicalTrials.gov	Post-Exposure Prophylaxis for Asymptomatic SARS-CoV-2 COVID-19 Patients With choloroquinE Compounds	https://clinicaltrials.gov/show/NCT04346667	NCT04346667	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	One HCQ arm is just the loading dose, while one is loading dose plus follow-on therapy
452	2021-10-31 06:01:19	2021-10-31 06:02:25	ndevito	tri03303	NCT04343729	ClinicalTrials.gov	Methylprednisolone in the Treatment of Patients With Signs of Severe Acute Respiratory Syndrome in Covid-19	https://clinicaltrials.gov/show/NCT04343729	NCT04343729	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
451	2021-10-31 07:17:47	2021-10-31 07:19:16	ndevito	tri03028	NCT04331795	ClinicalTrials.gov	Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis	https://clinicaltrials.gov/show/NCT04331795	NCT04331795	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	Broken up by population so collapsed into 1 arm
394	2021-10-31 07:19:47	2021-10-31 07:22:21	ndevito	tri04826	CTRI/2020/07/026840	CTRI	A study to assess the effectiveness of Ayurvedic formulation Guduchi Ghan vati in Covid-19 cases	http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45981	CTRI/2020/07/026840	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Hydroxychloroquine	NULL	NULL
35	2021-10-31 08:07:58	2021-10-31 08:08:38	ndevito	tri00172	ChiCTR2000029989	ChiCTR	A randomized controlled Trial for therapeutic efficacy of Recombinant Human Interferon alpha 1b Eye Drops in the treatment of elderly with novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49720	ChiCTR2000029989	2020-05-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
143	2021-10-31 08:57:03	2021-10-31 08:57:32	ndevito	tri01094	NCT04329572	ClinicalTrials.gov	Efficacy and Safety of Hydroxychloroquine and Azithromycin for the Treatment of Hospitalized Patients With Moderate to Severe COVID-19	https://clinicaltrials.gov/show/NCT04329572	NCT04329572	2020-05-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
569	2021-10-31 18:09:14	2021-10-31 18:25:59	joschwietering	tri05951	NCT04501978	ClinicalTrials.gov	ACTIV-3: Therapeutics for Inpatients With COVID-19	https://clinicaltrials.gov/show/NCT04501978	NCT04501978; EUCTR2020-003278-37; CTRI/2021/01/030830	2022-07-01	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	Bamlanivimab = LY3819253\nSotrovimab = VIR-7831\nLufotrelvir = PF-07304814\nAZD7442 is a combination of two LAABs - tixagevimab (AZD8895) and cilgavimab (AZD1061) 
568	2021-10-31 18:26:55	2021-10-31 18:27:32	joschwietering	tri03542	NCT04438850	ClinicalTrials.gov	COVidIVERmectin: Ivermectin for Treatment of Covid-19	https://clinicaltrials.gov/show/NCT04438850	NCT04438850; EUCTR2020-002283-32	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
566	2021-10-31 18:35:00	2021-10-31 18:35:20	joschwietering	tri03366	NCT04372186	ClinicalTrials.gov	A Study to Evaluate the Efficacy and Safety of Tocilizumab in Hospitalized Participants With COVID-19 Pneumonia	https://clinicaltrials.gov/show/NCT04372186	NCT04372186; PER-027-20	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
564	2021-10-31 18:36:05	2021-10-31 18:36:20	joschwietering	tri02944	NCT04348656	ClinicalTrials.gov	CONvalescent Plasma for Hospitalized Adults With COVID-19 Respiratory Illness (CONCOR-1)	https://clinicaltrials.gov/show/NCT04348656	NCT04348656	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
563	2021-10-31 18:37:36	2021-10-31 18:37:40	joschwietering	tri00675	NCT04330586	ClinicalTrials.gov	A Trial of Ciclesonide in Adults With Mild-to-moderate COVID-19	https://clinicaltrials.gov/show/NCT04330586	NCT04330586; KCT0005105	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
552	2021-10-31 18:39:54	2021-10-31 18:41:00	joschwietering	tri01922	NCT04379076	ClinicalTrials.gov	InterLeukin-7 (CYT107) to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection UK Cohort	https://clinicaltrials.gov/show/NCT04379076	NCT04379076; EUCTR2020-001786-36; ISRCTN15913068	2021-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		NULL	NULL	NULL
547	2021-10-31 18:42:41	2021-10-31 18:44:05	joschwietering	tri03612	NCT04445272	ClinicalTrials.gov	Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia	https://clinicaltrials.gov/show/NCT04445272	NCT04445272	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
517	2021-10-31 18:44:10	2021-10-31 18:44:16	joschwietering	tri01301	NCT04359810	ClinicalTrials.gov	Plasma Therapy of COVID-19 in Severely Ill Patients	https://clinicaltrials.gov/show/NCT04359810	NCT04359810	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	Control: Non-convalescent Plasma (control plasma)!
516	2021-10-31 18:47:14	2021-10-31 18:47:59	joschwietering	tri01131	NCT04354870	ClinicalTrials.gov	COVID-19 PrEP HCW HCQ Study	https://clinicaltrials.gov/show/NCT04354870	NCT04354870	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
514	2021-10-31 18:48:21	2021-10-31 18:48:37	joschwietering	tri03183	EUCTR2020-001243-15	EU Clinical Trials Register	Covid-19: A randomized, open-label, adaptive, proof-of- concept clinical trial of new antiviral drug candidates against SARS-CoV-2.	https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001243-15	EUCTR2020-001243-15	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
511	2021-10-31 18:51:32	2021-10-31 18:51:50	joschwietering	tri06277	NCT04542967	ClinicalTrials.gov	Study on the Safety and Efficacy of Convalescent Plasma in Patients With Severe COVID-19 Disease	https://clinicaltrials.gov/show/NCT04542967	NCT04542967	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
509	2021-10-31 18:53:21	2021-10-31 18:53:23	joschwietering	tri01941	NCT04385264	ClinicalTrials.gov	#StayHome: Early Hydroxychloroquine to Reduce Secondary Hospitalisation and Household Transmission in COVID-19	https://clinicaltrials.gov/show/NCT04385264		2022-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		NULL	NULL	NULL
477	2021-10-31 18:54:23	2021-10-31 18:54:29	joschwietering	tri03304	NCT04343976	ClinicalTrials.gov	Pegylated Interferon Lambda Treatment for COVID-19	https://clinicaltrials.gov/show/NCT04343976	NCT04343976	2021-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
475	2021-10-31 18:55:32	2021-10-31 18:55:34	joschwietering	tri03172	ISRCTN40302986	ISRCTN	Does ivermectin cure and/or prevent COVID-19?	http://www.isrctn.com/ISRCTN40302986	ISRCTN40302986	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
473	2021-10-31 18:57:16	2021-10-31 18:57:25	joschwietering	tri02612	NCT04411446	ClinicalTrials.gov	Cholecalciferol to Improve the Outcomes of COVID-19 Patients	https://clinicaltrials.gov/show/NCT04411446	NCT04411446	2021-05-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
471	2021-10-31 18:59:25	2021-10-31 18:59:28	joschwietering	tri01887	NCT04340349	ClinicalTrials.gov	Low-dose Hydroxychloroquine and Bromhexine: a Novel Regimen for COVID-19 Prophylaxis in Healthcare Professionals	https://clinicaltrials.gov/show/NCT04340349	NCT04340349	2021-05-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
469	2021-10-31 19:02:45	2021-10-31 19:02:57	joschwietering	tri02323	NCT04317040	ClinicalTrials.gov	CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment	https://clinicaltrials.gov/show/NCT04317040	NCT04317040	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	Ohter Names\nHuman CD24\nHuman IgG Fc Fusion Protein\nMK-7110
450	2021-10-31 19:04:21	2021-10-31 19:04:25	joschwietering	tri01096	NCT04330638	ClinicalTrials.gov	Treatment of COVID-19 Patients With Anti-interleukin Drugs	https://clinicaltrials.gov/show/NCT04330638	NCT04330638; EUCTR2020-001500-41	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
446	2021-10-31 19:07:23	2021-10-31 19:07:25	joschwietering	tri01123	NCT04351724	ClinicalTrials.gov	Austrian CoronaVirus Adaptive Clinical Trial (COVID-19)	https://clinicaltrials.gov/show/NCT04351724	NCT04351724; EUCTR2020-001302-30	2021-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		NULL	NULL	non-RAS blocking antihypertensives
445	2021-10-31 19:14:38	2021-10-31 19:14:40	joschwietering	tri03029	NCT04334460	ClinicalTrials.gov	Safety and Antiviral Activity of BLD-2660 in COVID-19 Hospitalized Subjects	https://clinicaltrials.gov/show/NCT04334460	NCT04334460; RBR-2kjm6y	2020-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	NULL
440	2021-10-31 19:16:05	2021-10-31 19:16:18	joschwietering	tri06160	NCT04530409	ClinicalTrials.gov	Timing of Corticosteroids in COVID-19	https://clinicaltrials.gov/show/NCT04530409	NCT04530409	2021-04-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	TRUE	early vs. late dexamethasone
435	2021-10-31 19:17:52	2021-10-31 19:18:15	joschwietering	tri01021	NCT04352959	ClinicalTrials.gov	COVID-19: Nasal and Salivary Detection of the SARS-CoV-2 Virus After Antiviral Mouthrinses	https://clinicaltrials.gov/show/NCT04352959	NCT04352959	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	Is Mouthrinse a &quot;drug&quot; or an &quot;other&quot;?
432	2021-10-31 19:19:55	2021-10-31 19:20:10	joschwietering	tri02245	NCT04331600	ClinicalTrials.gov	Chloroquine as Antiviral Treatment in Coronavirus Infection 2020	https://clinicaltrials.gov/show/NCT04331600	NCT04331600; EUCTR2020-001469-35	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	How to capture: &quot;+ telemedical approach.&quot;
