referenceid	db_id	trialid	source_register	title	web_address	trns	completion_month	is_german_covidevidence	is_german_in_germany	is_german_drks	is_german_euctr	is_searched_cutoff_2	is_searched_cutoff_3	abstract	type	control_type	placebo_plus_soc	category	intervention	intervention_plus_soc
102	tri04042	ACTRN12620000817943	ANZCTR	A Phase 1/2 randomized, placebo-controlled, multi-centre study to evaluate the safety and immunogenicity of COVID-19 Vaccine in Healthy Adults	https://anzctr.org.au/ACTRN12620000817943.aspx	ACTRN12620000817943	2020-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	no	NULL	NULL	NULL
102	tri04042	ACTRN12620000817943	ANZCTR	A Phase 1/2 randomized, placebo-controlled, multi-centre study to evaluate the safety and immunogenicity of COVID-19 Vaccine in Healthy Adults	https://anzctr.org.au/ACTRN12620000817943.aspx	ACTRN12620000817943	2020-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	vaccine_covid	HBsAg VLP Vaccine	no
102	tri04042	ACTRN12620000817943	ANZCTR	A Phase 1/2 randomized, placebo-controlled, multi-centre study to evaluate the safety and immunogenicity of COVID-19 Vaccine in Healthy Adults	https://anzctr.org.au/ACTRN12620000817943.aspx	ACTRN12620000817943	2020-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	vaccine_covid	HBsAg VLP Vaccine	no
1194	tri03168	ISRCTN89951424	ISRCTN	A phase III study to investigate a vaccine against COVID-19	http://www.isrctn.com/ISRCTN89951424	ISRCTN89951424; NCT04536051	2021-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	other_unknown	NULL	NULL	NULL	NULL
103	tri00820	ChiCTR2000031955	ChiCTR	Study for prevention of novel coronavirus pneumonia (COVID-19) in high risk population by Chinese medicine	http://www.chictr.org.cn/showprojen.aspx?proj=52364	ChiCTR2000031955	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
103	tri00820	ChiCTR2000031955	ChiCTR	Study for prevention of novel coronavirus pneumonia (COVID-19) in high risk population by Chinese medicine	http://www.chictr.org.cn/showprojen.aspx?proj=52364	ChiCTR2000031955	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	traditional_medicine	Traditional Medicine	undefined_soc
103	tri00820	ChiCTR2000031955	ChiCTR	Study for prevention of novel coronavirus pneumonia (COVID-19) in high risk population by Chinese medicine	http://www.chictr.org.cn/showprojen.aspx?proj=52364	ChiCTR2000031955	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Unspecified spray	undefined_soc
103	tri00820	ChiCTR2000031955	ChiCTR	Study for prevention of novel coronavirus pneumonia (COVID-19) in high risk population by Chinese medicine	http://www.chictr.org.cn/showprojen.aspx?proj=52364	ChiCTR2000031955	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	traditional_medicine	Traditional Medicine	undefined_soc
108	tri04220	ISRCTN16842454	ISRCTN	Effectiveness and safety of plasma convalescent therapy in patients with COVID-19	http://www.isrctn.com/ISRCTN16842454	ISRCTN16842454	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Convalescent Plasma	undefined_soc
108	tri04220	ISRCTN16842454	ISRCTN	Effectiveness and safety of plasma convalescent therapy in patients with COVID-19	http://www.isrctn.com/ISRCTN16842454	ISRCTN16842454	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	other_unknown	NULL	NULL	NULL	NULL
110	tri04396	IRCT20150825023753N17	IRCT	Evaluation of the effect of ghamz with needle on improvement of respiratory symptoms of COVID-19 patients admitted to hospital	http://en.irct.ir/trial/51709	IRCT20150825023753N17	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	traditional_medicine	Traditional Medicine	undefined_soc
110	tri04396	IRCT20150825023753N17	IRCT	Evaluation of the effect of ghamz with needle on improvement of respiratory symptoms of COVID-19 patients admitted to hospital	http://en.irct.ir/trial/51709	IRCT20150825023753N17	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	undefined_soc	NULL	NULL	NULL
171	tri00953	NCT04344756	ClinicalTrials.gov	Trial Evaluating Efficacy and Safety of Anticoagulation in Patients With COVID-19 Infection, Nested in the Corimmuno-19 Cohort	https://clinicaltrials.gov/show/NCT04344756	NCT04344756; EUCTR2020-001246-18	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Heparin (LMWH or Unfractionated);Heparin (LMWH or Unfractionated)	no
171	tri00953	NCT04344756	ClinicalTrials.gov	Trial Evaluating Efficacy and Safety of Anticoagulation in Patients With COVID-19 Infection, Nested in the Corimmuno-19 Cohort	https://clinicaltrials.gov/show/NCT04344756	NCT04344756; EUCTR2020-001246-18	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	defined_soc	NULL	NULL	NULL	NULL
194	tri02335	NCT04354428	ClinicalTrials.gov	Treatment for COVID-19 in High-Risk Adult Outpatients	https://clinicaltrials.gov/show/NCT04354428	NCT04354428	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	no	NULL	NULL	NULL
194	tri02335	NCT04354428	ClinicalTrials.gov	Treatment for COVID-19 in High-Risk Adult Outpatients	https://clinicaltrials.gov/show/NCT04354428	NCT04354428	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Lopinavir;Ritonavir	no
194	tri02335	NCT04354428	ClinicalTrials.gov	Treatment for COVID-19 in High-Risk Adult Outpatients	https://clinicaltrials.gov/show/NCT04354428	NCT04354428	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Hydroxychloroquine	no
194	tri02335	NCT04354428	ClinicalTrials.gov	Treatment for COVID-19 in High-Risk Adult Outpatients	https://clinicaltrials.gov/show/NCT04354428	NCT04354428	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Azithromycin;Hydroxychloroquine	no
203	tri01154	NCT04357782	ClinicalTrials.gov	Administration of Intravenous Vitamin C in Novel Coronavirus Infection (COVID-19) and Decreased Oxygenation	https://clinicaltrials.gov/show/NCT04357782	NCT04357782	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Vitamin C	no
212	tri01197	NCT04361435	ClinicalTrials.gov	Lung Recruitment Device for COVID-19	https://clinicaltrials.gov/show/NCT04361435	NCT04361435	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	procedure	Physiotherapy;non-invasive oscillating device (NIOD)	no
212	tri01197	NCT04361435	ClinicalTrials.gov	Lung Recruitment Device for COVID-19	https://clinicaltrials.gov/show/NCT04361435	NCT04361435	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	procedure	Physiotherapy;non-invasive oscillating device (NIOD)	no
216	tri01330	NCT04366856	ClinicalTrials.gov	PROne Positioning in coVID-19 Oxygeno-dependent Patients in Spontaneous Ventilation (PROVID Study)	https://clinicaltrials.gov/show/NCT04366856	NCT04366856	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	procedure	Prone Positioning	no
216	tri01330	NCT04366856	ClinicalTrials.gov	PROne Positioning in coVID-19 Oxygeno-dependent Patients in Spontaneous Ventilation (PROVID Study)	https://clinicaltrials.gov/show/NCT04366856	NCT04366856	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	no_treatment	NULL	NULL	NULL	NULL
226	tri01564	NCT04377997	ClinicalTrials.gov	Safety and Efficacy of Therapeutic Anticoagulation on Clinical Outcomes in Hospitalized Patients With COVID-19	https://clinicaltrials.gov/show/NCT04377997	NCT04377997	2021-01-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Heparin (LMWH or Unfractionated)	no
226	tri01564	NCT04377997	ClinicalTrials.gov	Safety and Efficacy of Therapeutic Anticoagulation on Clinical Outcomes in Hospitalized Patients With COVID-19	https://clinicaltrials.gov/show/NCT04377997	NCT04377997	2021-01-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	defined_soc	NULL	NULL	NULL	NULL
230	tri01846	NCT04381871	ClinicalTrials.gov	Potential Role of Gum Arabic as Immunomodulatory Agent Among COVID 19 Patients	https://clinicaltrials.gov/show/NCT04381871		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	traditional_medicine	Traditional Medicine	no
230	tri01846	NCT04381871	ClinicalTrials.gov	Potential Role of Gum Arabic as Immunomodulatory Agent Among COVID 19 Patients	https://clinicaltrials.gov/show/NCT04381871		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	no	NULL	NULL	NULL
231	tri01848	NCT04382131	ClinicalTrials.gov	Hypertonic Saline Nasal Irrigation and Gargling in Suspected or Confirmed COVID-19 (ELVIS COVID-19)	https://clinicaltrials.gov/show/NCT04382131	NCT04382131	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	other	Nasopharyngeal saline wash	no
231	tri01848	NCT04382131	ClinicalTrials.gov	Hypertonic Saline Nasal Irrigation and Gargling in Suspected or Confirmed COVID-19 (ELVIS COVID-19)	https://clinicaltrials.gov/show/NCT04382131	NCT04382131	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
233	tri03071	NCT04382768	ClinicalTrials.gov	Inhaled Ibuprofen to Treat COVID-19	https://clinicaltrials.gov/show/NCT04382768		2021-01-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Ibuprofen	undefined_soc
244	tri02056	NCT04390061	ClinicalTrials.gov	TOFAcitinib Plus Hydroxycloroquine vs Hydroxycloroquine in Patients With COVID-19 Interstitial Pneumonia	https://clinicaltrials.gov/show/NCT04390061	NCT04390061; EUCTR2020-002035-30	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Tofacitinib	defined_soc
244	tri02056	NCT04390061	ClinicalTrials.gov	TOFAcitinib Plus Hydroxycloroquine vs Hydroxycloroquine in Patients With COVID-19 Interstitial Pneumonia	https://clinicaltrials.gov/show/NCT04390061	NCT04390061; EUCTR2020-002035-30	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	defined_soc	NULL	NULL	NULL	NULL
245	tri02060	NCT04390412	ClinicalTrials.gov	Low Dose Radiotherapy in COVID-19 Pneumonia	https://clinicaltrials.gov/show/NCT04390412	NCT04390412; IRCT20200509047366N1	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	procedure	Low Dose Radiotherapy	undefined_soc
252	tri02268	NCT04393415	ClinicalTrials.gov	Using PRP and Cord Blood in Treatment of Covid -19	https://clinicaltrials.gov/show/NCT04393415		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Stem Cells (Mesenchymal)	no
252	tri02268	NCT04393415	ClinicalTrials.gov	Using PRP and Cord Blood in Treatment of Covid -19	https://clinicaltrials.gov/show/NCT04393415		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Platelet Rich Plasma	no
252	tri02268	NCT04393415	ClinicalTrials.gov	Using PRP and Cord Blood in Treatment of Covid -19	https://clinicaltrials.gov/show/NCT04393415		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	no_treatment	NULL	NULL	NULL	NULL
267	tri02532	NCT04410510	ClinicalTrials.gov	P2Et Extract in the Symptomatic Treatment of Subjects With COVID-19	https://clinicaltrials.gov/show/NCT04410510	NCT04410510	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	defined_soc	NULL	NULL	NULL
270	tri02997	NCT04420260	ClinicalTrials.gov	Primary Prevention of Infection by COVID-19 in Health Providers	https://clinicaltrials.gov/show/NCT04420260	NCT04420260	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	no	NULL	NULL	NULL
270	tri02997	NCT04420260	ClinicalTrials.gov	Primary Prevention of Infection by COVID-19 in Health Providers	https://clinicaltrials.gov/show/NCT04420260	NCT04420260	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	multiple	food emulsion (unspecified);oropharygeal spray (unspecified)	no
271	tri03008	NCT04421391	ClinicalTrials.gov	QuadraMune(TM) for Prevention of COVID-19	https://clinicaltrials.gov/show/NCT04421391	NCT04421391	2020-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	nutritional_supplement	QuadraMune	no
281	tri03488	NCT04432987	ClinicalTrials.gov	Dornase Alpha for the Treatment of COVID-19	https://clinicaltrials.gov/show/NCT04432987		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Dornase Alfa	no
281	tri03488	NCT04432987	ClinicalTrials.gov	Dornase Alpha for the Treatment of COVID-19	https://clinicaltrials.gov/show/NCT04432987		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	other_unknown	NULL	NULL	NULL	NULL
284	tri03525	NCT04436471	ClinicalTrials.gov	An Open Study of the Safety, Tolerability and Immunogenicity of the Drug 'Gam-COVID-Vac' Vaccine Against COVID-19	https://clinicaltrials.gov/show/NCT04436471	NCT04436471	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	vaccine_covid	Gam-COVID-Vac (Sputnik V)	no
284	tri03525	NCT04436471	ClinicalTrials.gov	An Open Study of the Safety, Tolerability and Immunogenicity of the Drug 'Gam-COVID-Vac' Vaccine Against COVID-19	https://clinicaltrials.gov/show/NCT04436471	NCT04436471	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	vaccine_covid	Gam-COVID-Vac (Sputnik V)	no
284	tri03525	NCT04436471	ClinicalTrials.gov	An Open Study of the Safety, Tolerability and Immunogenicity of the Drug 'Gam-COVID-Vac' Vaccine Against COVID-19	https://clinicaltrials.gov/show/NCT04436471	NCT04436471	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	vaccine_covid	Gam-COVID-Vac (Sputnik V)	no
287	tri03558	NCT04441424	ClinicalTrials.gov	Convalescent Plasma Therapy on Critically-ill Novel Coronavirus (COVID-19) Patients	https://clinicaltrials.gov/show/NCT04441424	NCT04441424	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Convalescent Plasma	defined_soc
287	tri03558	NCT04441424	ClinicalTrials.gov	Convalescent Plasma Therapy on Critically-ill Novel Coronavirus (COVID-19) Patients	https://clinicaltrials.gov/show/NCT04441424	NCT04441424	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	defined_soc	NULL	NULL	NULL	NULL
294	tri05473	NCT04452773	ClinicalTrials.gov	Clinical Trial to Evaluate the Efficacy of Food Supplement Manremyc® Against SARS- COV-2 Infection (COVID-19) in Healthcare Workers	https://clinicaltrials.gov/show/NCT04452773	NCT04452773	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	no	NULL	NULL	NULL
294	tri05473	NCT04452773	ClinicalTrials.gov	Clinical Trial to Evaluate the Efficacy of Food Supplement Manremyc® Against SARS- COV-2 Infection (COVID-19) in Healthcare Workers	https://clinicaltrials.gov/show/NCT04452773	NCT04452773	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	nutritional_supplement	Manremyc	no
314	tri05983	NCT04508439	ClinicalTrials.gov	Effect of the Use of Anticoagulant Therapy During Hospitalization and Discharge in Patients With COVID-19 Infection	https://clinicaltrials.gov/show/NCT04508439	NCT04508439	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Heparin (LMWH or Unfractionated)	no
314	tri05983	NCT04508439	ClinicalTrials.gov	Effect of the Use of Anticoagulant Therapy During Hospitalization and Discharge in Patients With COVID-19 Infection	https://clinicaltrials.gov/show/NCT04508439	NCT04508439	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	defined_soc	NULL	NULL	NULL	NULL
318	tri06088	NCT04521400	ClinicalTrials.gov	the Investigation Into Beneficial Effects of High-dose Interferon Beta 1-a, Compared to Low-dose Interferon Beta 1-a in Moderate to Severe Covid-19	https://clinicaltrials.gov/show/NCT04521400	NCT04521400	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Interferon Beta (Any)	defined_soc
318	tri06088	NCT04521400	ClinicalTrials.gov	the Investigation Into Beneficial Effects of High-dose Interferon Beta 1-a, Compared to Low-dose Interferon Beta 1-a in Moderate to Severe Covid-19	https://clinicaltrials.gov/show/NCT04521400	NCT04521400	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Interferon Beta (Any)	defined_soc
320	tri06130	NCT04527133	ClinicalTrials.gov	An Open Non-comparative Study of the Efficacy and Safety of Aprotinin in Patients Hospitalized With COVID-19	https://clinicaltrials.gov/show/NCT04527133	NCT04527133	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Aprotinin;Favipiravir	undefined_soc
320	tri06130	NCT04527133	ClinicalTrials.gov	An Open Non-comparative Study of the Efficacy and Safety of Aprotinin in Patients Hospitalized With COVID-19	https://clinicaltrials.gov/show/NCT04527133	NCT04527133	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Aprotinin	undefined_soc
329	tri06378	NCT04559035	ClinicalTrials.gov	Nasal Irrigation to Reduce COVID-19 Morbidity	https://clinicaltrials.gov/show/NCT04559035	NCT04559035	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Sodium Bicarbonate	no
329	tri06378	NCT04559035	ClinicalTrials.gov	Nasal Irrigation to Reduce COVID-19 Morbidity	https://clinicaltrials.gov/show/NCT04559035	NCT04559035	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Povidone-iodine	no
341	tri06851	NCT04632602	ClinicalTrials.gov	Awake Prone Position to Reduce Ventilation Inhomogeneity in COVID-19 Acute Respiratory Failure	https://clinicaltrials.gov/show/NCT04632602	NCT04632602	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	procedure	Prone Positioning	no
341	tri06851	NCT04632602	ClinicalTrials.gov	Awake Prone Position to Reduce Ventilation Inhomogeneity in COVID-19 Acute Respiratory Failure	https://clinicaltrials.gov/show/NCT04632602	NCT04632602	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	other_unknown	NULL	NULL	NULL	NULL
348	tri01300	NCT04359797	ClinicalTrials.gov	COVID-19 Patient Positioning Pragmatic Trial	https://clinicaltrials.gov/show/NCT04359797	NCT04359797	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	procedure	Prone Positioning	no
348	tri01300	NCT04359797	ClinicalTrials.gov	COVID-19 Patient Positioning Pragmatic Trial	https://clinicaltrials.gov/show/NCT04359797	NCT04359797	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	no_treatment	NULL	NULL	NULL	NULL
356	tri07210	NCT04666116	ClinicalTrials.gov	Changes in Viral Load in COVID-19 After Probiotics	https://clinicaltrials.gov/show/NCT04666116	NCT04666116	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	nutritional_supplement	Probiotic (Unspecified)	undefined_soc
356	tri07210	NCT04666116	ClinicalTrials.gov	Changes in Viral Load in COVID-19 After Probiotics	https://clinicaltrials.gov/show/NCT04666116	NCT04666116	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
360	tri03299	NCT04341688	ClinicalTrials.gov	A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients	https://clinicaltrials.gov/show/NCT04341688	NCT04341688	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	no	NULL	NULL	NULL
360	tri03299	NCT04341688	ClinicalTrials.gov	A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients	https://clinicaltrials.gov/show/NCT04341688	NCT04341688	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Povidone-iodine	no
360	tri03299	NCT04341688	ClinicalTrials.gov	A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients	https://clinicaltrials.gov/show/NCT04341688	NCT04341688	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Hydrogen peroxide	no
360	tri03299	NCT04341688	ClinicalTrials.gov	A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients	https://clinicaltrials.gov/show/NCT04341688	NCT04341688	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Azadirachta indicia	no
360	tri03299	NCT04341688	ClinicalTrials.gov	A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients	https://clinicaltrials.gov/show/NCT04341688	NCT04341688	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Hypertonic Saline	no
363	tri06718	NCT04610567	ClinicalTrials.gov	Treatment of Patients With Mild Coronavirus-19 (COVID-19) Disease With Methotrexate Associated to LDL Like Nanoparticles (Nano-COVID19)	https://clinicaltrials.gov/show/NCT04610567	NCT04610567	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	no	NULL	NULL	NULL
363	tri06718	NCT04610567	ClinicalTrials.gov	Treatment of Patients With Mild Coronavirus-19 (COVID-19) Disease With Methotrexate Associated to LDL Like Nanoparticles (Nano-COVID19)	https://clinicaltrials.gov/show/NCT04610567	NCT04610567	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Methotrexate	no
