,interventions,counts
789,Linagliptin,1
827,hyperimmune bovine colostrum,1
828,Recombinant COVID-19 vaccine (Sf9 cells),1
829,Recombinant SARS-CoV-2 Vaccine (Sf9 Cell),1
831,Viral macrophage inflammatory protein,1
832,Azivudine,1
833,Vitamin A,1
835,Unspecified spray,1
836,Tinzaparin;Unfractionated heparin,1
838,Platelet Rich Plasms,1
815,Nitazoxanide;Vitamin Super B-Complex,1
813,Traditional Medicine;Umifenovir (Arbidol),1
812,Transcutaneous Auricular Vagus Nerve Stimulation,1
811,Eculizumab,1
791,Traditional Chinese Medicine (TCM);Vitamin C,1
792,Washed microbiota transplantation,1
793,recombinant tissue-Plasminogen Activator (rt-PA),1
794,Ramipril,1
795,alpha-1 antitrypsin,1
796,kolimycin,1
797,Naproxen,1
798,mesenchymal stem cells,1
799,Aerosol mask;Low-flow nasal cannula,1
800,Aerosol mask with one hole closed;Low-flow nasal cannula,1
801,Participate in a massive musical event,1
802,core warming,1
803,School closed,1
804,School open,1
805,SNG001,1
807,BVM compressor;Mechanical Ventilation,1
808,High Flow Nasal Oxygen therapy;Prone Positioning,1
809,High Flow Nasal Oxygen therapy;Supine Positioning,1
810,Interferon Beta;Lopinavir;Ritonavir,1
839,food emulsion (unspecified);oropharygeal spray (unspecified),1
840,QuadraMune,1
841,Manremyc,1
868,Prolectin-M,1
871,Text message,1
872,Sleep Position Trainer,1
873,pulse oximeter,1
874,CBDRA60,1
875,Monitoring wearable,1
876,Dental tools,1
877,Grapefruit Seed Extract;Xylitol,1
878,Amiodarone,1
879,Verapamil,1
880,Daclatasvir;Ribavirin;Sofosbuvir,1
881,Methylene Blue;N-acetyl cysteine;Vitamin C,1
882,Vitamin D3 (Calcitriol),1
883,AG0301-COVID19 (AnGes),1
884,Recombinant human angotensin-converting enzyme 2 (rhACE2),1
885,Lopinavir;Novaferon;Ritonavir,1
886,Sabizabulin,1
887,ACE Inhibitors;angiotensin II receptor blockers (ARB),1
888,MenACWY,1
890,Favipiravir;Umifenovir (Arbidol),1
869,Personal protective equipment (PPE),1
867,TD-0903,1
842,Aprotinin;Favipiravir,1
866,Hypertonic Saline,1
843,Aprotinin,1
844,Baking soda,1
845,Azadirachta indicia,1
846,hypertonic saline,1
848,KB109,1
849,Anticoagulants (Unspecified),1
850,Dexamethasone;Methylprednisolone,1
851,Elmo System,1
853,Toothpaste,1
854,Resveratrol,1
855,inosine-glutathione;potassium chloride,1
857,Mechanical Anticoagulation,1
858,Aerobic Exercises,1
859,KELEA Excellerated Water,1
861,Sodium Aescinate,1
862,Alendronic Acid,1
863,vibroacoustic device,1
864,AN69-Oxiris Membrane,1
865,AN69-Standard Membrane,1
790,5% glucose;Traditional Chinese Medicine (TCM),1
788,Aspirin;Atorvastatin;Omeprazole;Rivaroxaban;clopidogrel,1
682,holding the RAAS inhibitor,1
721,Resistant Starch,1
712,Rehabilitation exercise protocol,1
713,Abatacept (ORENCIA),1
714,Pyronaridine-Artesunate (Pyramax),1
715,Enzalutamide,1
716,Prismaflex® oXiris® system,1
717,Angiography scan,1
718,ATI-450,1
719,Thymalfasin,1
720,Bardoxolone Methyl,1
722,Dapagliflozin,1
787,recombinant chimeric DC vaccine,1
723,RBT-9,1
724,Ibrutinib,1
725,zanubrutinib,1
726,MAS825,1
727,Astegolimab,1
728,Efmarodocokin alfa,1
729,Angiotensin Receptor Blockers (ARB),1
730,Degarelix,1
732,LifeSignals Biosensor,1
711,cloth face mask,1
710,BBV152A Vaccine,1
709,Ibudilast,1
708,LSALT peptide,1
683,Human Amniotic Fluid,1
685,Prolastin,1
687,Aprepitant injectable emulsion,1
689,Triazavirin,1
690,General health education,1
691,Personalized health education,1
692,Lidocaine,1
694,L-citrulline,1
695,INB03,1
697,EB05,1
698,Nicotinamide riboside,1
699,Aviptadil,1
700,Conestat alfa,1
701,APL-9,1
702,TL-895,1
703,Bovine Lipid Extract Surfactant (BLES),1
704,Sirukumab,1
706,Autophagy inhibitor (GNS651),1
707,Monalizumab,1
733,NasoVAX,1
734,Glycine,1
735,Prostacyclin (Iloprost),1
764,High flow nasal cannula;Oxygen,1
767,Oxygen;balloon-blowing,1
768,Interferon-beta-1a,1
769,TRV027,1
771,Interferon-beta-1a;Lopinavir;Ritonavir,1
772,Compound amino acid,1
773,Cytosorb adsorber,1
774,sitagliptin,1
775,Baby Shampoo;Nasopharyngeal saline wash,1
776,Auricular neuromodulation,1
777,Naltrexone,1
778,Ketamine,1
779,AYUSH-64,1
780,Tahini oil,1
781,Shuanghuanglian,1
782,Fluoxetine,1
783,Viruxal Nasal Spray,1
784,Zinc Chloride,1
785,1E11vp vaccine,1
786,5E10vp vaccine,1
765,High flow nasal cannula;Oxygen;Prone Positioning,1
763,UVC,1
736,Apilimod Dimesylate,1
762,Regulating intestinal flora,1
737,Folic Acid,1
738,Artesunate;Vitamin C,1
547,Saisei Maf,1
741,TCC-COVID mHealth solution (smartphone application),1
742,Allogeneic Amniotic Epithelial Cells,1
743,VPM1002 vaccine,1
744,AT-301,1
746,benzalkonium chloride,1
747,AZD1222,1
748,UB-612,1
749,silver nanoparticles (AgNPs),1
750,V-SARS,1
752,Positive Expiratory Pressure (PEP) flute,1
756,Tetrandrine,1
757,Human embryonic stem cell-derived M cells (CAStem),1
758,gastroscope mask,1
759,Eight lung exercises,1
760,Free activities,1
761,Camrelizumab,1
548,Exogenous Surfactant,1
446,Apixaban;Hydroxychloroquine,1
546,Brensocatib,1
215,Nitric Oxide via LungFit system,1
207,P2Y12 inhibitor (Unspecified);heparin,1
208,P2Y12 inhibitor (Unspecified),1
209,Crizanlizumab,1
210,SGLT2 inhibitor (Unspecified),1
211,immunomodulary agent,1
212,axatilimab,1
213,Aspirin;Dipyridamole,1
214,Secukinumab,1
217,Isotretinoin;Tamoxifen,1
203,dexmedetomidine,1
218,Aerosolized Isotretinoin;Tamoxifen,1
219,Emtricitabin;Tenofovir,1
220,Emtricitabine;Hydroxychloroquine;Tenofovir,1
222,ViraCide,1
223,Nuvastatic,1
226,Edoxaban,1
227,Colchicine;Edoxaban,1
231,Ambrisentan;Dapagliflozin,1
205,Sulfonatoporphyrin (TPPS);Sunlight exposure,1
202,NK cells;Umbilical Cord-Mesenchymal Stem Cells (UC-MSCs),1
297,Liposomal Lacroferrin,1
182,Polyinosinic-polycytidylic Acid,1
167,DAS181,1
168,Natural honey,1
169,immunity- and matrix-regulatory cells (IMRCs),1
174,Pyridostigmine,1
175,spironolactone,1
177,Dialyzable Leukocyte Extract (DLE),1
178,Hydrogen Oxygen Generator with Nebulizer,1
181,selenium,1
185,Baicalein,1
201,povidone-iodine (PVP-I),1
186,artemisinin-pipequine,1
188,celecoxib,1
190,Lactobacillus K8,1
191,Levamisole,1
192,Isoprinosine,1
193,Isoprinosine;Levamisole,1
194,Estradiol,1
197,Triiodothyronine,1
232,Meningococcal vaccine,1
233,CIGB 300,1
235,Supine Positioning,1
282,orotracheal intubation,1
273,Dalargin;Leitragin,1
274,Thymosin Alpha,1
275,Garadacimab;monoclonal antibody,1
277,Clevudine,1
278,Low Dose Radiotherapy,1
279,Nebulized Heparin,1
280,Iota-Carrageenan;Ivermectin,1
281,Plasmapheresis,1
283,Aerosolized Isotretinoin;Recombinant Bacterial ACE2,1
236,All-Trans Retinoic acid;Tamoxifen,1
284,Aerosolized 13 cis retinoic acid;captopril,1
285,Prostaglandin E1,1
287,Estradiol;norelgesetromin,1
289,leukocyte modulatory device (L-MOD);slow low-efficiency daily dialysis (SLEDD),1
290,Ruxolitinib;Therapeutic plasma exchange,1
292,Auxora,1
293,Metformin,1
294,Ensifentrine,1
272,Leitragin,1
271,Dalargin,1
270,Progesterone,1
267,Doxycycline;Zinc,1
237,Berberine,1
238,XC221,1
240,Ramelteon,1
241,Cannabidiol,1
242,Nebulised dornase alfa,1
243,Diosmin;Hesperidin,1
247,Bromhexine;spironolactone,1
248,Multiwave Locked System (MLS) Laser Therapy,1
249,Desferal,1
250,COVID-19 Specific T Cell derived exosomes (CSTC-Exo),1
252,All trans retinoic acid,1
254,Boswellia Serrata gum;Licorice extract,1
255,Bone Marrow Mesenchymal Stem Cell,1
261,Indometacin,1
262,Metabolic cofactor (unspecified),1
263,Convalescent Plasma;Therapeutic plasma exchange,1
266,Brequinar,1
166,Tradipitant,1
165,S,1
163,Ruxolitinib;Simvastatin,1
76,Azithromycin;Cospherunate;Phytomedicine,1
58,Interferon Beta;Remdesivir,1
64,NA-831,1
65,Atazanavir;NA-831,1
66,Dexamethasone;NA-831,1
67,Atazanavir;Dexamethasone,1
68,Ivermectin;Losartan,1
73,Merimepodib;Remdesivir,1
75,Azithromycin;Cospherunate,1
77,Doxycycline;Hydroxychloroquine,1
96,Ivermectin;Nitazoxanide;Ribavirin,1
78,Clindamycin;Hydroxychloroquine,1
81,peginterferon Lambda-1a,1
84,Recombinant human plasma gelsolin (Rhu-pGSN),1
85,Hydrocortisone,1
87,Azithromycin;Favipiravir,1
89,mefloquine,1
90,Azithromycin;Tocilizumab;mefloquine,1
91,Azithromycin;Hydroxychloroquine;Tocilizumab,1
56,BLD-2660,1
55,Pentaglobin,1
53,non-RAS blocking antihypertensives,1
52,Candesartan,1
5,BNT162b1,1
7,BNT162b2SA,1
12,ABX464,1
13,Extracorporeal CO2 removal (ECCO2R),1
14,Selinexor,1
17,Exosomes,1
28,Blood Transfusion,1
29,Favipiravir;Lopinavir;Ritonavir,1
34,BRII-196/BRII-198,1
35,Lufotrelvir,1
36,Ensovibep,1
40,Itraconazole,1
43,Bromhexine;Hydroxychloroquine,1
44,CD24Fc,1
47,Anakinra;Siltuximab,1
48,Anakinra;Tocilizumab,1
51,Thromboprophylaxis,1
92,Vitamin C;Zinc,1
97,Hydroxychloroquine;sirolimus,1
162,Neuromuscular Electrical Stimulation (NMES),1
146,Clofazimine;Interferon Beta,1
134,Vitamins (unspecified),1
138,Azithromycin;Hydroxychloroquine;Zinc,1
139,Lopinavir;Ritonavir;Zinc,1
140,JS016,1
142,Black Seed Oil,1
143,Lopinavir;Remdesivir;Ritonavir,1
144,Hydroxychloroquine;Ivermectin,1
145,DWJ1248,1
147,Clofazimine,1
98,Aspirin;Vitamin D (Cholecalciferol),1
148,Lopinavir;Ritonavir;Traditional Medicine,1
149,Low molecular weight heparin (LMWH);Methylprednisolone,1
150,Methylprednisolone;Unfractionated heparin,1
152,Mechanical Ventilation (non-invasive),1
153,Masks,1
157,LY3127804,1
159,Extracorporeal Cytokine Absorber,1
160,blood filtration,1
133,Isoprinosin;Levamisol,1
132,Stem Cells (Mesenchymal);umbilical cord mesenchymal,1
130,Pamrevlumab,1
128,Bamlanivimab;Etesevimab;LY3853113,1
101,Peginterferon Lambda-1a,1
102,Azithromycin;Hydroxychloroquine;Indometacin,1
103,Methylprednisolone;Tacrolimus,1
104,Pembrolizumab;Tocilizumab,1
105,Budesonide;Formoterol;Levamisol,1
109,Hydroxychloroquine;Oseltamivir,1
110,Azithromycin;Oseltamivir,1
111,Azithromycin;Hydroxychloroquine;Oseltamivir,1
114,Recombinant Super-Compound Interferon,1
117,Artemisine;Piperaquine,1
118,Febuxostat;Paracetamol,1
119,Hydroxychloroquine;Paracetamol,1
120,Danoprevir;Interferon Beta;Ritonavir,1
121,Blood Transfusion;Convalescent Plasma;Methylene Blue,1
122,Convalescent Plasma;Methylene Blue,1
126,Bamlanivimab;Sotrovimab,1
127,LY3853113,1
296,Almitrine,1
300,AdimrSC-2f Vaccine;Aluminum,1
545,Silymarin,1
470,Melatonin;N-acetyl cysteine;Pentoxifylline;Vitamin C;Vitamin E,1
455,Doxycycline;Rivaroxaban,1
456,nutrition mix,1
457,Bufei,1
458,Hydroxychloroquine;Ritonavir;darunavir,1
459,Ribavirin,1
460,Lopinavir;Ribavirin;Ritonavir,1
465,Ascorbic Acid;Zinc,1
466,Nitric Oxide,1
471,Caficrestat (,1
453,ImmunoLin,1
472,Infliximab,1
474,Antroquinonol,1
476,angiotensin II receptor blockers (ARB);angiotensin converting enzyme inhibitors (ACEi),1
477,Gimsilumab,1
478,CERC-002,1
479,EpiVacCorona,1
480,Bidirectional Oxygenation Valve,1
481,Hydrogen-Oxygen Generator with Nebulizer,1
454,Aldesleukin,1
452,Dutasteride,1
302,epoprostenol,1
440,gerontological telemonitoring,1
430,Ruxolitinib;Stem Cells (Mesenchymal),1
431,Lipoic,1
432,LL-37 antiviral peptide (CAS001),1
434,Chloroquine;Favipiravir,1
435,Inspiratory training device,1
436,Expiratory training,1
438,Anluohuaxian,1
439,Valsartan,1
441,Aliskiren,1
451,Atazanavir;Nitazoxanide;Ritonavir,1
442,Nifedipine,1
443,Pinene Hydronoplactone Ribonucleic (PHR),1
444,Consumption of foods rich in Vitamin-D,1
445,Remdesivir;Tocilizumab,1
447,Apixaban,1
448,RD-X19 Device,1
449,Lopinavir;Ritonavir;Telmisartan,1
450,Atorvastatin;Lopinavir;Ritonavir,1
482,Calcifediol,1
483,Standard plasma,1
485,Avasopasem Manganese (GC4419),1
529,Artesunate;Pyronaridin,1
515,Travelan,1
516,Cefditoren,1
518,Crocodile Breathing,1
520,Trimetazidine,1
521,Sodium Hypochlorite,1
523,Liothyronine,1
527,AS03;GBP510,1
528,Hyperthermia therapy,1
530,CPAP (Helmet),1
486,Hydrogen,1
531,Covid Testing,1
533,Menaquinone-7,1
534,Lactobacillus,1
537,Carragelose,1
539,MVC-COV1901 vaccine,1
540,Tetracycline hydrochloride,1
542,ursodeoxycholate,1
544,Atorvastatin;Folic Acid;L-Arginine;Nicorandil;Vitamin B,1
514,Probiotic;Vitamin B;nutritional support system,1
512,mucoadhesive paste,1
510,Sildenafil citrate,1
509,Tramadol,1
487,external diaphragmatic pacing assisted invasive ventilation,1
488,Opaganib,1
490,MenACWY vaccine,1
491,Ultra Short Wave Electrotherapy,1
492,Alpha lipoic acid,1
494,Blood purification,1
495,Abidol;interferon atomization,1
496,Favipiravir;Tocilizumab,1
499,Bromelain;Quercetin;Vitamin C;Zinc,1
501,Recombinant Interferon Alpha;Thymosin Alpha,1
502,Interferon Beta;Ribavirin,1
503,Dociparstat sodium,1
504,Aspirin;clopidogrel;fondaparinux;tirofiban,1
505,Recombinant Interferon Alpha Gamma,1
506,Fitbit,1
507,Physiotherapy,1
508,Combined Thoracic Ultrasound,1
429,Interferon Alpha;Lopinavir,1
428,Ebastine;Interferon Alpha;Lopinavir,1
426,Random Donor Plasma,1
351,Hydroxychloroquine;Nitazoxanide;Ribavirin,1
335,ArtemiC,1
336,octagram,1
337,Iloprost,1
340,Losmapimod,1
344,Colchicine;herbal phenolic monoterpene fractions,1
345,Helmet CPAP,1
346,Hepatocyte growth factor mimetic,1
350,liposomal transcrocetin,1
352,LTX-109,1
366,metenkefalin;tridecactide,1
355,Ravidasvir;Sofosbuvir,1
356,Rhea Health Tone,1
357,Systemic indirect endovenous ozone therapy,1
358,Ivermectin;Nitazoxanide,1
359,COVSurf Drug Delivery System,1
360,Amoxicillin;Azithromycin;clavulanate,1
361,Amoxicillin;clavulanate,1
362,Oxygen-ozone therapy;Probiotic,1
333,Lenzilumab,1
331,aerosolized DNase,1
330,Zofin (Organicell Flow),1
329,Tafenoquine,1
303,Medical mask,1
304,N95 respirator,1
305,chlorhexidine gluconate,1
309,Dimethyl Fumarate,1
310,Empagliflozin,1
311,Cobicistat;Darunavir,1
313,IFX-1,1
314,vidofludimus calcium,1
317,Recombinant Bacterial ACE2 Receptors,1
318,COVID19-0001-USR,1
319,Probiorinse,1
321,Colchicine;rosuvatatine,1
322,Colchicine;Emtricitabine;Tenofovir;rosuvatatine,1
325,gammaCore (vagus nerve stimulation),1
326,Collagen-Polyvinylpyrrolidone,1
327,prayer,1
328,Atovaquone,1
363,Anakinra;Ruxolitinib,1
368,Melphalan,1
425,Dexamethasone;Hydroxychloroquine,1
413,Ritonavir,1
402,Levilimab,1
404,Hyperimmune Equine Serum (INM005),1
407,Chloroquine;Lopinavir;Ritonavir,1
408,ASC09;Ritonavir,1
409,Interferon Alpha;Lopinavir;Ritonavir,1
410,Favipiravir;Interferon Alpha,1
411,cobicistat;darunavir,1
