referenceid	username	db_id	trialid	source_register	title	web_address	trns	completion_month	is_german_covidevidence	is_german_in_germany	is_german_drks	is_german_euctr	is_searched_cutoff_2	is_searched_cutoff_3	abstract	type	control_type	placebo_plus_soc	category	intervention	intervention_plus_soc
402	ndevito	tri02445	NCT04292730	ClinicalTrials.gov	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment	https://clinicaltrials.gov/show/NCT04292730	NCT04292730; EUCTR2020-000842-32; ISRCTN85762140	2020-04-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Remdesivir	undefined_soc
402	ndevito	tri02445	NCT04292730	ClinicalTrials.gov	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment	https://clinicaltrials.gov/show/NCT04292730	NCT04292730; EUCTR2020-000842-32; ISRCTN85762140	2020-04-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Remdesivir	undefined_soc
402	ndevito	tri02445	NCT04292730	ClinicalTrials.gov	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment	https://clinicaltrials.gov/show/NCT04292730	NCT04292730; EUCTR2020-000842-32; ISRCTN85762140	2020-04-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
556	joschwietering	tri02683	DRKS00021447	German Clinical Trials Register	CytoResc - CytoSorb Rescue for COVID-19 Cytokine Storm	http://www.drks.de/DRKS00021447	DRKS00021447	0000-00-00	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE		experimental	NULL	NULL	device	Cytokine absorber	undefined_soc
556	joschwietering	tri02683	DRKS00021447	German Clinical Trials Register	CytoResc - CytoSorb Rescue for COVID-19 Cytokine Storm	http://www.drks.de/DRKS00021447	DRKS00021447	0000-00-00	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
550	joschwietering	tri03057	NCT04362813	ClinicalTrials.gov	Study of Efficacy and Safety of Canakinumab Treatment for CRS in Participants With COVID-19-induced Pneumonia	https://clinicaltrials.gov/show/NCT04362813	NCT04362813; EUCTR2020-001370-30	2020-09-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Canakinumab	NULL
550	joschwietering	tri03057	NCT04362813	ClinicalTrials.gov	Study of Efficacy and Safety of Canakinumab Treatment for CRS in Participants With COVID-19-induced Pneumonia	https://clinicaltrials.gov/show/NCT04362813	NCT04362813; EUCTR2020-001370-30	2020-09-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
531	joschwietering	tri02956	NCT04368728	ClinicalTrials.gov	Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals	https://clinicaltrials.gov/show/NCT04368728	NCT04368728; EUCTR2020-002641-42	2021-11-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	vaccine	BNT162b1	NULL
531	joschwietering	tri02956	NCT04368728	ClinicalTrials.gov	Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals	https://clinicaltrials.gov/show/NCT04368728	NCT04368728; EUCTR2020-002641-42	2021-11-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	vaccine	BNT162b2	NULL
531	joschwietering	tri02956	NCT04368728	ClinicalTrials.gov	Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals	https://clinicaltrials.gov/show/NCT04368728	NCT04368728; EUCTR2020-002641-42	2021-11-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	vaccine	BNT162b2SA	NULL
531	joschwietering	tri02956	NCT04368728	ClinicalTrials.gov	Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals	https://clinicaltrials.gov/show/NCT04368728	NCT04368728; EUCTR2020-002641-42	2021-11-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
530	joschwietering	tri03340	NCT04362137	ClinicalTrials.gov	Study to Assess the Efficacy and Safety of Ruxolitinib in Patients With COVID-19 Associated Cytokine Storm	https://clinicaltrials.gov/show/NCT04362137	NCT04362137; EUCTR2020-001662-11; PER-030-20	2020-10-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Ruxolitinib	NULL
530	joschwietering	tri03340	NCT04362137	ClinicalTrials.gov	Study to Assess the Efficacy and Safety of Ruxolitinib in Patients With COVID-19 Associated Cytokine Storm	https://clinicaltrials.gov/show/NCT04362137	NCT04362137; EUCTR2020-001662-11; PER-030-20	2020-10-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
515	joschwietering	tri03748	NCT04327388	ClinicalTrials.gov	Sarilumab COVID-19	https://clinicaltrials.gov/show/NCT04327388	NCT04327388; EUCTR2020-001162-12	2020-07-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Sarilumab	NULL
515	joschwietering	tri03748	NCT04327388	ClinicalTrials.gov	Sarilumab COVID-19	https://clinicaltrials.gov/show/NCT04327388	NCT04327388; EUCTR2020-001162-12	2020-07-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	NULL	Sarilumab	NULL
515	joschwietering	tri03748	NCT04327388	ClinicalTrials.gov	Sarilumab COVID-19	https://clinicaltrials.gov/show/NCT04327388	NCT04327388; EUCTR2020-001162-12	2020-07-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
485	joschwietering	tri00801	NCT04344080	ClinicalTrials.gov	Effect of CytoSorb Adsorber on Hemodynamic and Immunological Parameters in Critical Ill Patients With COVID-19	https://clinicaltrials.gov/show/NCT04344080	NCT04344080; DRKS00021199	2021-04-01	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE		experimental	NULL	NULL	device	Cytokine absorber	undefined_soc
485	joschwietering	tri00801	NCT04344080	ClinicalTrials.gov	Effect of CytoSorb Adsorber on Hemodynamic and Immunological Parameters in Critical Ill Patients With COVID-19	https://clinicaltrials.gov/show/NCT04344080	NCT04344080; DRKS00021199	2021-04-01	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
485	joschwietering	tri00801	NCT04344080	ClinicalTrials.gov	Effect of CytoSorb Adsorber on Hemodynamic and Immunological Parameters in Critical Ill Patients With COVID-19	https://clinicaltrials.gov/show/NCT04344080	NCT04344080; DRKS00021199	2021-04-01	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE		NULL	NULL	NULL	NULL	NULL	NULL
467	joschwietering	tri03499	NCT04433910	ClinicalTrials.gov	A Clinical Trial of Convalescent Plasma Compared to Best Supportive Care for Treatment of Patients With Severe COVID-19	https://clinicaltrials.gov/show/NCT04433910	NCT04433910; EUCTR2020-001310-38	2021-01-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	biologics	Convalescent Plasma	NULL
467	joschwietering	tri03499	NCT04433910	ClinicalTrials.gov	A Clinical Trial of Convalescent Plasma Compared to Best Supportive Care for Treatment of Patients With Severe COVID-19	https://clinicaltrials.gov/show/NCT04433910	NCT04433910; EUCTR2020-001310-38	2021-01-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
424	joschwietering	tri01805	NCT04346199	ClinicalTrials.gov	Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.	https://clinicaltrials.gov/show/NCT04346199	NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228	2020-11-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Acalabrutinib	NULL
424	joschwietering	tri01805	NCT04346199	ClinicalTrials.gov	Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.	https://clinicaltrials.gov/show/NCT04346199	NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228	2020-11-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
410	joschwietering	tri01283	NCT04338958	ClinicalTrials.gov	Ruxolitinib in Covid-19 Patients With Defined Hyperinflammation	https://clinicaltrials.gov/show/NCT04338958	NCT04338958; EUCTR2020-001481-11	2021-07-01	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Ruxolitinib	NULL
404	joschwietering	tri03295	NCT04335136	ClinicalTrials.gov	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19	https://clinicaltrials.gov/show/NCT04335136	NCT04335136; EUCTR2020-001172-15	2020-12-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	NULL	Recombinant human angiotensin-converting enzyme 2	NULL
404	joschwietering	tri03295	NCT04335136	ClinicalTrials.gov	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19	https://clinicaltrials.gov/show/NCT04335136	NCT04335136; EUCTR2020-001172-15	2020-12-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
347	ndevito	tri01483	NCT04280705	ClinicalTrials.gov	Adaptive COVID-19 Treatment Trial (ACTT)	https://clinicaltrials.gov/show/NCT04280705	NCT04280705; EUCTR2020-001052-18; JPRN-jRCT2031190264; ISRCTN13035264	2020-05-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Remdesivir	no
347	ndevito	tri01483	NCT04280705	ClinicalTrials.gov	Adaptive COVID-19 Treatment Trial (ACTT)	https://clinicaltrials.gov/show/NCT04280705	NCT04280705; EUCTR2020-001052-18; JPRN-jRCT2031190264; ISRCTN13035264	2020-05-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
276	ndevito	tri03130	NCT04425460	ClinicalTrials.gov	A Multi-center,Randomized,Double-blind,Placebo-controlled,Phase 3 Study Evaluating Favipiravir in Treatment of COVID19	https://clinicaltrials.gov/show/NCT04425460	NCT04425460; EUCTR2020-001608-40	2020-08-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Favipiravir	undefined_soc
276	ndevito	tri03130	NCT04425460	ClinicalTrials.gov	A Multi-center,Randomized,Double-blind,Placebo-controlled,Phase 3 Study Evaluating Favipiravir in Treatment of COVID19	https://clinicaltrials.gov/show/NCT04425460	NCT04425460; EUCTR2020-001608-40	2020-08-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		control	placebo	undefined_soc	NULL	NULL	NULL
250	ndevito	tri02142	NCT04393038	ClinicalTrials.gov	ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19	https://clinicaltrials.gov/show/NCT04393038		2021-03-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	ABX464	undefined_soc
250	ndevito	tri02142	NCT04393038	ClinicalTrials.gov	ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19	https://clinicaltrials.gov/show/NCT04393038		2021-03-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	undefined_soc	NULL	NULL	NULL
206	ndevito	tri01170	NCT04359290	ClinicalTrials.gov	Ruxolitinib for Treatment of Covid-19 Induced Lung Injury ARDS	https://clinicaltrials.gov/show/NCT04359290	NCT04359290; EUCTR2020-001732-10	2020-12-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Ruxolitinib	no
190	ndevito	tri01501	NCT04351906	ClinicalTrials.gov	Low-flow Extracorporeal Carbon Dioxide Removal in COVID-19-associated Acute Respiratory Distress Syndrome	https://clinicaltrials.gov/show/NCT04351906	NCT04351906	2021-06-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	device	Extracorporeal CO2 removal (ECCO2R)	no
184	ndevito	tri01500	NCT04349098	ClinicalTrials.gov	Evaluation of Activity and Safety of Oral Selinexor in Participants With Severe COVID-19 Infection	https://clinicaltrials.gov/show/NCT04349098	NCT04349098; EUCTR2020-001411-25	2020-10-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Selinexor	no
184	ndevito	tri01500	NCT04349098	ClinicalTrials.gov	Evaluation of Activity and Safety of Oral Selinexor in Participants With Severe COVID-19 Infection	https://clinicaltrials.gov/show/NCT04349098	NCT04349098; EUCTR2020-001411-25	2020-10-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
105	ndevito	tri02675	EUCTR2020-001376-15	EU Clinical Trials Register	A study to investigate whether vaccination with VPM1002 can reduce the sick days of healthcare professionals during the SARS-CoV-2 pandemic	https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001376-15	EUCTR2020-001376-15; NCT04387409	2020-09-01	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE		experimental	NULL	NULL	vaccine_non_covid	BCG Vaccine	no
105	ndevito	tri02675	EUCTR2020-001376-15	EU Clinical Trials Register	A study to investigate whether vaccination with VPM1002 can reduce the sick days of healthcare professionals during the SARS-CoV-2 pandemic	https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001376-15	EUCTR2020-001376-15; NCT04387409	2020-09-01	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
99	ndevito	tri01273	EUCTR2020-001408-41	EU Clinical Trials Register	Evaluation of efficacy and safety of an tocilizumab treatment in patients with severe COVID-19 pneumonia	https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001408-41	EUCTR2020-001408-41; DRKS00021238	2020-08-01	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		experimental	NULL	NULL	drug	Tocilizumab	undefined_soc
99	ndevito	tri01273	EUCTR2020-001408-41	EU Clinical Trials Register	Evaluation of efficacy and safety of an tocilizumab treatment in patients with severe COVID-19 pneumonia	https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001408-41	EUCTR2020-001408-41; DRKS00021238	2020-08-01	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		control	placebo	undefined_soc	NULL	NULL	NULL
94	ndevito	tri03171	ISRCTN33578935	ISRCTN	To study the treatment of COVID-19 with severe viral pneumonia by using purified stem cell exosomes	http://www.isrctn.com/ISRCTN33578935	ISRCTN33578935; EUCTR2020-002326-90	2020-12-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Exosomes	no
94	ndevito	tri03171	ISRCTN33578935	ISRCTN	To study the treatment of COVID-19 with severe viral pneumonia by using purified stem cell exosomes	http://www.isrctn.com/ISRCTN33578935	ISRCTN33578935; EUCTR2020-002326-90	2020-12-01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE		control	placebo	NULL	NULL	NULL	NULL
7	ndevito	tri00046	ChiCTR2000029768	ChiCTR	A randomized, open, controlled trial for diammonium glycyrrhizinate enteric-coated capsules combined with vitamin C tablets in the treatment of common novel coronavirus pneumonia (COVID-19) in the basic of clinical standard antiviral treatment to evaluate the safety and efficiency	http://www.chictr.org.cn/showprojen.aspx?proj=49131	ChiCTR2000029768	2020-05-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	multiple	Traditional Medicine;Vitamin C	undefined_soc
7	ndevito	tri00046	ChiCTR2000029768	ChiCTR	A randomized, open, controlled trial for diammonium glycyrrhizinate enteric-coated capsules combined with vitamin C tablets in the treatment of common novel coronavirus pneumonia (COVID-19) in the basic of clinical standard antiviral treatment to evaluate the safety and efficiency	http://www.chictr.org.cn/showprojen.aspx?proj=49131	ChiCTR2000029768	2020-05-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
14	ndevito	tri00082	ChiCTR2000029548	ChiCTR	Randomized, open-label, controlled trial for evaluating of the efficacy and safety of Baloxavir Marboxil, Favipiravir, and Lopinavir-Ritonavir in the treatment of novel coronavirus pneumonia (COVID-19) patients	http://www.chictr.org.cn/showprojen.aspx?proj=49015	ChiCTR2000029548	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Baloxavir marboxil	no
14	ndevito	tri00082	ChiCTR2000029548	ChiCTR	Randomized, open-label, controlled trial for evaluating of the efficacy and safety of Baloxavir Marboxil, Favipiravir, and Lopinavir-Ritonavir in the treatment of novel coronavirus pneumonia (COVID-19) patients	http://www.chictr.org.cn/showprojen.aspx?proj=49015	ChiCTR2000029548	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Favipiravir	no
14	ndevito	tri00082	ChiCTR2000029548	ChiCTR	Randomized, open-label, controlled trial for evaluating of the efficacy and safety of Baloxavir Marboxil, Favipiravir, and Lopinavir-Ritonavir in the treatment of novel coronavirus pneumonia (COVID-19) patients	http://www.chictr.org.cn/showprojen.aspx?proj=49015	ChiCTR2000029548	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Lopinavir;Ritonavir	no
21	ndevito	tri00114	ChiCTR2000030167	ChiCTR	Clinical Trial for Recombinant Human Interleukin-2 in the Treatment of Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49567	ChiCTR2000030167	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Interleukin-2	undefined_soc
21	ndevito	tri00114	ChiCTR2000030167	ChiCTR	Clinical Trial for Recombinant Human Interleukin-2 in the Treatment of Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49567	ChiCTR2000030167	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	undefined_soc	NULL	NULL	NULL
29	ndevito	tri00143	ChiCTR2000030039	ChiCTR	Clinical study for infusing convalescent plasma to treat patients with new coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49544	ChiCTR2000030039	2020-02-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Convalescent Plasma	undefined_soc
29	ndevito	tri00143	ChiCTR2000030039	ChiCTR	Clinical study for infusing convalescent plasma to treat patients with new coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49544	ChiCTR2000030039	2020-02-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
562	ndevito	tri04443	RPCEC00000337	RPCEC	OLIVO Study	https://rpcec.sld.cu/en/trials/RPCEC00000337-En	RPCEC00000337	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Interferon Alpha	no
558	ndevito	tri02921	RPCEC00000320	RPCEC	Rectal Ozone in the COVID-19 treatment	https://rpcec.sld.cu/en/trials/RPCEC00000320-En	RPCEC00000320	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	other	Ozone	defined_soc
558	ndevito	tri02921	RPCEC00000320	RPCEC	Rectal Ozone in the COVID-19 treatment	https://rpcec.sld.cu/en/trials/RPCEC00000320-En	RPCEC00000320	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	defined_soc	NULL	NULL	NULL	NULL
557	ndevito	tri02912	RPCEC00000311	RPCEC	Treatment of SARS CoV-2 pneumonia with the anti-CD6 monoclonal antibody itolizumab	https://rpcec.sld.cu/en/trials/RPCEC00000311-En	RPCEC00000311	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	itolizumab	undefined_soc
524	ndevito	tri02328	NCT04328493	ClinicalTrials.gov	The Vietnam Chloroquine Treatment on COVID-19	https://clinicaltrials.gov/show/NCT04328493	NCT04328493	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Chloroquine	undefined_soc
524	ndevito	tri02328	NCT04328493	ClinicalTrials.gov	The Vietnam Chloroquine Treatment on COVID-19	https://clinicaltrials.gov/show/NCT04328493	NCT04328493	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
521	ndevito	tri03547	NCT04438980	ClinicalTrials.gov	Glucocorticoids in COVID-19 (CORTIVID)	https://clinicaltrials.gov/show/NCT04438980	NCT04438980; EUCTR2020-001827-15	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Methylprednisolone	undefined_soc
521	ndevito	tri03547	NCT04438980	ClinicalTrials.gov	Glucocorticoids in COVID-19 (CORTIVID)	https://clinicaltrials.gov/show/NCT04438980	NCT04438980; EUCTR2020-001827-15	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	undefined_soc	NULL	NULL	NULL
520	ndevito	tri03451	NCT04420247	ClinicalTrials.gov	Efficacy of Chloroquine or Hydroxychloroquine in Treating Pneumonia Caused by SARS-Cov-2 - COVID-19	https://clinicaltrials.gov/show/NCT04420247	NCT04420247	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Chloroquine	undefined_soc
520	ndevito	tri03451	NCT04420247	ClinicalTrials.gov	Efficacy of Chloroquine or Hydroxychloroquine in Treating Pneumonia Caused by SARS-Cov-2 - COVID-19	https://clinicaltrials.gov/show/NCT04420247	NCT04420247	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
506	ndevito	tri01899	NCT04354259	ClinicalTrials.gov	Interferon Lambda for Immediate Antiviral Therapy at Diagnosis in COVID-19	https://clinicaltrials.gov/show/NCT04354259	NCT04354259	2021-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Interferon Lambda	no
506	ndevito	tri01899	NCT04354259	ClinicalTrials.gov	Interferon Lambda for Immediate Antiviral Therapy at Diagnosis in COVID-19	https://clinicaltrials.gov/show/NCT04354259	NCT04354259	2021-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	placebo	no	NULL	NULL	NULL
224	ndevito	tri01545	NCT04376788	ClinicalTrials.gov	Exchange Transfusion Versus Plasma From Convalescent Patients With Methylene Blue in Patients With COVID-19	https://clinicaltrials.gov/show/NCT04376788	NCT04376788	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	biologics	Blood Transfusion	no
108	schorrsg	tri04220	ISRCTN16842454	ISRCTN	Effectiveness and safety of plasma convalescent therapy in patients with COVID-19	http://www.isrctn.com/ISRCTN16842454	ISRCTN16842454	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	other_unknown	NULL	NULL	NULL	NULL
