index,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,cross_registrations
40,NCT02065453,ClinicalTrials.gov,2014-02-11,2012-01-01,True,St. Louis University,Not Recruiting,Not Applicable,Interventional,United States,Disposable Energy Sources and Operating Room Time for Laparoscopic Hysterectomy,Not relevant,Not relevant,Not relevant,52,https://clinicaltrials.gov/show/NCT02065453,None
41,NCT02822820,ClinicalTrials.gov,2016-06-24,2016-07-01,False,Ankara University,Not Recruiting,Not Applicable,Interventional,Turkey,The Comparison of Conventional and Advanced Bipolar Energy Modalities During Laparoscopic Staging Surgery of Gynecologic Cancers,Not relevant,Not relevant,Not relevant,68,https://clinicaltrials.gov/show/NCT02822820,None
42,NCT02886806,ClinicalTrials.gov,2016-08-29,2016-10-01,False,Erasme University Hospital,Not Recruiting,Phase 1,Interventional,Belgium,"Fully Automated Anesthesia, Analgesia and Fluid Management",Not relevant,Not relevant,Not relevant,13,https://clinicaltrials.gov/show/NCT02886806,None
43,NCT02698982,ClinicalTrials.gov,2016-02-12,2016-05-01,False,Erasme University Hospital,Not Recruiting,Not Applicable,Interventional,Belgium,Optimized Anesthesia to Reduce Postoperative Cognitive Impairment in the Elderly,Not relevant,Not relevant,Not relevant,41,https://clinicaltrials.gov/show/NCT02698982,None
44,IRCT2014022816773N1,IRCT,2014-04-19,2011-04-04,True,Yazd Shahid Sadoughi University of Medical Sciences,Not Recruiting,Not Applicable,Interventional,Iran,compare of hemorrhoidectomy complications in conventional and ligasure technique,Not relevant,Not relevant,Not relevant,101,http://en.irct.ir/trial/15589,None
45,ACTRN12618000669291,ANZCTR,2018-04-24,2016-01-01,True,Lunguard Ltd,Not Recruiting,Not Applicable,Interventional,Israel,The efficacy of a novel peristaltic feeding tube (PFT) in reducing reflux and aspiration of gastric contents in mechanically ventilated patients.,Not relevant,Not relevant,Not relevant,20,http://www.anzctr.org.au/ACTRN12618000669291.aspx,None
46,ISRCTN16473881,ISRCTN,2018-07-19,2018-01-08,True,National Maternity Hospital,Recruiting,Not Applicable,Interventional,Ireland,Comparing different monitors for high-risk babies in the delivery room,Not relevant,Not relevant,Not relevant,100,http://isrctn.com/ISRCTN16473881,None
47,ISRCTN38642364,ISRCTN,2017-06-23,2014-09-28,True,Covidien,Not Recruiting,Not Applicable,Interventional,Netherlands,The efficacy and safety of a new radiofrequency ablation device for the treatment of Barrett's esophagus: a pilot study,Not relevant,Not relevant,Not relevant,30,http://isrctn.com/ISRCTN38642364,None
48,ISRCTN11028739,ISRCTN,2017-05-04,2017-04-17,True,National Maternity Hospital,Not Recruiting,Not Applicable,Observational,Ireland,Comparison of two different monitors (electrocardiogram and pulse oximeter versus pulse oximeter alone) for monitoring heart rate in newly born infants: A randomised study,Not relevant,Not relevant,Not relevant,100,http://isrctn.com/ISRCTN11028739,None
49,IRCT20180223038837N1,IRCT,2018-12-08,2018-10-23,True,Kermanshah University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,Comparative study of radiofrequency ablation & foam sclerotherapy for treatment patients suffering from varicose veins,Not relevant,Not relevant,Not relevant,60,http://en.irct.ir/trial/32039,None
50,KCT0003331,CRIS,2018-11-09,2017-07-27,True,Chonnam National University Hospital,Recruiting,Phase 2,Interventional,South Korea,The effect of reinforced endotracheal tube on post-operative hoarseness undergoing thyroidectomy,Not relevant,Not relevant,Not relevant,140,http://cris.nih.go.kr/cris/en/search/search_result_st01.jsp?seq=12657,None
51,KCT0002700,CRIS,2018-02-23,2018-01-11,True,Konkuk University Medical Center,Recruiting,Not Applicable,Interventional,South Korea,Validity and Feasibility of Postoperative Management Without Chest Tube  Placement after Thoracoscopic Bullectomy for Spontaneous Pneumothorax.,Not relevant,Not relevant,Not relevant,120,http://cris.nih.go.kr/cris/en/search/search_result_st01.jsp?seq=11087,None
52,KCT0002336,CRIS,2017-05-23,2015-03-25,True,The Catholic University of Korea; St. Mary's Hospital,Not Recruiting,Not Applicable,Interventional,South Korea,A Prospective Randomized Comparison of two techniques for minimally invasive surgery in donor nephrectomy,Not relevant,Not relevant,Not relevant,52,http://cris.nih.go.kr/cris/en/search/search_result_st01.jsp?seq=7441,None
53,JPRN-UMIN000004030,JPRN,2010-08-11,2010-09-01,False,Covidien,Not Recruiting,Phase 3,Interventional,Japan,Randomized Trial between Buttressed Versus Nonbuttressed Stapling in Pulmonary Lobectomy,Not relevant,Not relevant,Not relevant,140,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000004846,None
54,JPRN-UMIN000005451,JPRN,2011-04-16,2010-08-01,True,Osaka University Graduate School of Medicine,Not Recruiting,Not Applicable,Interventional,Japan,Randomized controlled trial of PICC catheters,Not relevant,Not relevant,Not relevant,40,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000006464,None
55,JPRN-UMIN000007147,JPRN,2012-01-26,2012-02-01,False,Covidien,Not Recruiting,Not Applicable,Observational,Japan,Prospective Multi-Center Post Market Surveillance of the Efficacy and the Safety of the DuraSeal Dural Sealant System in a Craniotomy,Not relevant,Not relevant,Not relevant,140,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000008394,None
56,JPRN-UMIN000021203,JPRN,2016-03-01,2016-03-01,False,Covidien,Not Recruiting,Not Applicable,Observational,Japan,NAVIGATE: Clinical Evaluation of superDimension Navigation System for Electromagnetic Navigation Bronchoscopy,Not relevant,Not relevant,Not relevant,180,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000024177,None
57,JPRN-UMIN000023311,JPRN,2016-07-26,2016-07-26,False,Kansai Medical University,Recruiting,Phase 2,Interventional,Japan,Randomized control study of the usability of vessel sealing devices at the time of pancreatoduodenectomy,Not relevant,Not relevant,Not relevant,100,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000026773,None
58,JPRN-UMIN000026993,JPRN,2017-04-21,2017-04-24,False,Covidien,Not Recruiting,Not Applicable,Interventional,"Japan,Asia(except Japan),North America,Europe",PRediction of Opioid-induced respiratory Depression In patients monitored by capnoGraphY (PRODIGY),Not relevant,Not relevant,Not relevant,1650,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000030949,None
59,IRCT20120728010430N8,IRCT,2019-05-12,2015-08-01,True,Esfahan University of Medical Sciences,Not Recruiting,Not Applicable,Interventional,Iran,Investigating CPAP in Treatment of RDS,Not relevant,Not relevant,Not relevant,70,http://en.irct.ir/trial/38534,None
60,ISRCTN14884587,ISRCTN,2019-06-07,2015-09-17,True,Medela AG,Not Recruiting,Not Applicable,Interventional,Italy,"Testing a novel, self-contained chest drainage system (THOPAZ+) for post-operative cardiac drainage",Not relevant,Not relevant,Not relevant,120,http://isrctn.com/ISRCTN14884587,None
61,JPRN-UMIN000038838,JPRN,2019-12-10,2019-12-16,False,Covidien,Recruiting,Not Applicable,Observational,Japan,Post Market Surveillance of the VenaSeal(TM) Closure System,Not relevant,Not relevant,Not relevant,120,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000044045,None
62,ACTRN12610000006044,ANZCTR,2010-01-06,2009-12-20,True,Yih Chun Ling Patricia,Recruiting,Not Applicable,Interventional,Hong Kong,Prospective randomized trial of single port laparoscopic cholecystectomy versus four ports laparoscopic cholecystectomy in patients with gallbladder stones,Not relevant,Not relevant,Not relevant,46,https://anzctr.org.au/ACTRN12610000006044.aspx,None
63,ACTRN12613000511730,ANZCTR,2013-05-08,2013-07-23,False,Covidien,Recruiting,Not Applicable,Interventional,"New Zealand, Belgium","ILLUMENATE Global (ProspectIve, SingLe-Arm, Global MuLti-Center Study to EvalUate TreatMent of Obstructive SupErficial Femoral Artery or Popliteal LesioNs With A Novel PacliTaxel-CoatEd Percutaneous Angioplasty Balloon)",Not relevant,Not relevant,Not relevant,370,https://anzctr.org.au/ACTRN12613000511730.aspx,None
64,ACTRN12614001069640,ANZCTR,2014-10-07,2016-06-05,False,University of Canterbury,Recruiting,Not Applicable,Interventional,New Zealand,"Optimising mechanical ventilation in Intensive Care Unit (ICU)

",Not relevant,Not relevant,Not relevant,300,https://anzctr.org.au/ACTRN12614001069640.aspx,None
65,ACTRN12615000883516,ANZCTR,2015-08-24,2016-01-02,False,Royal Brisbane & Women's Hospital,Not Recruiting,Phase 2/Phase 3,Interventional,Australia,Biopatch (trademark) or Kendall (trademark) AMD Foam Disc to reduce the incidence of Central-Line-Associated Blood Stream Infection: A pilot randomized controlled trial,Not relevant,Not relevant,Not relevant,100,https://anzctr.org.au/ACTRN12615000883516.aspx,None
66,ACTRN12616000013460,ANZCTR,2016-01-12,2016-03-31,False,Queensland University of Technology,Not Recruiting,Not Applicable,Interventional,Australia,A randomised controlled trial of forced air warming for patients undergoing interventional cardiology procedures with sedation,Not relevant,Not relevant,Not relevant,140,https://anzctr.org.au/ACTRN12616000013460.aspx,None
67,NCT04246242,ClinicalTrials.gov,2020-01-27,2020-01-25,True,Xiangya Hospital of Central South University,Not Recruiting,Phase 4,Interventional,No Country Given,A Randomized Multicenter Controlled Clinical Trial of Arbidol in Patients With 2019 Novel Coronavirus (2019-nCoV),Drug,Umifenovir,Umifenovir,500,https://clinicaltrials.gov/show/NCT04246242,None
68,ChiCTR2000029953,ChiCTR,2020-02-17,2020-02-01,True,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,Construction and Analysis of Prognostic Predictive Model of Novel Coronavirus Pneumonia (COVID-19),Prognosis,No Intervention,No Intervention,400,http://www.chictr.org.cn/showproj.aspx?proj=49217,None
69,ChiCTR2000029949,ChiCTR,2020-02-16,2020-02-16,False,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,A Medical Records Based Study for the Effectiveness of Extracorporeal Membrane Oxygenation in Patients with Severe Novel Coronavirus Pneumonia (COVID-19),Drug,Oxygen,Oxygen,40,http://www.chictr.org.cn/showproj.aspx?proj=49181,None
70,ChiCTR2000029947,ChiCTR,2020-02-16,2020-03-01,False,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=49599,None
71,ChiCTR2000029941,ChiCTR,2020-02-16,2020-03-01,False,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=49596,None
72,ChiCTR2000029939,ChiCTR,2020-02-16,2020-02-10,True,"Hwa Mei Hospital, University of Chinese Academy of Sciences",Recruiting,Not Applicable,Interventional,China,"A Single-blind, Randomized, Controlled Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)",Drug,Chloroquine,Chloroquine,100,http://www.chictr.org.cn/showproj.aspx?proj=49612,None
73,ChiCTR2000029935,ChiCTR,2020-02-16,2020-02-06,True,"Hwa Mei Hospital, University of Chinese Academy of Sciences",Recruiting,Not Applicable,Interventional,China,A Single-arm Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19),Drug,Chloroquine,Chloroquine,100,http://www.chictr.org.cn/showproj.aspx?proj=49607,None
74,ChiCTR2000029907,ChiCTR,2020-02-16,2020-02-16,False,West China Hospital of Sichuan University,Not Recruiting,Not Applicable,Observational,China,Study for construction and assessment of early warning score of the clinical risk of novel coronavirus (COVID-19) infected patients,Clinical Presentation,No Intervention,No Intervention,1000,http://www.chictr.org.cn/showproj.aspx?proj=49587,None
75,ChiCTR2000029905,ChiCTR,2020-02-16,2020-02-10,True,Zhongnan Hospital of Wuhan University,Recruiting,Not Applicable,Observational,China,A medical records based study of novel coronavirus pneumonia (COVID-19) and influenza virus co-infection,Clinical Presentation,No Intervention,No Intervention,271,http://www.chictr.org.cn/showproj.aspx?proj=49595,None
76,ChiCTR2000029896,ChiCTR,2020-02-16,2020-01-31,True,Affiliated Hospital of Changchun University of Traditional Chinese Medicine,Recruiting,Not Applicable,Observational,China,Evaluate the effectiveness of Traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=49432,None
77,ChiCTR2000029883,ChiCTR,2020-02-16,2020-02-17,False,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Diagnostic test,China,A comparative study on the sensitivity of nasopharyngeal and oropharyngeal swabbing for the detection of SARS-CoV-2 by real-time PCR,Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,200,http://www.chictr.org.cn/showproj.aspx?proj=49549,None
78,ChiCTR2000029870,ChiCTR,2020-02-15,2020-02-15,False,Jiangsu Institute of Parasitic Diseases,Recruiting,Not Applicable,Diagnostic test,China,Evaluation of Rapid Diagnostic Kit (IgM/IgG) for Novel Coronavirus Pneumonia (COVID-19),Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,500,http://www.chictr.org.cn/showproj.aspx?proj=49563,None
79,ChiCTR2000029869,ChiCTR,2020-02-15,2020-02-10,True,Huangshi Hospital of Traditional Chinese Medicine,Not Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, controlled trial for integrated Chinese and western medicine in the treatment of ordinary novel coronavirus pneumonia (COVID-19) based on the ' Internal and External Relieving -Truncated Torsion' strategy",Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,300,http://www.chictr.org.cn/showproj.aspx?proj=49486,None
80,ChiCTR2000029867,ChiCTR,2020-02-15,2020-02-15,False,"Beijing You'an Hospital, Capital Medical University",Recruiting,Phase 4,Interventional,China,"The efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial",Drug,Carrimycin vs. lopinavir/ritonavir,Carrimycin; lopinavir; ritonavir,520,http://www.chictr.org.cn/showproj.aspx?proj=49514,None
81,ChiCTR2000029855,ChiCTR,2020-02-15,2020-02-15,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,"A randomized, open and controlled clinical trial for traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,180,http://www.chictr.org.cn/showproj.aspx?proj=49543,None
82,ChiCTR2000029853,ChiCTR,2020-02-15,2020-02-16,False,People's Hospital of Guangshan County,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Azvudine,Azvudine,20,http://www.chictr.org.cn/showproj.aspx?proj=49532,None
83,ChiCTR2000029850,ChiCTR,2020-02-15,2020-02-15,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,Study on convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19),ATMP,Plasma,Plasma,20,http://www.chictr.org.cn/showproj.aspx?proj=49533,None
84,ChiCTR2000029849,ChiCTR,2020-02-15,2020-02-01,True,The First Affiliated Hospital of Zhengzhou University,Recruiting,Not Applicable,Interventional,China,Application of Regulating Intestinal Flora in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),ATMP,Intestinal microbiome,Intestinal microbiome,60,http://www.chictr.org.cn/showproj.aspx?proj=49530,None
