,id,id_hits,prefix_hits,reg_name_hits,pub_types,doi,pm_id,cord_id,url,title,review_in_title,review_type,doi_link
818,0tfy50fx,"['NCT02282657', 'NCT02654327', 'NCT03255057']",['NCT'],['ClinicalTrials.gov'],,10.1186/s13054-020-03210-z,,0tfy50fx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7412288/,ECCO 2 R therapy in the ICU: consensus of a European round table meeting,False,,http://doi.org/10.1186/s13054-020-03210-z
829,0tq39aez,['NCT04354519'],['NCT'],['ClinicalTrials.gov'],,10.1101/2021.06.25.21259256,,0tq39aez,https://doi.org/10.1101/2021.06.25.21259256; http://medrxiv.org/cgi/content/short/2021.06.25.21259256v1?rss=1,"Pre-existing anxiety, depression, and neurological disability is associated with long COVID: A prospective and longitudinal cohort of the United Kingdom Multiple Sclerosis Register",False,,http://doi.org/10.1101/2021.06.25.21259256
835,0tycqcqx,['NCT03404193'],"['CTRI', 'NCT']",,,10.1007/s12288-020-01384-8,,0tycqcqx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7729290/,,False,,http://doi.org/10.1007/s12288-020-01384-8
839,0u24azkl,['NCT04351724'],['NCT'],['ClinicalTrials.gov'],,10.1101/2020.12.20.20248563,,0u24azkl,http://medrxiv.org/cgi/content/short/2020.12.20.20248563v1?rss=1; https://doi.org/10.1101/2020.12.20.20248563,,False,,http://doi.org/10.1101/2020.12.20.20248563
852,0ujrayer,"['NCT04737486', 'NCT04342897']",['NCT'],"['ClinicalTrials.gov', 'clinicaltrials.gov']",,10.1101/2021.05.20.21257542,,0ujrayer,http://medrxiv.org/cgi/content/short/2021.05.20.21257542v1?rss=1; https://doi.org/10.1101/2021.05.20.21257542,The maladaptive vascular response in COVID-19 acute respiratory distress 1 syndrome and recovery 2 3,False,,http://doi.org/10.1101/2021.05.20.21257542
908,0wlf8wsa,['ChiCTR2000031088'],['ChiCTR'],['Chinese Clinical Trial Registry'],,10.1101/2020.10.26.20220160,,0wlf8wsa,https://doi.org/10.1101/2020.10.26.20220160; http://medrxiv.org/cgi/content/short/2020.10.26.20220160v1?rss=1,"Features of C-reactive protein in COVID-19 patients with different ages, clinical types and outcomes: a cohort study Features of C-reactive protein in COVID-19 patients with different ages, clinical types and outcomes: a cohort study",False,,http://doi.org/10.1101/2020.10.26.20220160
953,0y4f1sgn,"['NCT04398004', '2020-001882-36']","['EudraCT', 'NCT']",['ClinicalTrials.gov'],,10.1101/2020.12.22.20248753,,0y4f1sgn,https://doi.org/10.1101/2020.12.22.20248753; http://medrxiv.org/cgi/content/short/2020.12.22.20248753v1?rss=1,Oral clarithromycin in COVID-19 of moderate severity: the ACHIEVE open-label trial using concurrent matched comparators Corresponding Author,False,,http://doi.org/10.1101/2020.12.22.20248753
980,0z2kin6r,['DRKS00022455'],['DRKS'],,,10.1101/2020.07.16.20155143,,0z2kin6r,https://doi.org/10.1101/2020.07.16.20155143; http://medrxiv.org/cgi/content/short/2020.07.16.20155143v1?rss=1,"Anti-SARS-CoV-2 IgG antibodies in adolescent students and their teachers in Saxony, Germany (SchoolCoviDD19): very low seropraevalence and transmission rates",False,,http://doi.org/10.1101/2020.07.16.20155143
1024,10gakkv5,['ChiCTR2000029308'],['ChiCTR'],,,10.1016/j.chest.2021.02.074,,10gakkv5,https://api.elsevier.com/content/article/pii/S0012369221005122; https://www.sciencedirect.com/science/article/pii/S0012369221005122,,False,,http://doi.org/10.1016/j.chest.2021.02.074
1088,12fj1wwy,['2020-001310-38'],,,,10.1101/2021.04.23.441188,,12fj1wwy,https://doi.org/10.1101/2021.04.23.441188,Autoantibodies against Progranulin and IL-1 receptor antagonist in critically ill COVID-19,False,,http://doi.org/10.1101/2021.04.23.441188
1096,12qyj1yq,"['NCT03969134', 'NCT02894008']",['NCT'],['ClinicalTrials.gov'],,10.1101/2020.08.26.20180901,,12qyj1yq,http://medrxiv.org/cgi/content/short/2020.08.26.20180901v1?rss=1,Safety and immunogenicity of ChAd63-KH vaccine in post kala azar dermal 1 leishmaniasis patients in,False,,http://doi.org/10.1101/2020.08.26.20180901
1116,13bvssv1,['ChiCTR2000030756'],['ChiCTR'],['Chinese Clinical Trial Registry'],,10.1101/2020.03.26.20044198,,13bvssv1,http://medrxiv.org/cgi/content/short/2020.03.26.20044198v1?rss=1; https://doi.org/10.1101/2020.03.26.20044198,No SARS-CoV-2 in expressed prostatic secretion of patients with coronavirus disease 2019: a descriptive multicentre study in China,False,,http://doi.org/10.1101/2020.03.26.20044198
1125,13gamveq,"['NCT04542213', 'NCT04353284', 'NCT04470544', 'NCT04524663']",['NCT'],['ClinicalTrials.gov'],,10.1101/2021.03.10.432949,,13gamveq,https://doi.org/10.1101/2021.03.10.432949,"Title: Bromodomain and extraterminal protein inhibitor, apabetalone (RVX-208), reduces ACE2 expression and attenuates SARS-CoV-2 infection in vitro",False,,http://doi.org/10.1101/2021.03.10.432949
1171,14z06pay,['NCT04639375'],['NCT'],,,10.1101/2021.06.19.21257191,,14z06pay,http://medrxiv.org/cgi/content/short/2021.06.19.21257191v1?rss=1; https://doi.org/10.1101/2021.06.19.21257191,Poliovirus Vaccination Induces a Humoral Immune Response that Cross Reacts with SARS-CoV-2,False,,http://doi.org/10.1101/2021.06.19.21257191
1246,1817nch9,['NCT04295512'],['NCT'],['Clinicaltrials.gov'],,10.1186/s40814-020-00593-2,,1817nch9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7371471/,Adaption and pilot implementation of an autism executive functioning intervention in children's mental health services: a mixed-methods study protocol,False,,http://doi.org/10.1186/s40814-020-00593-2
1319,1aanykgx,['NCT03567382'],['NCT'],['ClinicalTrials.gov'],,10.1101/2021.03.19.21253929,,1aanykgx,http://medrxiv.org/cgi/content/short/2021.03.19.21253929v1?rss=1,"Chapel Hill; 3 Kinshasa School of Public Health, and 4 National AIDS Control 12 Program, and 5 National Blood Transfusion Program, and 6 Department of Gastroenterology, 13 University Hospital, and 7 Expanded Programme on Immunisation",False,,http://doi.org/10.1101/2021.03.19.21253929
1320,1abv4of1,['DRKS00021152'],['DRKS'],,,10.1101/2020.12.02.20242479,,1abv4of1,https://doi.org/10.1101/2020.12.02.20242479; http://medrxiv.org/cgi/content/short/2020.12.02.20242479v1?rss=1,"Protocol for longitudinal assessment of SARS-CoV-2-specific im- mune responses in healthcare professionals in Hannover, Ger- many: the prospective, longitudinal, observational COVID-19 Con- tact (CoCo) study Word count text/abstract: 4043/340",False,,http://doi.org/10.1101/2020.12.02.20242479
1383,1d9n4hni,['NCT04287686'],['NCT'],,,10.1101/2020.05.25.115774,,1d9n4hni,https://doi.org/10.1101/2020.05.25.115774,Alveolar early progenitors in the aged human lung have increased expression of ACE2 accompanied with genes involved in beta-amyloid clearance: Indication of SARS-CoV-2 also using soluble ACE2 in aged-lungs to enter ACE2-negative cells,False,,http://doi.org/10.1101/2020.05.25.115774
1402,1dza8n3r,['NCT04241926'],['NCT'],['ClinicalTrials.gov'],,10.1186/s13613-020-00785-2,,1dza8n3r,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7720030/,Are single-lumen 5Fr and triple-lumen 6Fr PICCs suitable for hemodynamic assessment by trans-pulmonary thermodilution? A pilot study Open Access,False,,http://doi.org/10.1186/s13613-020-00785-2
1413,1ebmq7t8,['NCT03719586'],['NCT'],['clinicaltrials.gov'],,10.1016/b978-0-12-818480-6.00007-2,,1ebmq7t8,https://www.sciencedirect.com/science/article/pii/B9780128184806000072; https://api.elsevier.com/content/article/pii/B9780128184806000072,Combating biothreat pathogens: ongoing efforts for countermeasure development and unique challenges,False,,http://doi.org/10.1016/b978-0-12-818480-6.00007-2
1435,1exrpb65,['NCT04453384'],['NCT'],['Clinicaltrials.gov'],,10.1101/2021.04.02.437747,,1exrpb65,https://doi.org/10.1101/2021.04.02.437747,"XAV-19, a novel swine glyco-humanized polyclonal antibody against SARS-CoV-2 spike, efficiently neutralizes B.1.1.7 British and B.1.351 South-African variants",False,,http://doi.org/10.1101/2021.04.02.437747
1458,1fp3hx67,['NCT04283461'],['NCT'],['clinicaltrials.gov'],,10.1016/b978-0-12-824536-1.00008-3,,1fp3hx67,https://www.sciencedirect.com/science/article/pii/B9780128245361000083; https://api.elsevier.com/content/article/pii/B9780128245361000083,,False,,http://doi.org/10.1016/b978-0-12-824536-1.00008-3
1474,1g0isp98,"['NCT01804829', 'NCT01532908']",['NCT'],,,10.1101/2020.04.22.056754,,1g0isp98,https://doi.org/10.1101/2020.04.22.056754,Safety and Efficacy of Avaren-Fc Lectibody Targeting HCV High-Mannose Glycans in a Human Liver Chimeric Mouse Model 2 3,False,,http://doi.org/10.1101/2020.04.22.056754
1538,1inxq7t5,['NCT03919799'],['NCT'],,,10.1101/2020.08.02.233064,,1inxq7t5,https://doi.org/10.1101/2020.08.02.233064,Functional immune mapping with deep-learning enabled phenomics applied to immunomodulatory and COVID-19 drug discovery,False,,http://doi.org/10.1101/2020.08.02.233064
1559,1j8jkfn9,['ChiCTR2000031088'],['ChiCTR'],['Chinese Clinical Trial Registry'],,10.1101/2020.10.29.20222612,,1j8jkfn9,http://medrxiv.org/cgi/content/short/2020.10.29.20222612v1?rss=1; https://doi.org/10.1101/2020.10.29.20222612,"Features of α-HBDH in COVID-19 patients with different ages,outcomes and clinical types: a cohort study",False,,http://doi.org/10.1101/2020.10.29.20222612
1566,1jki4o87,"['NCT02902484', 'NCT04541680', 'NCT02149108', 'NCT03377023', 'NCT02399215']",['NCT'],['ClinicalTrials.gov'],,10.1101/2020.12.21.423817,,1jki4o87,https://doi.org/10.1101/2020.12.21.423817,Title: Repurposing Nintedanib for Pathological Cardiac Remodeling and Dysfunction,False,,http://doi.org/10.1101/2020.12.21.423817
1602,1ku3jc9s,['NCT04355429'],['NCT'],,,10.1101/2020.11.06.368191,,1ku3jc9s,https://doi.org/10.1101/2020.11.06.368191,A zebrafish model for COVID-19 recapitulates olfactory and cardiovascular 1 pathophysiologies caused by SARS-CoV-2 2 3,False,,http://doi.org/10.1101/2020.11.06.368191
1612,1l57oyff,['NCT04549831'],['NCT'],,,10.1101/2021.04.14.439284,,1l57oyff,https://doi.org/10.1101/2021.04.14.439284,Cryptic SARS-CoV2-spike-with-sugar interactions revealed by 'universal' saturation transfer analysis,False,,http://doi.org/10.1101/2021.04.14.439284
1637,1m6a36i9,"['NCT01205152', 'NCT00744042', 'NCT01176266']",['NCT'],,,10.1186/s13023-020-01483-9,,1m6a36i9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7407429/,Characterization of tracheobronchomalacia in infants with hypophosphatasia,False,,http://doi.org/10.1186/s13023-020-01483-9
1652,1mn4whcf,['NCT02138331'],['NCT'],['ClinicalTrials.gov'],,10.4252/wjsc.v12.i8.814,,1mn4whcf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7477653/,World Journal of Stem Cells Mesenchymal stem cell-derived exosomes: Toward cell-free therapeutic strategies in regenerative medicine,False,,http://doi.org/10.4252/wjsc.v12.i8.814
1673,1n593t74,['ChiCTR2000032213'],"['ChiCTR', 'chictr']",,,10.1016/j.jopan.2021.04.013,,1n593t74,https://www.sciencedirect.com/science/article/pii/S1089947221000897?v=s5; https://api.elsevier.com/content/article/pii/S1089947221000897,"Safety and comfort of wearing medical masks in adult surgical patients after general anesthesia during the COVID-19 epidemic: a retrospective, observational cohort study",False,,http://doi.org/10.1016/j.jopan.2021.04.013
1728,1p0p0hi5,['UMIN000039873'],"['UMIN', 'umin']",,,10.1101/2021.04.02.21254809,,1p0p0hi5,http://medrxiv.org/cgi/content/short/2021.04.02.21254809v1?rss=1; https://doi.org/10.1101/2021.04.02.21254809,Title: Risk factors for severity on admission and the disease progression during hospitalization in a large cohort of COVID-19 patients in Japan,False,,http://doi.org/10.1101/2021.04.02.21254809
1759,1q39v843,"['NCT+04308668', 'NCT 04308668', 'NCT04308668']",['NCT'],['clinicaltrials.gov'],,10.1101/2020.05.01.20087999,,1q39v843,http://medrxiv.org/cgi/content/short/2020.05.01.20087999v1?rss=1; https://doi.org/10.1101/2020.05.01.20087999,Post-exposure Prophylaxis or Preemptive Therapy for SARS-Coronavirus-2: Study Protocol for a Pragmatic Randomized Controlled Trial,False,,http://doi.org/10.1101/2020.05.01.20087999
1765,1q8972uo,['ChiCTR2000030704'],['ChiCTR'],,,10.1101/2020.05.20.20107607,,1q8972uo,https://doi.org/10.1101/2020.05.20.20107607; http://medrxiv.org/cgi/content/short/2020.05.20.20107607v1?rss=1,Main Manuscript for Chansu Injection Improves the Respiratory Function of Severe COVID-19 Patients,False,,http://doi.org/10.1101/2020.05.20.20107607
1788,1r2uvoqf,['NCT04443673'],['NCT'],['ClinicalTrials.gov'],,10.1101/2021.01.13.21249645,,1r2uvoqf,http://medrxiv.org/cgi/content/short/2021.01.13.21249645v1?rss=1; https://doi.org/10.1101/2021.01.13.21249645,Metabolic markers distinguish COVID-19 from other intensive care patients and show potential to stratify for disease risk,False,,http://doi.org/10.1101/2021.01.13.21249645
1794,1rec5dcb,['NCT04411576'],['NCT'],['ClinicalTrials.gov'],,10.1101/2021.03.30.21254653,,1rec5dcb,http://medrxiv.org/cgi/content/short/2021.03.30.21254653v1?rss=1; https://doi.org/10.1101/2021.03.30.21254653,Differences in risk for SARS-CoV-2 infection among healthcare workers,False,,http://doi.org/10.1101/2021.03.30.21254653
1808,1rqql6uk,['NCT03362021'],['NCT'],['clinicaltrials.gov'],,10.3390/jcm10050963,,1rqql6uk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7957650/,Clinical Medicine Comparison of Two Different Sedation Protocols during Transvaginal Oocyte Retrieval: Effects on Propofol Consumption and IVF Outcome: A Prospective Cohort Study,False,,http://doi.org/10.3390/jcm10050963
1813,1s15hqd0,"['NCT04412291', 'NCT04680949']",['NCT'],"['clinicaltrials.gov', 'Clinicaltrials.gov']",,10.1101/2021.04.13.21255411,,1s15hqd0,https://doi.org/10.1101/2021.04.13.21255411; http://medrxiv.org/cgi/content/short/2021.04.13.21255411v1?rss=1,Effect of anakinra on mortality in COVID-19: a patient level meta-analysis,False,,http://doi.org/10.1101/2021.04.13.21255411
1874,1ualnycn,['ISRCTN66726260'],"['isrctn', 'ISRCTN']",,,10.1101/2020.10.09.20209957,,1ualnycn,https://doi.org/10.1101/2020.10.09.20209957; http://medrxiv.org/cgi/content/short/2020.10.09.20209957v1?rss=1,Title page Title Development and validation of the 4C Deterioration model for adults hospitalised with COVID-19,False,,http://doi.org/10.1101/2020.10.09.20209957
1919,1vtuonb8,['NCT02589535'],['NCT'],['ClinicalTrials.gov'],,10.1186/s12871-020-01068-w,,1vtuonb8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320250/,High mobilization of CD133+/CD34+ cells expressing HIF-1α and SDF-1α in septic abdominal surgical patients,False,,http://doi.org/10.1186/s12871-020-01068-w
1988,1y4qx8at,"['UMIN000038671', 'UMIN000041887', 'UMIN000041938']",['UMIN'],,,10.14283/jpad.2021.29,,1y4qx8at,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8187136/,"The Japan-Multimodal Intervention Trial for Prevention of Dementia (J-MINT): The Study Protocol for an 18-Month, Multicenter, Randomized, Controlled Trial",False,,http://doi.org/10.14283/jpad.2021.29
1992,1y94p7e3,['DRKS00021225'],['DRKS'],,,10.1101/2021.06.18.448935,,1y94p7e3,https://doi.org/10.1101/2021.06.18.448935,Binding of phosphatidylserine-positive microparticles by PBMCs classifies disease 2 severity in COVID-19 patients 3 4 AUTHORS 5,False,,http://doi.org/10.1101/2021.06.18.448935
1993,1yc38ok1,"['NCT03366220', 'NCT03530046', 'NCT02130388', 'NCT01328509']",['NCT'],"['ClinicalTrials.gov', 'clinicaltrials.gov']",,10.1101/2020.07.15.198010,,1yc38ok1,https://doi.org/10.1101/2020.07.15.198010,"July 12, 2020 Acidosis, Zinc and HMGB1 in Sepsis: A Common Connection Involving Sialoglycan Recognition",False,,http://doi.org/10.1101/2020.07.15.198010
2018,1za5a3j7,['ChiCTR2000029308'],['ChiCTR'],,,10.1016/j.chest.2021.02.075,,1za5a3j7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8261024/,"Chronologic Bias, Confounding by Indication, and COVID-19 Care",False,,http://doi.org/10.1016/j.chest.2021.02.075
2038,1zlvuari,['NCT04765436'],['NCT'],['ClinicalTrials.gov'],,10.1101/2021.05.11.443286,,1zlvuari,https://doi.org/10.1101/2021.05.11.443286,Title: Preclinical evaluation of a SARS-CoV-2 mRNA vaccine PTX-COVID19-B 1 2,False,,http://doi.org/10.1101/2021.05.11.443286
2096,2222r5m6,['NCT04779021'],['NCT'],,,10.1101/2021.04.12.21253817,,2222r5m6,https://doi.org/10.1101/2021.04.12.21253817; http://medrxiv.org/cgi/content/short/2021.04.12.21253817v1?rss=1,"Spread of the SARS-CoV-2 UK-variant in the South East of France: impact on COVID-19 patients' age, comorbidity profiles and clinical presentation",False,,http://doi.org/10.1101/2021.04.12.21253817
2144,23l0wztp,['NCT03529903'],['NCT'],,,10.1056/cat.20.0564,,23l0wztp,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773210/,,False,,http://doi.org/10.1056/cat.20.0564
2166,249gx9ys,['NCT 04323527'],['NCT'],['ClinicalTrials.gov'],,10.1016/j.ajog.2020.08.046,,249gx9ys,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7442007/,Journal Pre-proof COVID-19 pandemic and pregnancy -posology and cardiometabolic pathology,False,,http://doi.org/10.1016/j.ajog.2020.08.046
2214,25t83ikm,"['NCT04315298', 'NCT04322773']",['NCT'],,,10.1101/2020.09.11.20192401,,25t83ikm,http://medrxiv.org/cgi/content/short/2020.09.11.20192401v1?rss=1; https://doi.org/10.1101/2020.09.11.20192401,Anakinra and Intravenous IgG versus Tocilizumab in the Treatment of COVID-19 Pneumonia,False,,http://doi.org/10.1101/2020.09.11.20192401
2234,26b9049s,"['NCT02439450', 'NCT02117024']",['NCT'],,,10.1101/2020.08.24.265090,,26b9049s,https://doi.org/10.1101/2020.08.24.265090,Induction of SARS-CoV-2 protein S-specific CD8+ T cells in the lungs of gp96-Ig-S vaccinated mice,False,,http://doi.org/10.1101/2020.08.24.265090
