,id,id_hits,prefix_hits,reg_name_hits,pub_types,doi,pm_id,cord_id,url,title,review_in_title,review_type,doi_link
599,0y4f1sgn,"['NCT04398004', '2020-001882-36']","['EudraCT', 'NCT']",['ClinicalTrials.gov'],,10.1101/2020.12.22.20248753,,0y4f1sgn,http://medrxiv.org/cgi/content/short/2020.12.22.20248753v1?rss=1; https://doi.org/10.1101/2020.12.22.20248753,Oral clarithromycin in COVID-19 of moderate severity: the ACHIEVE open-label trial using concurrent matched comparators Corresponding Author,False,,http://doi.org/10.1101/2020.12.22.20248753
613,0z2kin6r,['DRKS00022455'],['DRKS'],,,10.1101/2020.07.16.20155143,,0z2kin6r,https://doi.org/10.1101/2020.07.16.20155143; http://medrxiv.org/cgi/content/short/2020.07.16.20155143v1?rss=1,"Anti-SARS-CoV-2 IgG antibodies in adolescent students and their teachers in Saxony, Germany (SchoolCoviDD19): very low seropraevalence and transmission rates",False,,http://doi.org/10.1101/2020.07.16.20155143
690,12qyj1yq,"['NCT03969134', 'NCT02894008']",['NCT'],['ClinicalTrials.gov'],,10.1101/2020.08.26.20180901,,12qyj1yq,http://medrxiv.org/cgi/content/short/2020.08.26.20180901v1?rss=1,Safety and immunogenicity of ChAd63-KH vaccine in post kala azar dermal 1 leishmaniasis patients in,False,,http://doi.org/10.1101/2020.08.26.20180901
701,13bvssv1,['ChiCTR2000030756'],['ChiCTR'],['Chinese Clinical Trial Registry'],,10.1101/2020.03.26.20044198,,13bvssv1,http://medrxiv.org/cgi/content/short/2020.03.26.20044198v1?rss=1; https://doi.org/10.1101/2020.03.26.20044198,No SARS-CoV-2 in expressed prostatic secretion of patients with coronavirus disease 2019: a descriptive multicentre study in China,False,,http://doi.org/10.1101/2020.03.26.20044198
782,1817nch9,['NCT04295512'],['NCT'],['Clinicaltrials.gov'],,10.1186/s40814-020-00593-2,,1817nch9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7371471/,Adaption and pilot implementation of an autism executive functioning intervention in children's mental health services: a mixed-methods study protocol,False,,http://doi.org/10.1186/s40814-020-00593-2
824,1abv4of1,['DRKS00021152'],['DRKS'],,,10.1101/2020.12.02.20242479,,1abv4of1,https://doi.org/10.1101/2020.12.02.20242479; http://medrxiv.org/cgi/content/short/2020.12.02.20242479v1?rss=1,"Protocol for longitudinal assessment of SARS-CoV-2-specific im- mune responses in healthcare professionals in Hannover, Ger- many: the prospective, longitudinal, observational COVID-19 Con- tact (CoCo) study Word count text/abstract: 4043/340",False,,http://doi.org/10.1101/2020.12.02.20242479
859,1d9n4hni,['NCT04287686'],['NCT'],,,10.1101/2020.05.25.115774,,1d9n4hni,https://doi.org/10.1101/2020.05.25.115774,Alveolar early progenitors in the aged human lung have increased expression of ACE2 accompanied with genes involved in beta-amyloid clearance: Indication of SARS-CoV-2 also using soluble ACE2 in aged-lungs to enter ACE2-negative cells,False,,http://doi.org/10.1101/2020.05.25.115774
869,1dza8n3r,['NCT04241926'],['NCT'],['ClinicalTrials.gov'],,10.1186/s13613-020-00785-2,,1dza8n3r,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7720030/,Are single-lumen 5Fr and triple-lumen 6Fr PICCs suitable for hemodynamic assessment by trans-pulmonary thermodilution? A pilot study Open Access,False,,http://doi.org/10.1186/s13613-020-00785-2
876,1ebmq7t8,['NCT03719586'],['NCT'],['clinicaltrials.gov'],,10.1016/b978-0-12-818480-6.00007-2,,1ebmq7t8,https://api.elsevier.com/content/article/pii/B9780128184806000072; https://www.sciencedirect.com/science/article/pii/B9780128184806000072,Combating biothreat pathogens: ongoing efforts for countermeasure development and unique challenges,False,,http://doi.org/10.1016/b978-0-12-818480-6.00007-2
911,1g0isp98,"['NCT01804829', 'NCT01532908']",['NCT'],,,10.1101/2020.04.22.056754,,1g0isp98,https://doi.org/10.1101/2020.04.22.056754,Safety and Efficacy of Avaren-Fc Lectibody Targeting HCV High-Mannose Glycans in a Human Liver Chimeric Mouse Model 2 3,False,,http://doi.org/10.1101/2020.04.22.056754
950,1inxq7t5,['NCT03919799'],['NCT'],,,10.1101/2020.08.02.233064,,1inxq7t5,https://doi.org/10.1101/2020.08.02.233064,Functional immune mapping with deep-learning enabled phenomics applied to immunomodulatory and COVID-19 drug discovery,False,,http://doi.org/10.1101/2020.08.02.233064
964,1j8jkfn9,['ChiCTR2000031088'],['ChiCTR'],['Chinese Clinical Trial Registry'],,10.1101/2020.10.29.20222612,,1j8jkfn9,http://medrxiv.org/cgi/content/short/2020.10.29.20222612v1?rss=1; https://doi.org/10.1101/2020.10.29.20222612,"Features of α-HBDH in COVID-19 patients with different ages,outcomes and clinical types: a cohort study",False,,http://doi.org/10.1101/2020.10.29.20222612
970,1jki4o87,"['NCT02399215', 'NCT03377023', 'NCT04541680', 'NCT02902484', 'NCT02149108']",['NCT'],['ClinicalTrials.gov'],,10.1101/2020.12.21.423817,,1jki4o87,https://doi.org/10.1101/2020.12.21.423817,Title: Repurposing Nintedanib for Pathological Cardiac Remodeling and Dysfunction,False,,http://doi.org/10.1101/2020.12.21.423817
993,1ku3jc9s,['NCT04355429'],['NCT'],,,10.1101/2020.11.06.368191,,1ku3jc9s,https://doi.org/10.1101/2020.11.06.368191,A zebrafish model for COVID-19 recapitulates olfactory and cardiovascular 1 pathophysiologies caused by SARS-CoV-2 2 3,False,,http://doi.org/10.1101/2020.11.06.368191
1012,1m6a36i9,"['NCT00744042', 'NCT01205152', 'NCT01176266']",['NCT'],,,10.1186/s13023-020-01483-9,,1m6a36i9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7407429/,Characterization of tracheobronchomalacia in infants with hypophosphatasia,False,,http://doi.org/10.1186/s13023-020-01483-9
1022,1mn4whcf,['NCT02138331'],['NCT'],['ClinicalTrials.gov'],,10.4252/wjsc.v12.i8.814,,1mn4whcf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7477653/,World Journal of Stem Cells Mesenchymal stem cell-derived exosomes: Toward cell-free therapeutic strategies in regenerative medicine,False,,http://doi.org/10.4252/wjsc.v12.i8.814
1081,1q39v843,"['NCT+04308668', 'NCT 04308668', 'NCT04308668']",['NCT'],['clinicaltrials.gov'],,10.1101/2020.05.01.20087999,,1q39v843,http://medrxiv.org/cgi/content/short/2020.05.01.20087999v1?rss=1; https://doi.org/10.1101/2020.05.01.20087999,Post-exposure Prophylaxis or Preemptive Therapy for SARS-Coronavirus-2: Study Protocol for a Pragmatic Randomized Controlled Trial,False,,http://doi.org/10.1101/2020.05.01.20087999
1085,1q8972uo,['ChiCTR2000030704'],['ChiCTR'],,,10.1101/2020.05.20.20107607,,1q8972uo,https://doi.org/10.1101/2020.05.20.20107607; http://medrxiv.org/cgi/content/short/2020.05.20.20107607v1?rss=1,Main Manuscript for Chansu Injection Improves the Respiratory Function of Severe COVID-19 Patients,False,,http://doi.org/10.1101/2020.05.20.20107607
1148,1ualnycn,['ISRCTN66726260'],"['isrctn', 'ISRCTN']",,,10.1101/2020.10.09.20209957,,1ualnycn,http://medrxiv.org/cgi/content/short/2020.10.09.20209957v1?rss=1; https://doi.org/10.1101/2020.10.09.20209957,Title page Title Development and validation of the 4C Deterioration model for adults hospitalised with COVID-19,False,,http://doi.org/10.1101/2020.10.09.20209957
1174,1vtuonb8,['NCT02589535'],['NCT'],['ClinicalTrials.gov'],,10.1186/s12871-020-01068-w,,1vtuonb8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320250/,High mobilization of CD133+/CD34+ cells expressing HIF-1α and SDF-1α in septic abdominal surgical patients,False,,http://doi.org/10.1186/s12871-020-01068-w
1223,1yc38ok1,"['NCT01328509', 'NCT03530046', 'NCT02130388', 'NCT03366220']",['NCT'],"['ClinicalTrials.gov', 'clinicaltrials.gov']",,10.1101/2020.07.15.198010,,1yc38ok1,https://doi.org/10.1101/2020.07.15.198010,"July 12, 2020 Acidosis, Zinc and HMGB1 in Sepsis: A Common Connection Involving Sialoglycan Recognition",False,,http://doi.org/10.1101/2020.07.15.198010
1320,249gx9ys,['NCT 04323527'],['NCT'],['ClinicalTrials.gov'],,10.1016/j.ajog.2020.08.046,,249gx9ys,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7442007/,Journal Pre-proof COVID-19 pandemic and pregnancy -posology and cardiometabolic pathology,False,,http://doi.org/10.1016/j.ajog.2020.08.046
1347,25llpy6b,['RPCEC00000317'],"['rpcec', 'RPCEC']",,,10.1021/acsptsci.0c00175,,25llpy6b,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7755077/,Treatment with an Anti-CK2 Synthetic Peptide Improves Clinical Response in COVID-19 Patients with Pneumonia. A Randomized and Controlled Clinical Trial,False,,http://doi.org/10.1021/acsptsci.0c00175
1354,25t83ikm,"['NCT04322773', 'NCT04315298']",['NCT'],,,10.1101/2020.09.11.20192401,,25t83ikm,https://doi.org/10.1101/2020.09.11.20192401; http://medrxiv.org/cgi/content/short/2020.09.11.20192401v1?rss=1,Anakinra and Intravenous IgG versus Tocilizumab in the Treatment of COVID-19 Pneumonia,False,,http://doi.org/10.1101/2020.09.11.20192401
1365,26b9049s,"['NCT02439450', 'NCT02117024']",['NCT'],,,10.1101/2020.08.24.265090,,26b9049s,https://doi.org/10.1101/2020.08.24.265090,Induction of SARS-CoV-2 protein S-specific CD8+ T cells in the lungs of gp96-Ig-S vaccinated mice,False,,http://doi.org/10.1101/2020.08.24.265090
1368,26bx2kwn,['NCT00608764'],['NCT'],,,10.1101/2020.05.22.20108084,,26bx2kwn,https://doi.org/10.1101/2020.05.22.20108084; http://medrxiv.org/cgi/content/short/2020.05.22.20108084v1?rss=1,Assessment of small pulmonary blood vessels in COVID-19 patients using HRCT,False,,http://doi.org/10.1101/2020.05.22.20108084
1387,27t269pd,['NCT02517489'],['NCT'],,,10.1101/2020.06.28.20141911,,27t269pd,http://medrxiv.org/cgi/content/short/2020.06.28.20141911v1?rss=1; https://doi.org/10.1101/2020.06.28.20141911,Characteristics and outcomes of Acute Respiratory Distress Syndrome related to,False,,http://doi.org/10.1101/2020.06.28.20141911
1544,2h1dqge0,"['NCT04320615', 'NCT04355494', 'NCT04288713', 'ChiCTR2000029765', 'NCT04346797', 'NCT04315298']","['ChiCTR', 'NCT']",,,10.1016/j.acci.2020.10.004,,2h1dqge0,https://api.elsevier.com/content/article/pii/S0122726220301014; https://www.sciencedirect.com/science/article/pii/S0122726220301014?v=s5,,False,,http://doi.org/10.1016/j.acci.2020.10.004
1550,2hbcbvt6,"['ChiCTR2000029559', 'ChiCTR2000029609', 'ChiCTR2000029741', 'ChiCTR2000029740']",['ChiCTR'],"['Chinese Clinical Trial Registry', 'Clinicaltrials.gov']",,10.1101/2020.04.08.20054551,,2hbcbvt6,https://doi.org/10.1101/2020.04.08.20054551; http://medrxiv.org/cgi/content/short/2020.04.08.20054551v1?rss=1,23. RTI Health Solutions,False,,http://doi.org/10.1101/2020.04.08.20054551
1601,2kqfn7y6,['NCT02867358'],['NCT'],['ClinicalTrials.gov'],,10.1016/j.biopha.2020.110641,,2kqfn7y6,https://api.elsevier.com/content/article/pii/S0753332220308349; https://www.sciencedirect.com/science/article/pii/S0753332220308349?v=s5,Lianhua Qingwen prescription for Coronavirus disease 2019 (COVID-19) treatment: advances and prospects,False,,http://doi.org/10.1016/j.biopha.2020.110641
1631,2mqax3qr,['ISRCTN56609224'],"['isrctn', 'ISRCTN']",,,10.1101/2020.10.19.20215228,,2mqax3qr,https://doi.org/10.1101/2020.10.19.20215228; http://medrxiv.org/cgi/content/short/2020.10.19.20215228v1?rss=1,Title: Use of dried blood spot samples for SARS-CoV-2 antibody detection using the Roche 1 Elecsys ® high throughput immunoassay 2,False,,http://doi.org/10.1101/2020.10.19.20215228
1648,2nruf2g7,['NCT04368988'],"['NCT', 'Ctri']",,,10.1101/2020.06.29.178509,,2nruf2g7,https://doi.org/10.1101/2020.06.29.178509,Title: SARS-CoV-2 spike glycoprotein vaccine candidate NVX-CoV2373 elicits 1 immunogenicity in baboons and protection in mice 2 3,False,,http://doi.org/10.1101/2020.06.29.178509
1683,2qcsfd87,"['NCT04341935', 'NCT04350593', 'NCT04318418', 'NCT04324736']",['NCT'],['Clinicaltrials.gov'],,10.1159/000511354,,2qcsfd87,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7649685/,COVID-19 and Diabetes Mellitus: The Link and Clinical Implications,False,,http://doi.org/10.1159/000511354
1741,2t9mif9k,['NCT00608764'],['NCT'],,,10.1148/ryai.2020200048,,2t9mif9k,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7392373/,Automated Quantification of CT Patterns Associated with COVID-19 from Chest CT,False,,http://doi.org/10.1148/ryai.2020200048
1816,2x1k9maj,['NCT00655421'],['NCT'],"['ClinicalTrials.gov', 'clinicaltrials.gov']",,10.1016/j.sintl.2020.100046,,2x1k9maj,https://www.sciencedirect.com/science/article/pii/S2666351120300462?v=s5; https://api.elsevier.com/content/article/pii/S2666351120300462,Journal Pre-proof Oral Cancer Diagnosis and Perspectives in India Title: Oral Cancer Diagnosis and Perspectives in India Title: Oral Cancer Diagnosis and Perspectives in India 1,False,,http://doi.org/10.1016/j.sintl.2020.100046
1823,2xfn6twk,['NCT00440167'],['NCT'],,,10.1101/2020.05.01.20087668,,2xfn6twk,http://medrxiv.org/cgi/content/short/2020.05.01.20087668v1?rss=1,Article 1 Bacterial lipopolysaccharide as negative predictor of gemcitabine efficacy in 2 advanced pancreatic cancer -translational results from the AIO-PK0104 phase 3 3 study 4,False,,http://doi.org/10.1101/2020.05.01.20087668
1846,2yrqjw1o,['NCT02870829'],['NCT'],['ClinicalTrials.gov'],,10.1097/md.0000000000021906,,2yrqjw1o,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7478798/,Treatment to reduce vascular calcification in hemodialysis patients using vitamin K (Trevasc-HDK) A study protocol for a randomized controlled trial,False,,http://doi.org/10.1097/md.0000000000021906
1858,2z8jdob6,['KCT 0004431'],['KCT'],['Clinical Research Information Service'],,10.1186/s13054-020-03310-w,,2z8jdob6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7538059/,Chlorhexidine bathing of the exposed circuits in extracorporeal membrane oxygenation: an uncontrolled before-and- after study,False,,http://doi.org/10.1186/s13054-020-03310-w
1879,30ihtibn,['NCT04358614'],['NCT'],['ClinicalTrials.gov'],,10.1016/j.jinf.2020.06.052,,30ihtibn,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7313480/,,False,,http://doi.org/10.1016/j.jinf.2020.06.052
1891,31342511,"['NCT02122952', 'NCT03421977', 'NCT02091375', 'NCT02224573', 'NCT02908685', 'NCT02849626', 'NCT02224703']",['NCT'],,,10.1111/dmcn.14411,31342511,sxd4t2tz,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163607/,"DEVELOPMENTAL MEDICINE & CHILD NEUROLOGY ABSTRACTS Poster Presentations Quality improvement project on the investigation, assessment and management of childhood epilepsy",False,,http://doi.org/10.1111/dmcn.14411
1893,3137lzu5,"['NCT03891420', 'NCT03776786']",['NCT'],['clinicaltrials.gov'],,10.1007/s40506-020-00232-7,,3137lzu5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7351566/,Vaccination and Therapeutics: Responding to the Changing Epidemiology of Yellow Fever,False,,http://doi.org/10.1007/s40506-020-00232-7
1905,31574339,['NCT02538770'],['NCT'],,,10.1016/j.cmi.2019.09.013,31574339,j0n14tqq,https://www.ncbi.nlm.nih.gov/pubmed/31574339/; https://api.elsevier.com/content/article/pii/S1198743X19304987; https://doi.org/10.1016/j.cmi.2019.09.013; https://www.sciencedirect.com/science/article/pii/S1198743X19304987,Impact of multiplex respiratory virus testing on antimicrobial consumption in adults in acute care: a randomized clinical trial,False,,http://doi.org/10.1016/j.cmi.2019.09.013
1912,31636349,"['NCT03373500', 'ISRCTN25003627']","['ISRCTN', 'NCT']",,,10.1038/s41371-020-00410-6,31636349,efprpk72,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491598/,Abstracts from the 2020 Annual Scientific Meeting of the British and Irish Hypertension Society (BIHS),False,,http://doi.org/10.1038/s41371-020-00410-6
1981,31894001,"['NCT03277248', 'NCT03511066', 'NCT02528903', 'NCT01719874', 'NCT03319667', 'NCT03277261', 'NCT03719586', 'NCT02612311', 'NCT02967692', 'NCT03478891', 'NCT02715284', 'NCT03602859', 'NCT02579083', 'NCT02990338', 'NCT02623322', 'NCT03275285', 'NCT02878330']",['NCT'],,,10.1186/s12929-019-0592-z,31894001,gthsy86t,https://doi.org/10.1186/s12929-019-0592-z; https://www.ncbi.nlm.nih.gov/pubmed/31894001/,Development of therapeutic antibodies for the treatment of diseases,False,,http://doi.org/10.1186/s12929-019-0592-z
2034,31903811,"['NCT03739112', 'NCT01704365', 'NCT01709019']",['NCT'],['ClinicalTrials.gov'],,10.1080/14760584.2020.1758070,31903811,1tn3a4qs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7196924/,Gold nanoparticles for preparation of antibodies and vaccines against infectious diseases,False,,http://doi.org/10.1080/14760584.2020.1758070
2038,31906351,"['NCT02716675', 'NCT03547245', 'NCT02568215']",['NCT'],['ClinicalTrials.gov'],,10.3390/vaccines8010013,31906351,8keu2uay,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7157687/,Exploiting B Cell Receptor Analyses to Inform on HIV-1 Vaccination Strategies,False,,http://doi.org/10.3390/vaccines8010013
2047,31907011,['NCT02395861'],['NCT'],['ClinicalTrials.gov'],,10.1186/s13054-019-2718-9,31907011,obrq7q57,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945639/,Brainstem dysfunction in critically ill patients,False,,http://doi.org/10.1186/s13054-019-2718-9
2053,31908779,['NCT01760967'],['NCT'],['ClinicalTrials.gov'],,10.1186/s40560-019-0415-z,31908779,f9tg6xsg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6939335/,Dexmedetomidine improved renal function in patients with severe sepsis: an exploratory analysis of a randomized controlled trial,False,,http://doi.org/10.1186/s40560-019-0415-z
2054,31908851,"['NCT02709278', 'NCT00456183', 'NCT02380508', 'NCT00480714']",['NCT'],['ClinicalTrials.gov'],,10.1038/s41541-019-0148-y,31908851,44ip3jda,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941960/,ARTICLE Identification of antigens presented by MHC for vaccines against tuberculosis,False,,http://doi.org/10.1038/s41541-019-0148-y
2065,31911641,['NCT03242057'],['NCT'],,,10.1038/s41372-019-0578-4,31911641,d1ubbjs9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7222927/,Comparison of extubation success using noninvasive positive pressure ventilation (NIPPV) versus noninvasive neurally adjusted ventilatory assist (NI-NAVA),False,,http://doi.org/10.1038/s41372-019-0578-4
2074,31912201,['NCT03098888'],['NCT'],['clinicaltrials.gov'],,10.1007/s00134-019-05896-4,31912201,k2kca8zl,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223716/,"Benefit-to-risk balance of bronchoalveolar lavage in the critically ill. A prospective, multicenter cohort study",False,,http://doi.org/10.1007/s00134-019-05896-4
2075,31912202,['ISRCTN73485024'],['ISRCTN'],,,10.1007/s00134-019-05836-2,31912202,qjvgiehe,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067734/,The influence of time to adrenaline administration in the Paramedic 2 randomised controlled trial,False,,http://doi.org/10.1007/s00134-019-05836-2
2076,31912203,['NCT02731898'],['NCT'],,,10.1007/s00134-019-05867-9,31912203,v6tj958h,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7222132/,Inter-country variability over time in the mortality of mechanically ventilated patients,False,,http://doi.org/10.1007/s00134-019-05867-9
2077,31912206,"['NCT02532283', 'NCT03376321', 'NCT03684044']",['NCT'],,,10.1007/s00134-019-05868-8,31912206,fkz10jkf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7095473/,Severe flu management: a point of view,False,,http://doi.org/10.1007/s00134-019-05868-8
2078,31912207,"['NCT03309579', 'NTR5653', 'NCT02648113', 'NCT03284944', 'NCT03260478', 'NCT01167582', 'NCT02968654']","['NTR5653', 'NCT']",,,10.1007/s00134-019-05884-8,31912207,dqd7fx1l,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223433/,Transfusion strategies in non-bleeding critically ill adults: a clinical practice guideline from the European Society of Intensive Care Medicine,False,,http://doi.org/10.1007/s00134-019-05884-8
