id,trn,registry
tri00108,NCT04268537,ClinicalTrials.gov
tri00109,ChiCTR2000030188,ChiCTR
tri00110,ChiCTR2000030185,ChiCTR
tri00111,ChiCTR2000030179,ChiCTR
tri00112,ChiCTR2000030173,ChiCTR
tri00113,ChiCTR2000030170,ChiCTR
tri00114,ChiCTR2000030167,ChiCTR
tri00115,ChiCTR2000030166,ChiCTR
tri00116,ChiCTR2000030165,ChiCTR
tri00117,ChiCTR2000030164,ChiCTR
tri00118,ChiCTR2000030138,ChiCTR
tri00119,ChiCTR2000030137,ChiCTR
tri00120,NCT04283825,ClinicalTrials.gov
tri00120,ChiCTR2000030136,ChiCTR
tri00121,ChiCTR2000030118,ChiCTR
tri00122,ChiCTR2000030117,ChiCTR
tri00123,ChiCTR2000030116,ChiCTR
tri00124,ChiCTR2000030115,ChiCTR
tri00125,ChiCTR2000030113,ChiCTR
tri00126,ChiCTR2000030102,ChiCTR
tri00127,ChiCTR2000030096,ChiCTR
tri00128,ChiCTR2000030094,ChiCTR
tri00129,ChiCTR2000030093,ChiCTR
tri00130,ChiCTR2000030092,ChiCTR
tri00131,ChiCTR2000030090,ChiCTR
tri00132,ChiCTR2000030089,ChiCTR
tri00133,ChiCTR2000030088,ChiCTR
tri00134,ChiCTR2000030087,ChiCTR
tri00135,ChiCTR2000030086,ChiCTR
tri00136,ChiCTR2000030084,ChiCTR
tri00137,ChiCTR2000030058,ChiCTR
tri00138,ChiCTR2000030056,ChiCTR
tri00139,ChiCTR2000030054,ChiCTR
tri00140,ChiCTR2000030046,ChiCTR
tri00141,ChiCTR2000030043,ChiCTR
tri00142,ChiCTR2000030041,ChiCTR
tri00143,ChiCTR2000030039,ChiCTR
tri00144,ChiCTR2000030034,ChiCTR
tri00145,ChiCTR2000030033,ChiCTR
tri00146,ChiCTR2000030032,ChiCTR
tri00147,ChiCTR2000030030,ChiCTR
tri00148,ChiCTR2000030029,ChiCTR
tri00149,ChiCTR2000030027,ChiCTR
tri00150,ChiCTR2000030021,ChiCTR
tri00151,ChiCTR2000030020,ChiCTR
tri00152,ChiCTR2000030019,ChiCTR
tri00153,ChiCTR2000030017,ChiCTR
tri00154,ChiCTR2000030016,ChiCTR
tri00155,ChiCTR2000030015,ChiCTR
tri00156,ChiCTR2000030012,ChiCTR
tri00157,ChiCTR2000030010,ChiCTR
tri00158,ChiCTR2000030008,ChiCTR
tri00159,ChiCTR2000030007,ChiCTR
tri00160,ChiCTR2000030006,ChiCTR
tri00161,ChiCTR2000030004,ChiCTR
tri00162,ChiCTR2000030003,ChiCTR
tri00163,ChiCTR2000030002,ChiCTR
tri00164,ChiCTR2000030001,ChiCTR
tri00165,ChiCTR2000030000,ChiCTR
tri00166,ChiCTR2000029999,ChiCTR
tri00167,ChiCTR2000029996,ChiCTR
tri00168,ChiCTR2000029995,ChiCTR
tri00169,ChiCTR2000029994,ChiCTR
tri00170,ChiCTR2000029992,ChiCTR
tri00171,ChiCTR2000029990,ChiCTR
tri00172,ChiCTR2000029989,ChiCTR
tri00173,ChiCTR2000029988,ChiCTR
tri00174,ChiCTR2000029985,ChiCTR
tri00175,ChiCTR2000029981,ChiCTR
tri00176,ChiCTR2000029978,ChiCTR
tri00177,ChiCTR2000029974,ChiCTR
tri00178,ChiCTR2000029972,ChiCTR
tri00179,ChiCTR2000029960,ChiCTR
tri00180,ChiCTR2000029959,ChiCTR
tri00181,ChiCTR2000029956,ChiCTR
tri00182,ChiCTR2000029954,ChiCTR
tri00183,ChiCTR2000029866,ChiCTR
tri00184,ChiCTR2000029865,ChiCTR
tri00185,ChiCTR2000029851,ChiCTR
tri00186,ChiCTR2000029803,ChiCTR
tri00187,ChiCTR2000029781,ChiCTR
tri00188,ChiCTR2000029780,ChiCTR
tri00189,ChiCTR2000029740,ChiCTR
tri00190,NCT04270383,ClinicalTrials.gov
tri00191,NCT04273529,ClinicalTrials.gov
tri00192,NCT04273581,ClinicalTrials.gov
tri00193,NCT04275245,ClinicalTrials.gov
tri00194,NCT04275947,ClinicalTrials.gov
tri00195,NCT04279197,ClinicalTrials.gov
tri00196,NCT04279782,ClinicalTrials.gov
tri00197,NCT04279795,ClinicalTrials.gov
tri00198,NCT04279899,ClinicalTrials.gov
tri00199,NCT04280588,ClinicalTrials.gov
tri00200,ChiCTR2000030442,ChiCTR
tri00201,ChiCTR2000030433,ChiCTR
tri00202,ChiCTR2000030432,ChiCTR
tri00203,ChiCTR2000030424,ChiCTR
tri00204,ChiCTR2000030420,ChiCTR
tri00205,ChiCTR2000030418,ChiCTR
tri00206,ChiCTR2000030398,ChiCTR
tri00207,ChiCTR2000030391,ChiCTR
tri00208,ChiCTR2000030390,ChiCTR
tri00209,ChiCTR2000030389,ChiCTR
tri00210,ChiCTR2000030387,ChiCTR
tri00211,ChiCTR2000030386,ChiCTR
tri00212,ChiCTR2000030382,ChiCTR
tri00213,ChiCTR2000030363,ChiCTR
tri00214,ChiCTR2000030334,ChiCTR
tri00216,ChiCTR2000030327,ChiCTR
tri00217,ChiCTR2000030325,ChiCTR
tri00218,ChiCTR2000030324,ChiCTR
tri00219,ChiCTR2000030322,ChiCTR
tri00220,ChiCTR2000030317,ChiCTR
tri00221,ChiCTR2000030315,ChiCTR
tri00222,ChiCTR2000030314,ChiCTR
tri00223,ChiCTR2000030305,ChiCTR
tri00224,ChiCTR2000030293,ChiCTR
tri00225,ChiCTR2000030290,ChiCTR
tri00226,ChiCTR2000030283,ChiCTR
tri00227,ChiCTR2000030265,ChiCTR
tri00228,ChiCTR2000030264,ChiCTR
tri00229,ChiCTR2000030263,ChiCTR
tri00230,ChiCTR2000030261,ChiCTR
tri00231,ChiCTR2000030260,ChiCTR
tri00232,ChiCTR2000030259,ChiCTR
tri00233,ChiCTR2000030258,ChiCTR
tri00234,ChiCTR2000030257,ChiCTR
tri00235,ChiCTR2000030255,ChiCTR
tri00236,ChiCTR2000030253,ChiCTR
tri00237,ChiCTR2000030226,ChiCTR
tri00238,ChiCTR2000030225,ChiCTR
tri00239,ChiCTR2000030223,ChiCTR
tri00240,ChiCTR2000030222,ChiCTR
tri00241,ChiCTR2000030219,ChiCTR
tri00242,ChiCTR2000030218,ChiCTR
tri00243,ChiCTR2000030215,ChiCTR
tri00244,ChiCTR2000030196,ChiCTR
tri00245,ChiCTR2000030162,ChiCTR
tri00246,ChiCTR2000030091,ChiCTR
tri00247,ChiCTR2000030042,ChiCTR
tri00248,ChiCTR2000030022,ChiCTR
tri00249,ChiCTR2000030013,ChiCTR
tri00250,ChiCTR2000029991,ChiCTR
tri00251,ChiCTR2000029975,ChiCTR
tri00252,ChiCTR2000029952,ChiCTR
tri00253,ChiCTR2000029900,ChiCTR
tri00254,ChiCTR2000029899,ChiCTR
tri00255,ChiCTR2000029898,ChiCTR
tri00256,ChiCTR2000029829,ChiCTR
tri00257,ChiCTR2000029762,ChiCTR
tri00258,ChiCTR2000029761,ChiCTR
tri00259,ChiCTR2000029760,ChiCTR
tri00260,ChiCTR2000029759,ChiCTR
tri00261,ChiCTR2000029755,ChiCTR
tri00262,ChiCTR2000029728,ChiCTR
tri00263,ChiCTR2000029387,ChiCTR
tri00264,ChiCTR2000029386,ChiCTR
tri00265,NCT04276987,ClinicalTrials.gov
tri00266,NCT04281693,ClinicalTrials.gov
tri00267,NCT04282902,ClinicalTrials.gov
tri00267,ChiCTR2000030333,ChiCTR
tri00268,NCT04284046,ClinicalTrials.gov
tri00269,NCT04286503,ClinicalTrials.gov
tri00270,ChiCTR2000030627,ChiCTR
tri00271,ChiCTR2000030593,ChiCTR
tri00272,ChiCTR2000030581,ChiCTR
tri00273,ChiCTR2000030579,ChiCTR
tri00274,ChiCTR2000030578,ChiCTR
tri00275,ChiCTR2000030574,ChiCTR
tri00276,ChiCTR2000030564,ChiCTR
tri00277,ChiCTR2000030559,ChiCTR
tri00278,ChiCTR2000030557,ChiCTR
tri00279,ChiCTR2000030556,ChiCTR
tri00280,ChiCTR2000030552,ChiCTR
tri00281,ChiCTR2000030544,ChiCTR
tri00282,ChiCTR2000030543,ChiCTR
tri00283,ChiCTR2000030542,ChiCTR
tri00284,ChiCTR2000030541,ChiCTR
tri00285,ChiCTR2000030540,ChiCTR
tri00286,ChiCTR2000030535,ChiCTR
tri00287,ChiCTR2000030522,ChiCTR
tri00288,ChiCTR2000030518,ChiCTR
tri00289,ChiCTR2000030503,ChiCTR
tri00290,ChiCTR2000030493,ChiCTR
tri00291,ChiCTR2000030492,ChiCTR
tri00292,ChiCTR2000030491,ChiCTR
tri00293,ChiCTR2000030490,ChiCTR
tri00294,ChiCTR2000030489,ChiCTR
tri00295,ChiCTR2000030487,ChiCTR
tri00296,ChiCTR2000030485,ChiCTR
tri00297,ChiCTR2000030484,ChiCTR
tri00298,ChiCTR2000030482,ChiCTR
tri00299,ChiCTR2000030481,ChiCTR
tri00300,ChiCTR2000030480,ChiCTR
tri00300,NCT04293887,ClinicalTrials.gov
tri00301,ChiCTR2000030479,ChiCTR
tri00302,ChiCTR2000030477,ChiCTR
tri00303,ChiCTR2000030475,ChiCTR
tri00304,ChiCTR2000030472,ChiCTR
tri00305,ChiCTR2000030471,ChiCTR
tri00306,ChiCTR2000030469,ChiCTR
tri00307,ChiCTR2000030468,ChiCTR
tri00308,ChiCTR2000030467,ChiCTR
tri00309,ChiCTR2000030465,ChiCTR
tri00310,ChiCTR2000030464,ChiCTR
tri00311,ChiCTR2000030453,ChiCTR
tri00312,ChiCTR2000030436,ChiCTR
tri00313,ChiCTR2000030312,ChiCTR
tri00314,ChiCTR2000030304,ChiCTR
tri00315,ChiCTR2000030163,ChiCTR
tri00316,ChiCTR2000030014,ChiCTR
tri00317,ChiCTR2000029993,ChiCTR
tri00318,ChiCTR2000029958,ChiCTR
tri00319,ChiCTR2000029757,ChiCTR
tri00320,ChiCTR2000029580,ChiCTR
tri00321,ChiCTR2000029579,ChiCTR
tri00322,ChiCTR2000029550,ChiCTR
tri00323,ChiCTR2000029549,ChiCTR
tri00324,ChiCTR2000029308,ChiCTR
tri00325,NCT04292327,ClinicalTrials.gov
tri00326,NCT04292340,ClinicalTrials.gov
tri00327,NCT04293887,ClinicalTrials.gov
tri00328,NCT04295551,ClinicalTrials.gov
tri00329,NCT04296643,ClinicalTrials.gov
tri00330,NCT04298814,ClinicalTrials.gov
tri00331,NCT04299711,ClinicalTrials.gov
tri00332,ChiCTR2000030902,ChiCTR
tri00333,ChiCTR2000030901,ChiCTR
tri00334,ChiCTR2000030898,ChiCTR
tri00335,ChiCTR2000030897,ChiCTR
tri00336,ChiCTR2000030896,ChiCTR
tri00337,ChiCTR2000030895,ChiCTR
tri00338,ChiCTR2000030893,ChiCTR
tri00339,ChiCTR2000030892,ChiCTR
tri00340,ChiCTR2000030883,ChiCTR
tri00341,ChiCTR2000030866,ChiCTR
tri00342,ChiCTR2000030865,ChiCTR
tri00343,ChiCTR2000030864,ChiCTR
tri00344,ChiCTR2000030863,ChiCTR
tri00345,ChiCTR2000030862,ChiCTR
tri00346,ChiCTR2000030861,ChiCTR
tri00347,ChiCTR2000030860,ChiCTR
tri00348,ChiCTR2000030859,ChiCTR
tri00349,ChiCTR2000030858,ChiCTR
tri00350,ChiCTR2000030857,ChiCTR
tri00351,ChiCTR2000030856,ChiCTR
tri00352,ChiCTR2000030855,ChiCTR
tri00353,ChiCTR2000030854,ChiCTR
tri00354,ChiCTR2000030853,ChiCTR
tri00355,ChiCTR2000030852,ChiCTR
tri00356,ChiCTR2000030850,ChiCTR
tri00357,ChiCTR2000030849,ChiCTR
tri00358,ChiCTR2000030841,ChiCTR
tri00359,ChiCTR2000030839,ChiCTR
tri00360,ChiCTR2000030838,ChiCTR
tri00361,ChiCTR2000030836,ChiCTR
tri00362,ChiCTR2000030835,ChiCTR
tri00363,ChiCTR2000030834,ChiCTR
tri00364,ChiCTR2000030833,ChiCTR
tri00365,ChiCTR2000030832,ChiCTR
tri00366,ChiCTR2000030831,ChiCTR
tri00367,ChiCTR2000030830,ChiCTR
tri00368,ChiCTR2000030819,ChiCTR
tri00369,ChiCTR2000030818,ChiCTR
tri00370,ChiCTR2000030816,ChiCTR
tri00371,ChiCTR2000030814,ChiCTR
tri00372,ChiCTR2000030812,ChiCTR
tri00373,ChiCTR2000030810,ChiCTR
tri00374,ChiCTR2000030809,ChiCTR
tri00375,ChiCTR2000030807,ChiCTR
tri00376,ChiCTR2000030806,ChiCTR
tri00377,ChiCTR2000030805,ChiCTR
tri00378,ChiCTR2000030804,ChiCTR
tri00379,ChiCTR2000030803,ChiCTR
tri00380,ChiCTR2000030802,ChiCTR
tri00381,ChiCTR2000030801,ChiCTR
tri00382,ChiCTR2000030800,ChiCTR
tri00383,ChiCTR2000030799,ChiCTR
tri00384,ChiCTR2000030798,ChiCTR
tri00385,ChiCTR2000030797,ChiCTR
tri00386,ChiCTR2000030796,ChiCTR
tri00387,ChiCTR2000030795,ChiCTR
tri00388,ChiCTR2000030784,ChiCTR
tri00389,ChiCTR2000030782,ChiCTR
tri00390,ChiCTR2000030779,ChiCTR
tri00391,ChiCTR2000030778,ChiCTR
tri00392,ChiCTR2000030773,ChiCTR
tri00393,ChiCTR2000030768,ChiCTR
tri00394,ChiCTR2000030764,ChiCTR
tri00395,ChiCTR2000030763,ChiCTR
tri00396,ChiCTR2000030762,ChiCTR
tri00397,ChiCTR2000030761,ChiCTR
tri00398,ChiCTR2000030760,ChiCTR
tri00399,ChiCTR2000030759,ChiCTR
tri00400,ChiCTR2000030758,ChiCTR
tri00401,ChiCTR2000030757,ChiCTR
tri00402,ChiCTR2000030756,ChiCTR
tri00403,ChiCTR2000030755,ChiCTR
tri00404,ChiCTR2000030754,ChiCTR
tri00405,ChiCTR2000030753,ChiCTR
tri00406,ChiCTR2000030752,ChiCTR
tri00407,ChiCTR2000030751,ChiCTR
tri00408,ChiCTR2000030747,ChiCTR
tri00409,ChiCTR2000030744,ChiCTR
tri00410,ChiCTR2000030742,ChiCTR
tri00411,ChiCTR2000030741,ChiCTR
tri00412,ChiCTR2000030740,ChiCTR
tri00413,ChiCTR2000030739,ChiCTR
tri00414,ChiCTR2000030722,ChiCTR
tri00415,ChiCTR2000030721,ChiCTR
tri00416,ChiCTR2000030720,ChiCTR
tri00417,ChiCTR2000030719,ChiCTR
tri00418,ChiCTR2000030718,ChiCTR
tri00419,ChiCTR2000030717,ChiCTR
tri00420,ChiCTR2000030716,ChiCTR
tri00421,ChiCTR2000030708,ChiCTR
tri00422,ChiCTR2000030707,ChiCTR
tri00423,ChiCTR2000030706,ChiCTR
tri00424,ChiCTR2000030703,ChiCTR
tri00425,ChiCTR2000030702,ChiCTR
tri00426,ChiCTR2000030701,ChiCTR
tri00427,ChiCTR2000030700,ChiCTR
tri00428,ChiCTR2000030697,ChiCTR
tri00429,ChiCTR2000030690,ChiCTR
tri00430,ChiCTR2000030687,ChiCTR
tri00431,ChiCTR2000030686,ChiCTR
tri00432,ChiCTR2000030683,ChiCTR
tri00433,ChiCTR2000030681,ChiCTR
tri00434,ChiCTR2000030679,ChiCTR
tri00435,ChiCTR2000030619,ChiCTR
tri00436,ChiCTR2000030606,ChiCTR
tri00437,ChiCTR2000030597,ChiCTR
tri00438,ChiCTR2000030580,ChiCTR
tri00439,ChiCTR2000030558,ChiCTR
tri00440,ChiCTR2000030545,ChiCTR
tri00441,ChiCTR2000030528,ChiCTR
tri00442,ChiCTR2000030509,ChiCTR
tri00443,ChiCTR2000030483,ChiCTR
tri00444,ChiCTR2000030478,ChiCTR
tri00445,ChiCTR2000030476,ChiCTR
tri00446,ChiCTR2000030466,ChiCTR
tri00447,ChiCTR2000030417,ChiCTR
tri00448,ChiCTR2000030388,ChiCTR
tri00449,ChiCTR2000030381,ChiCTR
tri00450,ChiCTR2000030329,ChiCTR
tri00451,ChiCTR2000030306,ChiCTR
tri00452,ChiCTR2000030221,ChiCTR
tri00453,ChiCTR2000030187,ChiCTR
tri00454,ChiCTR2000030135,ChiCTR
tri00455,ChiCTR2000030114,ChiCTR
tri00456,ChiCTR2000030085,ChiCTR
tri00457,ChiCTR2000030082,ChiCTR
tri00458,ChiCTR2000030055,ChiCTR
tri00459,ChiCTR2000030031,ChiCTR
tri00460,ChiCTR2000030005,ChiCTR
tri00461,ChiCTR2000029984,ChiCTR
tri00462,ChiCTR2000029957,ChiCTR
tri00463,ChiCTR2000029895,ChiCTR
tri00464,ChiCTR2000029837,ChiCTR
tri00465,ChiCTR2000029826,ChiCTR
tri00466,ChiCTR2000029820,ChiCTR
tri00467,ChiCTR2000029818,ChiCTR
tri00468,ChiCTR2000029817,ChiCTR
tri00469,ChiCTR2000029816,ChiCTR
tri00470,ChiCTR2000029812,ChiCTR
tri00471,ChiCTR2000029770,ChiCTR
tri00472,ChiCTR2000029592,ChiCTR
tri00473,NCT04264533,ClinicalTrials.gov
tri00474,NCT04285801,ClinicalTrials.gov
tri00475,NCT04299724,ClinicalTrials.gov
tri00476,NCT04302519,ClinicalTrials.gov
tri00477,NCT04302688,ClinicalTrials.gov
tri00478,NCT04308187,ClinicalTrials.gov
tri00479,ChiCTR2000031163,ChiCTR
tri00480,ChiCTR2000031150,ChiCTR
tri00481,ChiCTR2000031140,ChiCTR
tri00482,ChiCTR2000031139,ChiCTR
tri00483,ChiCTR2000031138,ChiCTR
tri00484,ChiCTR2000031115,ChiCTR
tri00485,ChiCTR2000031104,ChiCTR
tri00486,ChiCTR2000031090,ChiCTR
tri00487,ChiCTR2000031089,ChiCTR
tri00488,ChiCTR2000031088,ChiCTR
tri00489,ChiCTR2000031023,ChiCTR
tri00490,ChiCTR2000031014,ChiCTR
tri00491,ChiCTR2000030996,ChiCTR
tri00492,ChiCTR2000030993,ChiCTR
tri00493,ChiCTR2000030992,ChiCTR
tri00494,ChiCTR2000030989,ChiCTR
tri00495,ChiCTR2000030986,ChiCTR
tri00496,ChiCTR2000030985,ChiCTR
tri00497,ChiCTR2000030961,ChiCTR
tri00498,ChiCTR2000030952,ChiCTR
tri00499,ChiCTR2000030951,ChiCTR
tri00500,ChiCTR2000030950,ChiCTR
tri00501,ChiCTR2000030947,ChiCTR
tri00502,ChiCTR2000030946,ChiCTR
tri00503,ChiCTR2000030944,ChiCTR
tri00504,ChiCTR2000030943,ChiCTR
tri00505,ChiCTR2000030942,ChiCTR
tri00506,ChiCTR2000030941,ChiCTR
tri00507,ChiCTR2000030939,ChiCTR
tri00508,ChiCTR2000030934,ChiCTR
tri00509,ChiCTR2000030933,ChiCTR
tri00510,ChiCTR2000030932,ChiCTR
tri00511,ChiCTR2000030931,ChiCTR
tri00512,ChiCTR2000030929,ChiCTR
tri00513,ChiCTR2000030922,ChiCTR
tri00514,ChiCTR2000030920,ChiCTR
tri00515,ChiCTR2000030919,ChiCTR
tri00516,ChiCTR2000030906,ChiCTR
tri00516,NCT04313127,ClinicalTrials.gov
tri00517,ChiCTR2000030771,ChiCTR
tri00518,ChiCTR2000030765,ChiCTR
tri00519,ChiCTR2000030539,ChiCTR
tri00520,ChiCTR2000030519,ChiCTR
tri00521,ChiCTR2000030254,ChiCTR
tri00522,ChiCTR2000030224,ChiCTR
tri00523,ChiCTR2000030168,ChiCTR
tri00524,ChiCTR2000030095,ChiCTR
tri00525,ChiCTR2000029955,ChiCTR
tri00526,ChiCTR2000029868,ChiCTR
tri00527,ChiCTR2000029830,ChiCTR
tri00528,ChiCTR2000029658,ChiCTR
tri00529,ChiCTR2000029573,ChiCTR
tri00530,ChiCTR2000029496,ChiCTR
tri00531,EUCTR2020-000890-25,EudraCT
tri00532,JPRN-UMIN000039686,UMIN-CTR
tri00533,NCT04251767,ClinicalTrials.gov
tri00534,NCT04254874,ClinicalTrials.gov
tri00535,NCT04255017,ClinicalTrials.gov
tri00536,NCT04261270,ClinicalTrials.gov
tri00537,NCT04263402,ClinicalTrials.gov
tri00538,NCT04264858,ClinicalTrials.gov
tri00539,NCT04272710,ClinicalTrials.gov
tri00540,NCT04276896,ClinicalTrials.gov
tri00541,NCT04283396,ClinicalTrials.gov
tri00542,NCT04287686,ClinicalTrials.gov
tri00543,NCT04291053,ClinicalTrials.gov
tri00544,NCT04292964,ClinicalTrials.gov
tri00545,NCT04293692,ClinicalTrials.gov
tri00546,NCT04304313,ClinicalTrials.gov
tri00547,NCT04305574,ClinicalTrials.gov
tri00548,NCT04306705,ClinicalTrials.gov
tri00549,NCT04308317,ClinicalTrials.gov
tri00550,NCT04312100,ClinicalTrials.gov
tri00551,NCT04312464,ClinicalTrials.gov
tri00552,NCT04313322,ClinicalTrials.gov
tri00553,NCT04314271,ClinicalTrials.gov
tri00554,NCT04314817,ClinicalTrials.gov
tri00555,NCT04315870,ClinicalTrials.gov
tri00556,NCT04316728,ClinicalTrials.gov
tri00557,NCT04316884,ClinicalTrials.gov
tri00558,NCT04318418,ClinicalTrials.gov
tri00559,ChiCTR2000031366,ChiCTR
tri00560,ChiCTR2000031365,ChiCTR
tri00561,ChiCTR2000031361,ChiCTR
tri00562,ChiCTR2000031356,ChiCTR
tri00563,ChiCTR2000031337,ChiCTR
tri00564,ChiCTR2000031336,ChiCTR
tri00565,ChiCTR2000031330,ChiCTR
tri00566,ChiCTR2000031329,ChiCTR
tri00567,ChiCTR2000031328,ChiCTR
tri00568,ChiCTR2000031324,ChiCTR
tri00569,ChiCTR2000031319,ChiCTR
tri00569,NCT04336254,ClinicalTrials.gov
tri00570,ChiCTR2000031301,ChiCTR
tri00571,ChiCTR2000031296,ChiCTR
tri00572,ChiCTR2000031293,ChiCTR
tri00573,ChiCTR2000031272,ChiCTR
tri00574,ChiCTR2000031271,ChiCTR
tri00575,ChiCTR2000031252,ChiCTR
tri00576,ChiCTR2000031247,ChiCTR
tri00577,ChiCTR2000031246,ChiCTR
tri00578,ChiCTR2000031245,ChiCTR
tri00579,ChiCTR2000031244,ChiCTR
tri00580,ChiCTR2000031227,ChiCTR
tri00581,ChiCTR2000031214,ChiCTR
tri00582,ChiCTR2000031204,ChiCTR
tri00583,ChiCTR2000031203,ChiCTR
tri00584,ChiCTR2000031198,ChiCTR
tri00585,ChiCTR2000031196,ChiCTR
tri00586,ChiCTR2000031187,ChiCTR
tri00587,ChiCTR2000031176,ChiCTR
tri00588,ChiCTR2000030988,ChiCTR
tri00589,ChiCTR2000030962,ChiCTR
tri00590,ChiCTR2000030940,ChiCTR
tri00591,ChiCTR2000030938,ChiCTR
tri00592,ChiCTR2000030937,ChiCTR
tri00593,ChiCTR2000030936,ChiCTR
tri00594,ChiCTR2000030923,ChiCTR
tri00595,ChiCTR2000030817,ChiCTR
tri00596,ChiCTR2000030704,ChiCTR
tri00597,ChiCTR2000030330,ChiCTR
tri00598,ChiCTR2000030288,ChiCTR
tri00599,ChiCTR2000030256,ChiCTR
tri00600,ChiCTR2000030198,ChiCTR
