,trialid,source_register,date_registration,date_enrollement,retrospective_registration,recruitment_status,phase,study_type,countries,public_title,target_enrollment,web_address
24,ChiCTR2000029768,ChiCTR,2020-02-13,2020-02-12,True,Recruiting,Not Applicable,Interventional,China,"A randomized, open, controlled trial for diammonium glycyrrhizinate enteric-coated capsules combined with vitamin C tablets in the treatment of common novel coronavirus pneumonia (COVID-19) in the basic of clinical standard antiviral treatment to evaluate the safety and efficiency",60,http://www.chictr.org.cn/showproj.aspx?proj=49131
25,ChiCTR2000029765,ChiCTR,2020-02-13,2020-02-10,True,Recruiting,Phase 4,Interventional,China,"A multicenter, randomized controlled trial for the efficacy and safety of tocilizumab in the treatment of new coronavirus pneumonia (COVID-19)",188,http://www.chictr.org.cn/showproj.aspx?proj=49409
26,ChiCTR2000029763,ChiCTR,2020-02-12,2020-02-13,False,Recruiting,Not Applicable,Interventional,China,"The efficacy of traditional chinese medicine on Novel Coronavirus Pneumonia (COVID-19) patients treated in square cabin hospital: a prospective, randomized controlled trial",408,http://www.chictr.org.cn/showproj.aspx?proj=49408
27,ChiCTR2000029756,ChiCTR,2020-02-12,2020-02-15,False,Recruiting,Not Applicable,Interventional,China,Clinical study of nebulized Xiyanping injection in the treatment of novel coronavirus pneumonia (COVID-19),238,http://www.chictr.org.cn/showproj.aspx?proj=49222
28,ChiCTR2000029747,ChiCTR,2020-02-11,2020-02-11,False,Recruiting,Not Applicable,Interventional,China,Effect evaluation and prognosis of Chinese medicine based on Novel Coronavirus Pneumonia (COVID-19),200,http://www.chictr.org.cn/showproj.aspx?proj=49287
29,ChiCTR2000029742,ChiCTR,2020-02-11,2020-02-10,True,Recruiting,Phase 4,Interventional,China,"A randomized, parallel controlled trial for the efficacy and safety of Sodium Aescinate Injection in the treatment of patients with pneumonia (COVID-19)",90,http://www.chictr.org.cn/showproj.aspx?proj=49297
30,ChiCTR2000029741,ChiCTR,2020-02-11,2020-02-12,False,Recruiting,Phase 4,Interventional,China,"Efficacy of Chloroquine and Lopinavir/ Ritonavir in mild/general novel coronavirus (CoVID-19) infections: a prospective, open-label, multicenter randomized controlled clinical study",112,http://www.chictr.org.cn/showproj.aspx?proj=49263
31,ChiCTR2000029739,ChiCTR,2020-02-11,2020-02-12,False,Recruiting,Not Applicable,Interventional,China,"A Multicenter, Randomized, Parallel Controlled Clinical Study of Hydrogen-Oxygen Nebulizer to Improve the Symptoms of Patients With Novel Coronavirus Pneumonia (COVID-19)",440,http://www.chictr.org.cn/showproj.aspx?proj=49283
32,ChiCTR2000029656,ChiCTR,2020-02-09,2020-02-14,False,Not Recruiting,Not Applicable,Interventional,China,"A randomized, open-label study to evaluate the efficacy and safety of low-dose corticosteroids in hospitalized patients with novel coronavirus pneumonia (COVID-19)",100,http://www.chictr.org.cn/showproj.aspx?proj=49086
33,ChiCTR2000029639,ChiCTR,2020-02-08,2020-02-10,False,Recruiting,Not Applicable,Interventional,China,"Study for Mental health and psychological status of doctors, nurses and patients in novel coronavirus pneumonia (COVID-19) designated hospital and effect of interventions",192,http://www.chictr.org.cn/showproj.aspx?proj=49187
34,ChiCTR2000029636,ChiCTR,2020-02-08,2020-02-09,False,Recruiting,Not Applicable,Interventional,China,Efficacy and safety of aerosol inhalation of vMIP in the treatment of novel coronavirus pneumonia (COVID-19): a single arm clinical trial,40,http://www.chictr.org.cn/showproj.aspx?proj=49215
35,ChiCTR2000029621,ChiCTR,2020-02-07,2020-02-07,False,Recruiting,Phase 4,Interventional,China,Clinical study of arbidol hydrochloride tablets in the treatment of novel coronavirus pneumonia (COVID-19),380,http://www.chictr.org.cn/showproj.aspx?proj=49165
36,ChiCTR2000029609,ChiCTR,2020-02-06,2020-02-10,False,Not Recruiting,Phase 4,Interventional,China,"A prospective, open-label, multiple-center study for the efficacy of chloroquine phosphate in patients with novel coronavirus pneumonia (COVID-19)",205,http://www.chictr.org.cn/showproj.aspx?proj=49145
37,ChiCTR2000029606,ChiCTR,2020-02-07,2020-01-25,True,Recruiting,Not Applicable,Interventional,China,Clinical Study for Human Menstrual Blood-Derived Stem Cells in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),63,http://www.chictr.org.cn/showproj.aspx?proj=49146
38,ChiCTR2000029603,ChiCTR,2020-02-06,2020-02-06,False,Recruiting,Not Applicable,Interventional,China,"A Randomized, Open-Label, Multi-Centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Novel Coronavirus Pneumonia (COVID-19)",160,http://www.chictr.org.cn/showproj.aspx?proj=49075
39,ChiCTR2000029602,ChiCTR,2020-02-06,2020-02-01,True,Recruiting,Not Applicable,Interventional,China,Clinical study for community based prevention and control strategy of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population,600,http://www.chictr.org.cn/showproj.aspx?proj=48985
40,ChiCTR2000029601,ChiCTR,2020-02-06,2020-02-01,True,Recruiting,Not Applicable,Interventional,China,Community based prevention and control for Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population,400,http://www.chictr.org.cn/showproj.aspx?proj=48988
41,ChiCTR2000029600,ChiCTR,2020-02-06,2020-01-30,True,Recruiting,Not Applicable,Interventional,China,Clinical study for safety and efficacy of Favipiravir in the treatment of novel coronavirus pneumonia (COVID-19),90,http://www.chictr.org.cn/showproj.aspx?proj=49042
42,ChiCTR2000029578,ChiCTR,2020-02-05,2020-02-06,False,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19): a perspective, sing-arm trial",1000,http://www.chictr.org.cn/showproj.aspx?proj=49080
43,ChiCTR2000029559,ChiCTR,2020-02-04,2020-01-31,True,Recruiting,Phase 4,Interventional,China,Therapeutic effect of hydroxychloroquine on novel coronavirus pneumonia (COVID-19),300,http://www.chictr.org.cn/showproj.aspx?proj=48880
44,ChiCTR2000029558,ChiCTR,2020-02-04,2020-01-29,True,Recruiting,Not Applicable,Interventional,China,Recommendations of Integrated Traditional Chinese and Western Medicine for Diagnosis and Treatment of Novel Coronavirus Pneumonia (COVID-19) in Sichuan Province,200,http://www.chictr.org.cn/showproj.aspx?proj=48792
45,ChiCTR2000029548,ChiCTR,2020-02-04,2020-02-04,False,Not Recruiting,Not Applicable,Interventional,China,"Randomized, open-label, controlled trial for evaluating of the efficacy and safety of Baloxavir Marboxil, Favipiravir, and Lopinavir-Ritonavir in the treatment of novel coronavirus pneumonia (COVID-19) patients",30,http://www.chictr.org.cn/showproj.aspx?proj=49015
46,ChiCTR2000029544,ChiCTR,2020-02-03,2020-02-04,False,Not Recruiting,Not Applicable,Interventional,China,"A randomized controlled trial for the efficacy and safety of Baloxavir Marboxil, Favipiravir tablets in novel coronavirus pneumonia (COVID-19) patients who are still positive on virus detection under the current antiviral therapy",30,http://www.chictr.org.cn/showproj.aspx?proj=49013
47,ChiCTR2000029542,ChiCTR,2020-02-03,2020-02-03,False,Recruiting,Phase 4,Interventional,China,Study for the efficacy of chloroquine in patients with novel coronavirus pneumonia (COVID-19),20,http://www.chictr.org.cn/showproj.aspx?proj=48968
48,ChiCTR2000029541,ChiCTR,2020-02-03,2020-02-10,False,Not Recruiting,Not Applicable,Interventional,China,"A randomised, open, controlled trial for darunavir/cobicistat or Lopinavir/ritonavir combined with thymosin a1 in the treatment of novel coronavirus pneumonia (COVID-19)",100,http://www.chictr.org.cn/showproj.aspx?proj=48992
49,ChiCTR2000029539,ChiCTR,2020-02-03,2020-02-04,False,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label study to evaluate the efficacy and safety of Lopinavir-Ritonavir in patients with mild novel coronavirus pneumonia (COVID-19)",328,http://www.chictr.org.cn/showproj.aspx?proj=48991
50,ChiCTR2000029518,ChiCTR,2020-02-03,2020-02-04,False,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19): a perspective, double-blind, placebo, randomised controlled trial",140,http://www.chictr.org.cn/showproj.aspx?proj=48860
51,ChiCTR2000029517,ChiCTR,2020-02-03,2020-02-04,False,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for suspected novel coronavirus pneumonia (COVID-19): a perspective, double-blind, placebo, randomised controlled trial",100,http://www.chictr.org.cn/showproj.aspx?proj=48861
52,ChiCTR2000029495,ChiCTR,2020-02-02,2020-02-03,False,Not Recruiting,Not Applicable,Interventional,China,"Traditional Chinese Medicine, Psychological Intervention and Investigation of Mental Health for Patients With Novel Coronavirus Pneumonia (COVID-19) in Convalescent Period",90,http://www.chictr.org.cn/showproj.aspx?proj=48971
53,ChiCTR2000029493,ChiCTR,2020-02-02,2020-02-03,False,Not Recruiting,Not Applicable,Interventional,China,"Traditional Chinese Medicine for Pulmonary Fibrosis, Pulmonary Function and Quality of Life in Patients With Novel Coronavirus Pneumonia (COVID-19) in Convalescent Period: a Randomized Controlled Trial",100,http://www.chictr.org.cn/showproj.aspx?proj=48931
54,ChiCTR2000029487,ChiCTR,2020-02-02,2020-02-10,False,Not Recruiting,Not Applicable,Prevention,China,Clinical Study for Gu-Biao Jie-Du-Ling in Preventing of Novel Coronavirus Pneumonia (COVID-19) in Children,200,http://www.chictr.org.cn/showproj.aspx?proj=48965
55,ChiCTR2000029468,ChiCTR,2020-02-02,2020-02-01,True,Not Recruiting,Not Applicable,Interventional,China,A real-world  study for lopinavir/ritonavir (LPV/r) and emtritabine (FTC) / Tenofovir alafenamide Fumarate tablets (TAF) regimen in the treatment of novel coronavirus pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=48919
56,ChiCTR2000029461,ChiCTR,2020-02-02,2020-02-03,False,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Integrated Traditional Chinese Medicine and Western Medicine in the Treatment of Common Type Novel Coronavirus Pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=48927
57,ChiCTR2000029460,ChiCTR,2020-02-02,2020-02-02,False,Not Recruiting,Not Applicable,Interventional,China,The effect of shadowboxing for pulmonary function and quality of life in patients with novel coronavirus pneumonia (COVID-19) in rehabilitation period,100,http://www.chictr.org.cn/showproj.aspx?proj=48930
58,ChiCTR2000029459,ChiCTR,2020-02-02,2020-02-03,False,Not Recruiting,Not Applicable,Interventional,China,The effect of pulmonary rehabilitation for pulmonary function and quality of life in patients with novel coronavirus pneumonia (COVID-19) in rehabilitation period,100,http://www.chictr.org.cn/showproj.aspx?proj=48929
59,ChiCTR2000029439,ChiCTR,2020-02-01,2020-02-02,False,Not Recruiting,Not Applicable,Interventional,China,Combination of traditional Chinese medicine and western medicine in the treatment of common type novel coronavirus pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=48904
60,ChiCTR2000029438,ChiCTR,2020-02-01,2020-02-04,False,Not Recruiting,Phase 4,Interventional,China,A randomized controlled trial of integrated TCM and Western Medicine in the treatment of severe novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=48911
61,ChiCTR2000029436,ChiCTR,2020-02-01,2020-02-01,False,Not Recruiting,Not Applicable,Interventional,China,A single arm study for evaluation of integrated traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=48884
62,ChiCTR2000029435,ChiCTR,2020-02-01,2020-02-01,False,Not Recruiting,Not Applicable,Interventional,China,Randomized controlled trial for traditional Chinese medicine in the prevention of novel coronavirus pneumonia (COVID-19) in high risk population,120,http://www.chictr.org.cn/showproj.aspx?proj=48827
63,ChiCTR2000029432,ChiCTR,2020-02-01,2020-02-01,False,Not Recruiting,Phase 4,Interventional,China,A Real World Study for the Efficacy and Safety of Large Dose Tanreqing Injection in the Treatment of Patients with Novel Coronavirus Pneumonia (COVID-19),72,http://www.chictr.org.cn/showproj.aspx?proj=48881
64,ChiCTR2000029431,ChiCTR,2020-02-01,2020-01-29,True,Recruiting,Not Applicable,Interventional,China,Clinical study for the remedy of M1 macrophages target in the treatment of novel coronavirus pneumonia (COVID-19),45,http://www.chictr.org.cn/showproj.aspx?proj=48907
65,ChiCTR2000029418,ChiCTR,2020-01-30,2020-02-03,False,Recruiting,Not Applicable,Interventional,China,Chinese Herbal medicine for Severe nevel coronavirus pneumonia (COVID-19): a Randomized Controlled Trial,42,http://www.chictr.org.cn/showproj.aspx?proj=48886
66,ChiCTR2000029400,ChiCTR,2020-01-29,2020-01-29,False,Recruiting,Not Applicable,Interventional,China,Clinical Controlled Trial for Traditional Chinese Medicine in the treatment of Novel Coronavirus Pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=48824
67,ChiCTR2000029381,ChiCTR,2020-01-27,2020-01-24,True,Not Recruiting,Phase 4,Interventional,China,A prospective comparative study for Xue-Bi-Jing injection in the treatment of novel coronavirus pneumonia (COVID-19),400,http://www.chictr.org.cn/showproj.aspx?proj=48768
68,IRCT20190809044488N1,IRCT,2020-01-13,2019-09-07,True,Recruiting,Phase 3,Interventional,Iran,"Effects of using Forced Hot air system on physiological parameters, waking time and arterial blood gases in patients undergoing coronary artery bypass grafting surgery",102,http://en.irct.ir/trial/41571
69,ChiCTR2000030188,ChiCTR,2020-02-24,2020-02-15,True,Recruiting,Not Applicable,Interventional,China,Clinical Study on Syndrome Differentiation of TCM in Treating Severe and Critical novel coronavirus pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=50025
70,ChiCTR2000030179,ChiCTR,2020-02-24,2020-02-24,False,Recruiting,Not Applicable,Interventional,China,Experimental study of novel coronavirus pneumonia rehabilitation plasma therapy severe novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=50059
71,ChiCTR2000030173,ChiCTR,2020-02-24,2020-02-17,True,Not Recruiting,Not Applicable,Interventional,China,Key techniques of umbilical cord mesenchymal stem cells for the treatment of novel coronavirus pneumonia (COVID-19) and clinical application demonstration,60,http://www.chictr.org.cn/showproj.aspx?proj=49229
72,ChiCTR2000030170,ChiCTR,2020-02-24,2020-02-15,True,Recruiting,Not Applicable,Interventional,China,Study for safety and efficacy of Jakotinib hydrochloride tablets in the treatment severe and acute exacerbation patients of novel coronavirus pneumonia (COVID-19),16,http://www.chictr.org.cn/showproj.aspx?proj=50017
73,ChiCTR2000030167,ChiCTR,2020-02-24,2020-03-02,False,Not Recruiting,Not Applicable,Interventional,China,Clinical Trial for Recombinant Human Interleukin-2 in the Treatment of Novel Coronavirus Pneumonia (COVID-19),80,http://www.chictr.org.cn/showproj.aspx?proj=49567
74,ChiCTR2000030166,ChiCTR,2020-02-24,2020-02-25,False,Not Recruiting,Not Applicable,Interventional,China,"Randomized, parallel control, open trial for Qing-Wen Bai-Du-Yin combined with antiviral therapy in the treatment of novel coronavirus pneumonia (COVID-19)",20,http://www.chictr.org.cn/showproj.aspx?proj=49696
75,ChiCTR2000030165,ChiCTR,2020-02-24,2020-02-24,False,Recruiting,Not Applicable,Interventional,China,Clinical study for ozonated autohemotherapy in the treatment of Novel Coronavirus Pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=49947
76,ChiCTR2000030138,ChiCTR,2020-02-24,2020-02-24,False,Not Recruiting,Phase 2,Interventional,China,Clinical Trial for Human Mesenchymal Stem Cells in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=50004
77,ChiCTR2000030136,ChiCTR,2020-02-24,2020-02-24,False,Not Recruiting,Not Applicable,Interventional,China,Humanistic Care in Patients With Novel Coronavirus Pneumonia (COVID-19),130,http://www.chictr.org.cn/showproj.aspx?proj=50005
78,ChiCTR2000030118,ChiCTR,2020-02-23,2020-02-24,False,Not Recruiting,Not Applicable,Interventional,China,A clinical study for ''Huo-Shen'' particles in the treatment of novel coronavirus pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=49594
79,ChiCTR2000030117,ChiCTR,2020-02-23,2020-02-15,True,Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, open, parallel controlled trial for the evaluation of the effectiveness and safety of Xiyanping injection in the treatment of common type novel coronavirus pneumonia (COVID-19)",348,http://www.chictr.org.cn/showproj.aspx?proj=49762
80,ChiCTR2000030116,ChiCTR,2020-02-23,2020-02-01,True,Recruiting,Not Applicable,Interventional,China,Safety and effectiveness of human umbilical cord mesenchymal stem cells in the treatment of acute respiratory distress syndrome of severe novel coronavirus pneumonia (COVID-19),16,http://www.chictr.org.cn/showproj.aspx?proj=49901
81,ChiCTR2000030113,ChiCTR,2020-02-23,2020-02-22,True,Recruiting,Not Applicable,Interventional,No Country Given,Randomized controlled trial for safety and efficacy of Favipiravir in the treatment of novel coronavirus pneumonia (COVID-19) with poorly responsive ritonavir/ritonavir,30,http://www.chictr.org.cn/showproj.aspx?proj=49988
82,ChiCTR2000030102,ChiCTR,2020-02-23,2020-02-24,False,Recruiting,Not Applicable,Interventional,China,A multicenter randomized controlled trial for ozone autohemotherapy in the treatment of novel coronavirus pneumonia (COVID-19),180,http://www.chictr.org.cn/showproj.aspx?proj=49747
83,ChiCTR2000030093,ChiCTR,2020-02-23,2020-03-01,False,Not Recruiting,Not Applicable,Interventional,China,Study for application of simplified cognitive-behavioral therapy for related emergency psychological stress reaction of medical providers working in the position of treatment and control of novel coronavirus pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=49932
84,ChiCTR2000030090,ChiCTR,2020-02-22,2020-02-22,False,Not Recruiting,Not Applicable,Interventional,China,A Prospective Randomized Controlled Trial for Home Exercise Prescription Intervention During Epidemic of Novel Coronary Pneumonia (COVID-19) in College Students,400,http://www.chictr.org.cn/showproj.aspx?proj=49910
85,ChiCTR2000030089,ChiCTR,2020-02-22,2020-02-28,False,Not Recruiting,Phase 4,Interventional,China,A clinical study for the efficacy and safety of Adalimumab Injection in the treatment of patients with severe novel coronavirus pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=49889
86,ChiCTR2000030088,ChiCTR,2020-02-22,2020-03-01,False,Not Recruiting,Not Applicable,Interventional,China,Umbilical cord Wharton's Jelly derived mesenchymal stem cells in the treatment of severe novel coronavirus pneumonia (COVID-19),40,http://www.chictr.org.cn/showproj.aspx?proj=49902
87,ChiCTR2000030084,ChiCTR,2020-02-22,2020-02-24,False,Recruiting,Not Applicable,Interventional,China,A multicenter study for efficacy of intelligent psychosomatic adjustment system intervention in the treatment of novel coronavirus pneumonia (COVID-19) patients with mild to moderate anxiety and depression,180,http://www.chictr.org.cn/showproj.aspx?proj=49952
88,ChiCTR2000030058,ChiCTR,2020-02-22,2020-03-10,False,Not Recruiting,Phase 3,Interventional,China,"A multicenter, randomized, double-blind, controlled clinical trial for leflunomide in the treatment of novel coronavirus pneumonia (COVID-19)",200,http://www.chictr.org.cn/showproj.aspx?proj=49831
89,ChiCTR2000030054,ChiCTR,2020-02-22,2020-02-22,False,Not Recruiting,Not Applicable,Interventional,China,"A prospective, open label, randomized, control trial for chloroquine or hydroxychloroquine in patients with mild and common novel coronavirus pulmonary (COVIP-19)",100,http://www.chictr.org.cn/showproj.aspx?proj=49869
90,ChiCTR2000030046,ChiCTR,2020-02-21,2020-02-07,True,Recruiting,Not Applicable,Interventional,China,A single arm trial to evaluate the efficacy and safety of anti-2019-nCoV inactivated convalescent plasma in the treatment of novel coronavirus pneumonia patient (COVID-19),10,http://www.chictr.org.cn/showproj.aspx?proj=49861
91,ChiCTR2000030043,ChiCTR,2020-02-21,2020-02-21,False,Not Recruiting,Phase 4,Interventional,China,"Shen-Fu injection in the treatment of severe novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial",300,http://www.chictr.org.cn/showproj.aspx?proj=49866
92,ChiCTR2000030041,ChiCTR,2020-02-21,2020-02-25,False,Not Recruiting,Not Applicable,Interventional,China,"A single-arm, single-center clinical trial for Azivudine tablets in the treatment of adult novel coronavirus pneumonia (COVID-19)",40,http://www.chictr.org.cn/showproj.aspx?proj=49891
93,ChiCTR2000030039,ChiCTR,2020-02-21,2020-05-31,False,Recruiting,Not Applicable,Interventional,China,Clinical study for infusing convalescent plasma to treat patients with new coronavirus pneumonia (COVID-19),90,http://www.chictr.org.cn/showproj.aspx?proj=49544
94,ChiCTR2000030034,ChiCTR,2020-02-21,2020-02-07,True,Recruiting,Not Applicable,Interventional,China,"Traditional Chinese Medicine in the treatment of novel coronavirus pneumonia (COVID-19): a multicentre, randomized controlled trial",132,http://www.chictr.org.cn/showproj.aspx?proj=49647
95,ChiCTR2000030033,ChiCTR,2020-02-21,2020-02-24,False,Not Recruiting,Not Applicable,Interventional,China,A study for the intervention of Xiangxue antiviral oral solution and Wu-Zhi-Fang-Guan-Fang on close contacts of novel coronavirus pneumonia (COVID-19),828,http://www.chictr.org.cn/showproj.aspx?proj=49703
