ISRCTN,Basic results,Peer-reviewed publications,Overall trial start,Overall trial end,Record last updated,Overall trial status,Recruitment status,EudraCT number,ClinicalTrials.gov number
ISRCTN99890480,,,20/01/2022,17/03/2023,01/04/2022,Ongoing,Recruiting,2022-000063-51,Nil known
ISRCTN18110929,,,01/04/2021,01/12/2022,23/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN13980767,,,01/12/2021,31/03/2023,10/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12834758,,,10/04/2019,28/10/2022,01/04/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN47074508,,,08/12/2021,01/12/2022,17/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN14141535,,,01/01/2019,01/12/2026,17/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN92095509,,,30/08/2018,15/10/2021,01/04/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN17290015,,,01/01/2019,01/04/2023,04/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN15475780,,,11/11/2018,15/10/2022,15/03/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN86084138,,,01/12/2019,31/12/2023,16/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16735844,,,06/05/2021,24/04/2022,18/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN76852032,,,17/06/2020,17/06/2021,28/03/2022,Completed,No longer recruiting,Nil known,
ISRCTN12374636,,,01/02/2022,01/05/2024,15/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN17178640,,,04/10/2021,01/12/2022,14/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN88614460,,,24/03/2021,15/07/2023,01/04/2022,Ongoing,Recruiting,Nil Known,Nil known
ISRCTN10208787,,,01/09/2018,31/05/2021,15/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN15573664,,,08/07/2021,30/07/2023,15/03/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN12174271,,,08/12/2021,15/08/2022,15/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN85858267,,,01/11/2021,31/10/2022,14/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN18398037,,,06/08/2020,01/03/2024,14/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN32414369,,,01/09/2021,30/06/2024,14/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN12016140,,,01/08/2018,31/08/2022,14/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN50278774,,,01/07/2020,30/06/2022,14/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16569242,,,01/09/2021,17/10/2022,22/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN68038781,,,01/04/2020,31/12/2025,10/03/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN11043249,,,01/10/2021,31/01/2024,11/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN12024347,,2021 Results article in https://pubmed.ncbi.nlm.nih.gov/34205403/ (added 10/03/2022) 2022 Thesis results in https://www.tdx.cat/handle/10803/673023?locale-attribute=en (added 10/03/2022),27/09/2018,30/09/2020,11/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN62225263,,,05/01/2022,01/05/2025,11/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN46750688,,,05/01/2021,30/09/2022,07/03/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN11460734,,,13/07/2021,23/12/2022,10/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN15750433,,,12/01/2021,31/10/2026,10/03/2022,Ongoing,Recruiting,2021-001975-17,Nil known
ISRCTN14984568,,,15/02/2022,29/11/2022,30/03/2022,Deferred,Recruiting,2021-006855-33,Nil known
ISRCTN74447767,,,01/06/2020,25/09/2021,10/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN70247820,,,14/01/2022,31/05/2027,01/04/2022,Ongoing,Not yet recruiting,2021-004908-18,NCT05085028
ISRCTN73702156,,,01/09/2019,31/03/2024,10/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12809537,,,22/09/2021,31/12/2023,09/03/2022,Ongoing,Recruiting,2021-004561-12,Nil known
ISRCTN58683340,,,01/09/2020,31/12/2024,08/03/2022,Ongoing,Recruiting,Nil Known,Nil known
ISRCTN23303832,,,18/08/2021,30/06/2022,08/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN10095215,,,01/06/2017,01/04/2023,09/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN49307616,,,01/05/2021,01/10/2024,09/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN51059297,,,18/01/2022,15/04/2022,09/03/2022,Ongoing,Recruiting,2021-006502-76,Nil known
ISRCTN52169163,,,04/02/2022,17/05/2022,09/03/2022,Ongoing,Recruiting,2022-000181-18,Nil known
ISRCTN60263108,,,01/01/2019,15/10/2021,09/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN44123892,,,12/01/2022,30/09/2023,01/04/2022,Ongoing,Recruiting,2021-003543-16,Nil known
ISRCTN17095383,,,01/09/2016,15/09/2021,08/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN15227371,,,01/09/2021,01/06/2023,08/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN13249715,,,01/01/2021,30/03/2024,08/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN17018939,,,01/02/2021,01/02/2023,01/04/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN71978064,,,01/12/2019,01/12/2024,07/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN53055824,,,01/02/2022,30/12/2025,11/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN59074092,,,01/05/2017,31/07/2024,07/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN10584414,,,17/12/2015,13/03/2020,07/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN12669009,,,01/02/2020,30/09/2025,04/03/2022,Ongoing,Recruiting,2020-003346-36,Nil known
ISRCTN72662721,,,01/01/2019,16/08/2029,07/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN48897533,,,07/01/2022,16/12/2022,01/04/2022,Ongoing,Recruiting,2020-005805-25,NCT04853368
ISRCTN16578656,,,03/12/2021,20/02/2022,07/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN12506329,,,14/06/2016,01/01/2018,04/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN41243307,,,01/09/2015,01/03/2020,04/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN58479805,,,01/11/2021,30/12/2022,04/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN13950775,,,01/01/2021,30/06/2023,04/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16783200,,,27/01/2021,27/01/2025,01/04/2022,Ongoing,Not yet recruiting,Nil known,NCT05127057
ISRCTN16003237,,,01/10/2021,30/09/2023,04/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16270209,,,20/08/2021,31/03/2023,25/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN13489936,,,01/03/2019,01/04/2023,04/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12377415,,,01/11/2020,30/07/2024,04/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN11807724,,,30/11/2021,29/11/2023,01/04/2022,Ongoing,Recruiting,,Nil known
ISRCTN48548060,,,01/01/2022,01/12/2022,03/03/2022,Ongoing,Not yet recruiting,Nil known,Nil Known
ISRCTN47717032,,,11/11/2019,30/06/2023,03/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN39867491,,,15/09/2021,01/07/2022,03/03/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN16800746,,,01/09/2021,31/03/2023,02/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN17138124,,,01/07/2020,30/06/2022,03/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN61613198,,,01/10/2021,01/10/2022,03/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN38227785,,,01/02/2020,20/06/2022,01/04/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN72529591,,,01/08/2020,01/01/2023,02/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12414966,,,25/01/2022,23/07/2022,02/03/2022,Deferred,Recruiting,2021-004584-27,Nil known
ISRCTN42835524,,,25/01/2022,16/12/2022,31/03/2022,Deferred,Recruiting,2021-006715-28,Nil known
ISRCTN17008820,,,01/06/2019,01/09/2024,02/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN58374617,,,05/09/2014,13/06/2017,02/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN15261686,,,01/10/2021,31/08/2023,02/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN10234623,,,01/12/2019,31/05/2023,02/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN13113768,,,01/06/2021,20/06/2023,01/04/2022,Ongoing,Recruiting,2021-003904-42,NCT05001022
ISRCTN14509154,,,10/01/2021,01/06/2024,01/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN17771283,,,28/01/2019,01/06/2024,01/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN18000119,,,01/03/2022,31/05/2024,23/02/2022,Ongoing,Not yet recruiting,,Nil known
ISRCTN31154845,,2019 Protocol article in https://doi.org/10.1007/978-3-030-35888-4_45 (added 14/02/2022),28/06/2018,27/06/2022,15/02/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN12918583,,,01/06/2021,31/12/2023,25/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN36514547,,,01/08/2018,31/03/2021,28/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN92142233,,,01/01/2011,12/07/2016,28/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN12048782,,,01/10/2021,30/06/2024,28/02/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN25027558,,,01/01/2018,01/05/2021,25/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN93153882,,,23/12/2021,31/12/2024,25/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN50658447,,,15/10/2019,31/07/2022,28/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN57579163,,,12/10/2020,01/02/2023,02/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN27493194,,,27/08/2021,01/03/2025,28/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN24120533,,,17/10/2019,20/03/2020,25/02/2022,Completed,No longer recruiting,2019-003748-55,Nil known
ISRCTN15449782,,,18/02/2022,31/08/2024,08/03/2022,Ongoing,Not yet recruiting,2022-000524-38,Nil known
ISRCTN15558617,,,01/01/2021,31/05/2024,24/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN15404076,,,15/07/2021,31/12/2022,24/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN18335255,,,01/10/2021,30/09/2024,24/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16155799,,,05/10/2020,30/07/2023,24/02/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN12101415,,,20/05/2020,01/06/2024,24/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16167828,,,22/08/2019,31/07/2024,24/02/2022,Ongoing,Not yet recruiting,2021-003171-34,Nil known
ISRCTN16900055,,,01/09/2021,30/04/2026,24/02/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN16917807,,,01/05/2021,31/10/2022,18/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN48721236,,,29/04/2021,30/10/2026,24/02/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN96689284,,,01/10/2021,30/06/2024,24/02/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN15448006,,,04/11/2021,01/10/2022,24/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN14462472,,,08/11/2021,08/11/2023,22/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN17748514,,,08/02/2020,03/09/2021,17/02/2022,Completed,No longer recruiting,2020‐004423‐17,Nil known
ISRCTN10070371,,,01/09/2021,30/06/2022,23/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN13160409,,,01/01/2022,30/06/2023,23/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN48221972,,,06/12/2021,31/07/2022,10/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN17004671,,,01/08/2020,31/07/2028,22/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN10502178,,,03/09/2019,04/07/2021,15/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN13334317,,,19/03/2019,31/12/2022,22/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN34281561,,,01/05/2021,28/02/2023,21/02/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN16596056,,,26/01/2022,31/12/2022,18/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN70402110,,,01/06/2020,31/12/2022,02/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12290106,,,06/01/2022,01/02/2024,02/03/2022,Ongoing,Recruiting,2021-006004-32,Nil known
ISRCTN14905838,,,03/11/2021,01/03/2024,18/02/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN76538898,,,01/10/2018,31/12/2021,17/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN17782574,,,01/05/2005,20/06/2012,18/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN10043222,,,01/08/2019,31/12/2020,16/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN35313497,,,02/08/2021,30/04/2023,14/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN18308962,,,01/03/2021,28/02/2025,18/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN11705129,,,01/04/2021,31/12/2022,04/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN11868601,,,01/07/2021,30/04/2022,18/02/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN33966032,,,02/08/2021,04/04/2025,18/02/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN16137374,,,25/01/2021,30/09/2025,18/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN74448884,,,01/01/2021,31/12/2026,15/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN10601888,,,30/03/2020,01/10/2022,14/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN19841416,,,25/09/2020,01/06/2022,17/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN14332797,,,07/06/2021,01/09/2025,17/02/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN18159882,,,09/03/2021,28/02/2023,17/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN29409638,,,12/07/2021,19/07/2022,11/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12817871,,,16/08/2021,30/12/2023,16/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN10761529,,,06/08/2021,30/07/2023,16/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12012144,,,01/09/2019,31/12/2020,14/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN47543844,,,03/10/2020,18/01/2022,17/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN30715190,,,01/05/2021,31/07/2022,18/01/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN14131034,,,01/03/2021,30/06/2023,21/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16717773,,,01/10/2020,31/12/2024,16/02/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN11964494,,,01/02/2021,01/09/2023,14/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN36251388,,,30/03/2020,30/09/2025,15/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12002764,,,01/11/2020,01/07/2023,15/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN81548172,,,15/01/2016,20/12/2016,15/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN15525627,,,01/12/2020,31/05/2023,11/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN93567471,,,01/01/2020,01/02/2022,01/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN12273006,,,17/12/2019,01/07/2021,25/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN95197731,,,01/06/2017,28/10/2019,15/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN13047154,,,16/04/2021,01/09/2023,02/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN32122610,,,15/12/2021,30/08/2022,22/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN13396729,,,01/10/2021,31/10/2022,14/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16988099,,,15/04/2021,31/03/2022,08/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN15485902,,,01/06/2021,31/12/2024,14/02/2022,Ongoing,Recruiting,2021-003259-41,Nil known
ISRCTN23355755,,,05/12/2020,15/06/2021,11/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN28497350,,,21/12/2021,31/01/2024,22/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN14066634,,,17/03/2020,01/03/2024,11/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN63295298,,,02/11/2021,19/07/2022,10/02/2022,Ongoing,Recruiting,2021-004128-13,Nil known
ISRCTN12638817,,,10/04/2020,01/11/2027,11/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN52512550,,,01/11/2021,03/01/2022,11/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN18259923,,2020 Protocol article in https://pubmed.ncbi.nlm.nih.gov/32429332/ (added 11/02/2022),01/02/2018,30/09/2019,11/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN18989217,,,01/11/2021,01/11/2022,10/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16104700,,,01/01/2010,30/06/2020,09/02/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN91104012,,,12/01/2022,31/12/2024,14/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN26117790,,,01/07/2019,31/01/2024,10/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN14809884,,,01/01/2021,28/02/2023,10/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN10771059,,,05/10/2020,31/03/2023,10/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16299220,,,01/07/2021,30/04/2025,10/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN58752772,,,13/02/2019,31/01/2025,09/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16073754,,,26/10/2021,05/08/2022,07/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN11762670,,,01/01/2020,01/09/2023,09/02/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN14650457,,,31/10/2019,31/07/2022,09/02/2022,Ongoing,No longer recruiting,Nil known,Nil known
