,trial_id,trial_status,comp_date,last_updated,emails,results
10,RPCEC00000316,Complete,03/09/2020,30/03/2022,"['mcarmen.reyes@biocen.cu', 'insnef@infomed.sld.cu        \n\n                    nefro@hha.sld.cu', 'scnefro@infomed.sld.cu']","1. Romero N, Pêrez P, Pérez J, Pérez K, Reyes J, Rodríguez A. Causas de enfermedad renal entre los pacientes de una unidad de hemodiálisis. Rev cub urología;2019;8(1). Disponible en: http://revurologia.sld.cu/index.php/rcu/article/view/461/498
 2. Hill NR, Fatoba ST, Oke JL, Hirst JA, O’Callaghan CA, Lasserson DS, et al. Global Prevalence of Chronic Kidney Disease - A stematic Review and Meta-Analysis. PloS One [Internet]. 2016 [cited 04/11/2018]; 11(7). Available from: Available from: https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158765
3. Ayodele O. E, Alebiosu C.O Burden of Chronic Kidney Disease:  An International Perspective J. Advan Chron Kid Dis, 2010; 17: 3, 215-224.
4.  Sosa N , Polo RA, Mendez SN, Sosa M. Caracterización de pacientes con enfermedad renal crónica en tratamiento de hemodiálisis. Medisur. 2016;14(4). Disponible en : http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2016000400006
5. Pérez-Oliva DJF, Almaguer LM, Herrera VR, et al. Comportamiento de la Enfermedad Renal Crónica en la Atención Primaria de Salud. Cuba, 2017. Revista Habanera de Ciencias Médicas. 2018;17(6):1009-1021.
6. Almaguer M, Herrera R, Perez-Oliva JF. Epidemia global de enfermedades vasculares crónicas. Un nuevo paradigma y desafio. Rev Hab C. Médicas.2007; 6: 3.
7. Herrera Valdés R, Almaguer López M, Chipi Cabrera JA, Pérez-Oliva Díaz JF, Landrove Rodríguez O, Mármol Sóñora A. Prevalence and incidence of chronic kidney disease in Cuba. Clin Nephrol. 2019 Sep 24. doi: 10.5414/CNP92S111.
8. Chronic Kidney Disease in the Developing Word. An Iceberg Turned Volcano. Editorial MEDICC. 2005; 7(5): 1-2.
9. Enfermedad renal crónica Cuba 2012: registro cubano de nefrología y terapia renal de reemplazo. http://www.infomed.sld.cu/sitios.
10. Cruz Ma A, Furones JA, Medina Y, de la Fuente I,  Pérez L, Díaz Y.  Eventos adversos observados años después del tratamiento con factor de transferencia. Rev Cubana de Salud Pública 2012; 38(4): 502-10."
11,RPCEC00000317,Pending,29/06/2020,14/09/2020,"['idania.baladron@cigb.edu.cu', 'lrosarioc@infomed.sld.cu', 'silvio.perea@cigb.edu.cu']",No procede
12,RPCEC00000318,Recruiting,14/08/2020,14/09/2020,"['daniel@ipk.sld.cu', 'pereda.gonzalez@infomed.sld.cu']","1)	Rothan HA, Byrareddy SN. The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. J Autoimmun. 2020 May; 109:102433. doi: 10.1016/ j.jaut.2020.102433.
2)	Zhou Q, Chen V, Shannon CP, Wei XS, Xiang X, Xu W, Wang ZH, Tebbutt SJ,. Kollmann TR, Fish EN. Interferon-α2b treatment for COVID-19. Frontiers Immunol. 2020. 11:1-6 doi: 10.3389/fimmu.2020.01061.
3)	Jean S-S et al., Treatment options for COVID-19: The reality and challenges, Journal of Microbiology, Immunology and Infection, https://doi.org/10.1016/j.jmii.2020.03.034.
4)	Kujawski SA,Wong K, Collins JP, et al. First 12 patients with coronavirus disease 2019 (COVID-19) in the United States. medRxiv. Preprint posted March 9, 2020. doi: 10.1101/2020.03.09.20032896.
5)	Sanders JM; Monogue ML, Jodlowski TZ, Cutrell JB. Pharmacologic Treatments for Coronavirus Disease 2019 (COVID-19) A Review. JAMA. 2020; 323(18):1824-1836. doi:10.1001/jama.2020.6019.
6)	World Health Organization. (‎2020)‎. Clinical management of severe acute respiratory infection when novel coronavirus (‎‎‎‎‎‎2019-nCoV)‎‎‎‎‎‎ infection is suspected: interim guidance, 28 January 2020. World Health Organization. https://apps.who.int/iris/handle/10665/330893.
7)	Qiu T, Liang S, Dabbous M, Wang Y, Han R, Toumi M. Chinese Guidelines Related to Novel Coronavirus Pneumonia. Preprints 2020, 2020040207 (doi: 10.20944/preprints202004.0207.v1). 
8)	Nodarse-Cuni H, Lopez-Saura P. Cuban interferon alpha-2b. Thirty years as an effective and safe drug. Biotecnol Apl, ene.-mar. 2017, vol.34, no.1, p.1211-1217. ISSN 1027-2852.
9)	Infomed, Portal of the Cuban Health Network. (w.d.). Cuban Protocol against COVID 19. Ministry of Public Health. https://instituciones.sld.cu/facultadfinlayalbarran/protocolo-cuba-vs-covid-4-4-2020."
13,RPCEC00000319,Complete,18/06/2020,14/09/2020,"['mcarmen.reyes@biocen.cu', 'viceamcited@infomed.sld.cu', 'cited@infomed.sld.cu']","1. Nations U. Report of the Second World Assembly on Ageing.  United Nations publication http://www.un.org/en/ga/search/view_doc.asp?symbol=A/CONF.197/92002.
 2. Acosta LF. Mejoran los indicadores de salud y crece la esperanza de vida. In: Granma ndp, revisado en revisado en: http://www.granma.cu/todo-salud/2017-12-29/mejoran-los-indicadores-de-salud-y-crece-la-esperanza-de-vida-29-12-2017-00-12-01, editor. La Habana: Granma; 2017.
3.  Cano MdCA. Population aging in Cuba, from the prism of social epidemiology and ethics Anales de la Academia de Ciencias de Cuba. 2016;Vol.6(No.2).
4.  Cohen AA. Complex systems dynamics in aging: new evidence, continuing questions. Biogerontology. 2016 Feb;17(1):205-20.
5.  Fulop T, Larbi A. Biology of aging: Paving the way for healthy aging. Experimental gerontology. 2018 Jul 1;107:1-3.
6.  Pawelec G. T-cell immunity in the aging human. Haematologica. 2014 May;99(5):795-7.
7.  Fulop T, Larbi A, Kotb R, de Angelis F, Pawelec G. Aging, immunity, and cancer. Discovery medicine. 2011 Jun;11(61):537-50.
8.  Larbi A, Fulop T. From ""truly naive"" to ""exhausted senescent"" T cells: when markers predict functionality. Cytometry Part A : the journal of the International Society for Analytical Cytology. 2014 Jan;85(1):25-35.
9.  Weltevrede M, Eilers R, de Melker HE, van Baarle D. Cytomegalovirus persistence and T-cell immunosenescence in people aged fifty and older: A systematic review. Experimental gerontology. 2016 May;77:87-95.
10. Sauce D, Appay V. Altered thymic activity in early life: how does it affect the immune system in young adults? Current opinion in immunology. 2011 Aug;23(4):543-8."
14,RPCEC00000320,Pending,23/08/2020,14/09/2020,"['sallende@infomed.sld.cu', 'zullyt.zamora@cnic.edu.cu']","1. León O S, Menéndez S, Merino N, Castillo R, Sam S, Pérez L, Cruz E, Bocci V. Ozone oxidative preconditioning: a protection against cellular damage by free radicals. Mediators Inflamm. 1998, 7 (4): 289-294
2. León OS, Takon GO, López GC, Serrano EI, García FE.  Gamma Glutamil transferasa, un marcador de la eficacia clínica del ozono médico y su rol patológico en artritis reumatoide y la osteoartritis de rodilla. Revista Cubana de Reumatología. 2020, 22(1):e104.
3. Martinez G, Menendez S, Copello M, Diaz S, Re L. Rectal insufflation are valid way in ozone therapy. Revista Española de Ozonoterapia. 2012. 2(1):233-235.
4. Martínez Y, et al. Efecto del precondicionamiento oxidativo con ozono en el tiempo de sangrado y formación de trombo venoso en un modelo de choque séptico en ratas. Revista CENIC. Ciencias Biológicas, vol. 41, 2010.
5. Martinez-Sanchez G, Al-Dalain SM, Menendez S, et al. Therapeutic efficacy of ozone in patients with diabetic foot. Eur J Pharmacol. 2005 Oct 31;523(1-3):151-61
6. Mendez I y col. Ozonoterapia en el SIDA Rev Cubana Invest Biomed 2005;24(1):69-71
7. Menendez S, et al. Journal of Ozone Therapy, Vol.2, No.3, 2018: 1 / 26
8. Menéndez S, y col. Ozono. Aspectos básicos y aplicaciones clínicas. Editorial CENIC. ISBN 959-7145-06-5. Primera Edición 2008."
15,RPCEC00000321,Recruiting,30/08/2020,14/09/2020,"['verena.muzio@cigb.edu.cu', 'daniel@ipk.sld.cu', 'mcarmen.dominguez@cigb.edu.cu']","1. An altered peptide ligand corresponding to a novel epitope from heat-shock protein 60 induces regulatory T cells and suppresses pathogenic responses in an animal model of adjuvant induced arthritis. 2011. Autoimmunity; 44(6):471-482. MC Domínguez, N. Lorenzo, A. Barberá,Darrasse-Jeze G, MV Hernandez, AM Torres, I Hernandez, R Gil , D Klatzmann and G. Padrón. 
2. APL-1, an altered peptide ligand derived from human heat-shock protein 60, selectively induces apoptosis in activated CD4+CD25+ T cells from peripheral blood of rheumatoid arthritis patients. Barberá A, Lorenzo N, Garrido G, Mazola Y, Falcón V, Torres AM and MC Domínguez. International Immunopharmacology 2013;17 (4): 1075-1083. 
3. Therapeutic effect of two altered peptide ligands derived from the human heat shock protein 60 in experimental models of rheumatoid arthritis. Biotecnología Aplicada 2013;30:153-156. María del C Domínguez, Norailys Lorenzo, Ariana Barberá, Gabriel Padrón et al. 
4. A Peptide as Immunomodulator for the Treatment of Juvenile Idiopathic Arthritis. María del Carmen Domínguez, Noraylis Lorenzo and Dolores Cantera. Ann Rheum Dis 2014; 73:130 doi:10.1136/annrheumdis-2014. 
5. APL-1, an altered peptide ligand derived from human heat-shock protein 60, induces selective activation of nTreg which suppress CD4+ effector T cells from rheumatoid arthritis patients. Ariana Barberá, Noraylis Lorenzo, Peter van Kooten, Joel van Roon, Wilco de Jager, Dinorah Prada, Jorge Gómez, Gabriel Padrón, Willem van Eden, Femke Broere and María del Carmen Domínguez-Horta. Cell Stress and Chaperones. 2016; 21:735–744."
16,RPCEC00000322,Recruiting,15/12/2020,14/09/2020,"['ensayosihi@infomed.sld.cu', 'cmabraham@infomed.sld.cu']",No procede
17,RPCEC00000323,Recruiting,12/10/2020,19/08/2020,"['ensayosihi@infomed.sld.cu', 'cmabraham@infomed.sld.cu']",No procede
18,RPCEC00000330,Pending,30/09/2020,05/10/2020,"['hernandez.bernal@cigb.edu.cu', 'eduardoferat@me.com', '-']","1. An altered peptide ligand corresponding to a novel epitope from heat-shock protein 60 induces regulatory T cells and suppresses pathogenic responses in an animal model of adjuvant induced arthritis. 2011. Autoimmunity; 44(6):471-482. MC Domínguez, N. Lorenzo, A. Barberá,Darrasse-Jeze G, MV Hernandez, AM Torres, I Hernandez, R Gil , D Klatzmann and G. Padrón. 
2. APL-1, an altered peptide ligand derived from human heat-shock protein 60, selectively induces apoptosis in activated CD4+CD25+ T cells from peripheral blood of rheumatoid arthritis patients. Barberá A, Lorenzo N, Garrido G, Mazola Y, Falcón V, Torres AM and MC Domínguez. International Immunopharmacology 2013;17 (4): 1075-1083. 
3. Therapeutic effect of two altered peptide ligands derived from the human heat shock protein 60 in experimental models of rheumatoid arthritis. Biotecnología Aplicada 2013;30:153-156. María del C Domínguez, Norailys Lorenzo, Ariana Barberá, Gabriel Padrón et al. 
4. A Peptide as Immunomodulator for the Treatment of Juvenile Idiopathic Arthritis. María del Carmen Domínguez, Noraylis Lorenzo and Dolores Cantera. Ann Rheum Dis 2014; 73:130 doi:10.1136/annrheumdis-2014. 
5. APL-1, an altered peptide ligand derived from human heat-shock protein 60, induces selective activation of nTreg which suppress CD4+ effector T cells from rheumatoid arthritis patients. Ariana Barberá, Noraylis Lorenzo, Peter van Kooten, Joel van Roon, Wilco de Jager, Dinorah Prada, Jorge Gómez, Gabriel Padrón, Willem van Eden, Femke Broere and María del Carmen Domínguez-Horta. Cell Stress and Chaperones. 2016; 21:735–744."
19,RPCEC00000332,Recruiting,11/01/2021,12/10/2020,"['cenatox@infomed.sld.cu', 'bparedes@finlay.edu.cu', 'mcrodriguez@finlay.edu.cu']","1) World health Organization. Report of the WHO-China Joint Mission on Coronavirus Disease 2019 (COVID-19) [Internet]. 2020. Disponible en: h ttps://www.who.int/docs/default-source/coronaviruse/who-china-joint-mission-on-covid-19-final-report.pdf. 2) Global regulatory workshop on COVID-19 vaccine development. A virtual meeting, held under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA), convening experts from medicines regulatory authorities, the World Health Organisation (WHO) and the European Commission. 3) Refer to WHO Blueprint information: https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus/en/. As shown, multiple SARS-CoV-2 vaccine candidates use same/similar platforms as for the other vaccines for which there are established WHO guidance. 4) Corman Victor M, Landt Olfert, Kaiser Marco, Molenkamp Richard, Meijer Adam, Chu Daniel KW, Bleicker Tobias, Brünink Sebastian, Schneider Julia, Schmidt Marie Luisa, Mulders Daphne GJC, Haagmans Bart L, van der Veer Bas, van den Brink Sharon, Wijsman Lisa, Goderski Gabriel, Romette Jean-Louis, Ellis Joanna, Zambon Maria, Peiris Malik, Goossens Herman, Reusken Chantal, Koopmans Marion PG, Drosten Christian. Detection of 2019 novel coronavirus (2019- nCoV) by real-time RT-PCR. EuroSurveill. 2020; 25 (3) :pii=2000045. https://doi.org/10.2807/1560-7917.ES.2020.25.3.2000045. 5) Relevant WHO documents for SARS-CoV-2 vaccines and other biologicals. Available on: https://www.who.int/biologicals/vaccines/en/. 6) Guidelines/Recommendations for other vaccines that may share the same/similar platforms as for SARS-CoV-2 vaccine candidates. 7) Centro  para  el  Control  Estatal  de  la  Calidad  de  los  Medicamentos:  Requerimientos  para  la notificación y el reporte de eventos adversos graves e inesperados en los ensayos clínicos autorizados, Regulación No. 45/2007. 8) Revisiones Bb/La crisis del COVID-19 ha proporcionado al ensayo clínico un papel decisivo y es importante conocer en detalle cómo es este proceso. 9) WHO. Eventos adversos posvacunales (EAP): Evaluación de la causalidad.[cited 2012 Dic 13], available from:http://www.who.int/immunization safety/publications/aefi/831. 10) G Jane, S Katrin, H Scott, Jo H Sandra, Heath Paul, H Renald, Hoet B, et al. A local reaction at or near  injection  site:  Case  definition  and  guidelines  for  collection,  analysis,  and  presentation  of immunization  safety  data.  The  Brighton  Collaboration  Local  Reactions Working  Group  for  A  Local Reaction at or near Injection Site. Vaccine 26 (2008) 6800–6813"
20,RPCEC00000334,Recruiting,31/12/2020,23/10/2020,"['mcarmen.reyes@biocen.cu', 'viceamcited@infomed.sld.cu', 'cited@infomed.sld.cu']","1. Saavedra D, Fuertesb SA, Suárez GM, González A, Lorenzo-Luaces P, García B, et al. Biomodulina T partially restores immunosenescent CD4 and CD8 T cell compartments in the elderly. Exp Geront 2019; 124: 110633. Disponible en : https://doi.org/10.1016/j.exger.2019.110633 
2. Rodríguez Martín RR Biomodulina T. Monografía farmacológica. Disponible en: https://studylib.es/doc/110467/biomodulina-t
3. Sauce D, Appay V. Altered thymic activity in early life: how does it affect the immune system in young adults? Current opinion in immunology. 2011 Aug;23(4):543-8. 
4. Pawelec G. T-cell immunity in the aging human. Haematologica. 2014 May;99(5):795-7. 
5. Ruan Q, Yang K, Wang W, Jiang L, Song J. Clinical predictors of mortality due to COVID‑19 based on an analysis of data of 150 patients from Wuhan, China.Intensive Care Med 2020. https://doi.org/10.1007/s00134-020-05991-x 
6. Thevarajan, I., Nguyen, T.H.O., Koutsakos, M. et al. Breadth of concomitant immune responses prior to patient recovery: a case report of non-severe COVID-19. Nat Med (2020). Doi: 10.1038/s41591-020-0819-2"
21,RPCEC00000335,Recruiting,31/12/2020,23/10/2020,"['mcarmen.reyes@biocen.cu', 'liliamrodriguez@infomed.sld.cu', 'cited@infomed.sld.cu']","1. Saavedra D, Fuertesb SA, Suárez GM, González A, Lorenzo-Luaces P, García B, et al. Biomodulina T partially restores immunosenescent CD4 and CD8 T cell compartments in the elderly. Exp Geront 2019; 124: 110633. Disponible en : https://doi.org/10.1016
/j.exger.2019.110633 2. Rodríguez Martín RR Biomodulina T. Monografía farmacológica.
Disponible en: https://studylib.es/doc/110467/biomodulina-t 3. Sauce D, Appay V. Altered thymic activity in early life: how does it affect the immune system in young adults? Current opinion in immunology. 2011 Aug;23(4):543-8. 4. Pawelec G. T-cell immunity in the aging human. Haematologica. 2014 May;99(5):795-7. 5. Ruan Q, Yang K, Wang W, Jiang L, Song J. Clinical predictors of mortality due to COVID‑19 based on an analysis of data of 150 patients from Wuhan, China.Intensive Care Med 2020. https://doi.org/10.1007/s00134-020-05991-x 6. Thevarajan, I., Nguyen, T.H.O., Koutsakos, M. et al. Breadth of concomitant immune responses prior to patient recovery: a case report of non-severe COVID-19. Nat Med (2020). Doi: 10.1038/s41591-020-0819-2"
22,RPCEC00000337,Pending,06/11/2020,05/10/2020,"['hernandez.bernal@cigb.edu.cu', 'docenciahfinlay@infomed.sld.cu']",No procede
23,RPCEC00000338,Complete,31/01/2021,18/08/2021,"['cenatox@infomed.sld.cu', 'bparedes@finlay.edu.cu', 'mcrodriguez@finlay.edu.cu']","1) Chan, J.F., et al. A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster. Lancet, 2020;395, 514-523. 
2) WHO Coronavirus disease (COVID-2019) situation reports. https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports. 
3) DRAFT landscape of COVID-19 candidate vaccines. Disponible en: www. https://covid19.who.int/ 
4) Development and Licensure of Vaccines to Prevent COVID-19 Guidance for Industry. https://www.fda.gov/emergency-preparedness-and-response/mcm-issues/covid-19-related-guidance-documents-industry-fda-staff-and-other-stakeholders. 
5) World health Organization. Report of the WHO-China Joint Mission on Coronavirus Disease 2019 (COVID-19) [Internet]. 2020. Disponible en: h ttps://www.who.int/docs/default-source/coronaviruse/who-china-joint-mission-on-covid-19-final-report.pdf. 
6) Global regulatory workshop on COVID-19 vaccine development. A virtual meeting, held under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA), convening experts from medicines regulatory authorities, the World Health Organisation (WHO) and the European Commission. 
7) Refer to WHO Blueprint information: https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus/en/. As shown, multiple SARS-CoV-2 vaccine candidates use same/similar platforms as for the other vaccines for which there are established WHO guidance. 
8)	Corman Victor M, Landt Olfert, Kaiser Marco, Molenkamp Richard, Meijer Adam, Chu Daniel KW, Bleicker Tobias, Brünink Sebastian, Schneider Julia, Schmidt Marie Luisa, Mulders Daphne GJC, Haagmans Bart L, van der Veer Bas, van den Brink Sharon, Wijsman Lisa, Goderski Gabriel, Romette Jean-Louis, Ellis Joanna, Zambon Maria, Peiris Malik, Goossens Herman, Reusken Chantal, Koopmans Marion PG, Drosten Christian. Detection of 2019 novel coronavirus (2019- nCoV) by real-time RT-PCR. EuroSurveill. 2020; 25 (3) :pii=2000045. https://doi.org/10.2807/1560-7917.ES.2020.25.3.2000045.
 9) Relevant WHO documents for SARS-CoV-2 vaccines and other biologicals. Available on: https://www.who.int/biologicals/vaccines/en/. 
10) Guidelines/Recommendations for other vaccines that may share the same/similar platforms as for SARS-CoV-2 vaccine candidates"
24,RPCEC00000340,Complete,06/01/2021,15/06/2021,"['cenatox@infomed.sld.cu', 'bparedes@finlay.edu.cu', 'mcrodriguez@finlay.edu.cu']","1- World health Organization. Report of the WHO-China Joint Mission on Coronavirus Disease 2019 (COVID-19) [Internet]. 2020. Disponible en: h ttps://www.who.int/docs/default-source/coronaviruse/who-china-joint-mission-on-covid-19-final-report.pdf. 
2- Global regulatory workshop on COVID-19 vaccine development. A virtual meeting, held under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA), convening experts from medicines regulatory authorities, the World Health Organisation (WHO) and the European Commission.
3- Refer to WHO Blueprint information: https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus/en/. As shown, multiple SARS-CoV-2 vaccine candidates use same/similar platforms as for the other vaccines for which there are established WHO guidance.
4- Corman Victor M, Landt Olfert, Kaiser Marco, Molenkamp Richard, Meijer Adam, Chu Daniel KW, Bleicker Tobias, Brünink Sebastian, Schneider Julia, Schmidt Marie Luisa, Mulders Daphne GJC, Haagmans Bart L, van der Veer Bas, van den Brink Sharon, Wijsman Lisa, Goderski Gabriel, Romette Jean-Louis, Ellis Joanna, Zambon Maria, Peiris Malik, Goossens Herman, Reusken Chantal, Koopmans Marion PG, Drosten Christian. Detection of 2019 novel coronavirus (2019- nCoV) by real-time RT-PCR. EuroSurveill. 2020; 25 (3) :pii=2000045. https://doi.org/10.2807/1560-7917.ES.2020.25.3.2000045.
5- Relevant WHO documents for SARS-CoV-2 vaccines and other biologicals. Available on: https://www.who.int/biologicals/vaccines/en/.
6- Guidelines/Recommendations for other vaccines that may share the same/similar platforms as for SARS-CoV-2 vaccine candidates
7- Centro  para  el  Control  Estatal  de  la  Calidad  de  los  Medicamentos:  Requerimientos  para  la notificación y el reporte de eventos adversos graves e inesperados en los ensayos clínicos autorizados, Regulación No. 45/2007.
8- Revisiones Bb/La crisis del COVID-19 ha proporcionado al ensayo clínico un papel decisivo y es importante conocer en detalle cómo es este proceso. 
9- WHO. Eventos adversos posvacunales (EAP): Evaluación de la causalidad.[cited 2012 Dic 13], available from:http://www.who.int/immunization safety/publications/aefi/831.
10- G Jane, S Katrin, H Scott, Jo H Sandra, Heath Paul, H Renald, Hoet B, et al. A local reaction at or near  injection  site:  Case  definition  and  guidelines  for  collection,  analysis,  and  presentation  of immunization  safety  data.  The  Brighton  Collaboration  Local  Reactions Working  Group  for  A  Local Reaction at or near Injection Site. Vaccine 26 (2008) 6800–6813"
25,RPCEC00000341,Complete,25/10/2020,28/10/2020,['zullyt.zamora@cnic.cu'],"Akbudak, et al. Investigation of the effects of major ozone autohemotherapy application on erythrocyte deformability and aggregation. Clinical hemorheology and microcirculation, 2019, vol. 71, no 3, p. 365-372.
Artis A S, et al.The effects of colorectally insufflated oxygen-ozone on red blood cell rheology in rabbits. Clin Hemorheol Microcirc. 2010, 45 (2-4): 329-336. doi: 10.3233/CH-2010-1316.
Bette M, et al. Efficiency of tazobactam/piperacilin in lethal peritonitis is enhanced after preconditioning of rats with O3/O2 pneumoperitoneum. Shock. 2006, 1: 26-29 [PubMed].
Bocci  V et al.  Potentiality of Oxygen-Ozonetherapy to Improve the Health of Aging People. Current Aging Science, Volume 3, Number 3, 2010, pp. 177-187(11) 
Bocci V. Oxygen-Ozone Therapy. A critical Evaluation. Dordrecht, The Netherlands: Kluwer Academic Publisher, 2002:121-170 
Bocci V. Ozone as a bioregulator. Pharmacology and toxicology of ozonetherapy today. J Biol Reg Homeos Ag 1997;10(2/3):31-53.                                                         
Bocci V. Ozone. A new medical drug, Ed Spring, 2011
Borrego A, Zamora Z, González R, Romay C, Hernández F, Menéndez S et al. Protection by ozone preconditioning is mediated by antioxidant system in cysplatin induced nephrotoxicity in rats. Mediat Inflamm. 2004, 13 (1): 13-19. 
Burger R.A., A.R. Torres, R.P. Warren, V.D. Caldwell, B.G. Hughes Echinacea-induced cytokine production by human macrophages. Int. J. Immunopharmacol., 19 (1997), pp. 371-379.  
Calunga JL, Paz Y A, Menéndez S, Martínez A, Hernández A. La ozonoterapia en pacientes con enfisema pulmonar. Rev Med. Chile. 2011, 139:439-449.
Calunga JL, Menendez S, Zamora Z. Ozonetheray on rats submitted to subtotal nephrectomy: role of interleukin 6 and antioxiden System.  Revista Cubana de Investigaciones Biomedicas. 2019, 38 (1)"
26,RPCEC00000342,Complete,15/08/2020,21/12/2020,['zullyt.zamora@cnic.cu'],"Martinez G, Menendez S, Copello M, Diaz S, Re L. Rectal insufflation are valid way in ozone therapy. Revista Española de Ozonoterapia. 2012. 2(1):233-235.
Martínez Y, et al. Efecto del precondicionamiento oxidativo con ozono en el tiempo de sangrado y formación de trombo venoso en un modelo de choque séptico en ratas. Revista CENIC. Ciencias Biológicas, vol. 41, 2010.
Martinez-Sanchez G, Al-Dalain SM, Menéndez S, et al. Therapeutic efficacy of ozone in patients with diabetic foot. Eur J Pharmacol. 2005 Oct 31;523(1-3):151-61
Mausouf MN, Tanbouli TT, tayar WI, El-Masry N, Anas W. Ozone therapy in patients with viral hepatitis C a clinical study. In proceeding of European Congress of the European cooperation of Medical Ozone Scieties.pp23-25, 2003. 
McBride R, van Zyl M. and Fielding B.  The Coronavirus Nucleocapsid Is a Multifunctional Protein.  Viruses, 6, 2991-3018, 2014
Mendez I y col. Ozonoterapia en el SIDA Rev Cubana Invest Biomed 2005;24(1):69-71
Menendez S, et al. Journal of Ozone Therapy, Vol.2, No.3, 2018: 1 / 26
Menéndez S, y col. Ozono. Aspectos básicos y aplicaciones clínicas. Editorial CENIC. ISBN 959-7145-06-5. Primera Edición 2008."
27,RPCEC00000344,Complete,18/04/2020,21/12/2020,"['secdircg@infomed.sld.cu', 'taniajapon@gmail.com \n\ntaniavaldes@infomed.sld.cu']","1.	Zhang H, Penninger JM, Li Y, Zhong N, Slutsky AS. Angiotensin-converting enzyme 2 (ACE2) as a SARS CoV2 receptor: molecular mechanisms and potential therapeutic target. Intensive Care Med. 2020;46(4):586–90.
2.	Jia HP, Look DC, Shi L, Hickey M, Pewe L, Netland J, et al. ACE2 receptor expression and severe acute respiratory syndrome coronavirus infection depend on differentiation of human airway epithelia. J Virol.2005;79(23):14614–21.
3.	Wang D, Hu B, Hu C, Zhu F, Liu X, Zhang J, Wang B, Xiang H, Cheng Z, Xiong Y, Zhao Y ,Li Y, Wang X ,Peng Z(2020)Clinical characteristics of 138 hospitalized patients with 2019 novel coronavirus-infected pneumonia in Wuhan, China. JAMA 323: 1061–1069. https://doi.org/10.1001/jama.2020.1585 5. Zou L, Ruan F, HuangM,Liang L, Huang 
4.	H, Hong Z, Yu J, Kang M, Song Y, Xia J, Guo Q, Song T, He J, Yen HL, Peiris M, Wu J (2020) SARS-CoV-2 viral load in upper respiratory specimens of infected patients. N EnglJMed 382:1177–1179.https://doi.org/10. 1056/NEJMc2001737
5.	Jean SS, Lee PI, Hsueh PR. Treatment options for COVID-19: the reality and challenges. J Microbiol Immunol Infect. 2020;53(3):436–43.
6.	Praditya D, Kirchhoff L, Bru¨ning J, Rachmawati H, Steinmann J, Steinmann E. Anti-infective properties of the golden spice curcumin. Front Microbiol. 2019;10: 912.
7.	Blumenthal M, Goldberg A, Brinckmann J. Eds. Herbal Medicine: Expanded Commission E Monographs. Austin, TX: American Botanical Council; Newton, MA: Integrative Medicine Communications. 2000. 
8.	Chainani-Wu N. Safety and Anti-Inflammatory Activity of Curcumin: A Component of Turmeric (Curcuma longa).The Journal of Alternative and Complementary Medicine. Volume 9, Number 1, 2003, pp. 161–168.
9.	Zorofchian S y cols. A Review on Antibacterial, Antiviral, and Antifungal Activity of Curcumin. BioMed Research International 2014, 1-12.
10.	Wen C y cols. Specific Plant Terpenoids and Lignoids Possess Potent Antiviral Activities against Severe Acute Respiratory Syndrome Coronavirus. J. Med. Chem. 2007, 50, 4087-4095"
28,RPCEC00000345,Pending,31/05/2021,27/11/2020,"['zurina.cinza@cigb.edu.cu', 'cenatox@infomed.sld.cu']",No procede
29,RPCEC00000346,Pending,31/05/2021,27/11/2020,"['hernandez.bernal@cigb.edu.cu', '-']",No procede
